"","mz","rt","1405_Fish1_F1","1405_Fish1_F2","1405_Fish1_F3","1405_Fish2_F1","1405_Fish2_F2","1405_Fish2_F3","1405_Fish3_F1","1405_Fish3_F2","1405_Fish3_F3"
"group","mz","rt","fish1","fish1","fish1","fish2","fish2","fish2","fish3","fish3","fish3"
"M134.1185T355.8","134.118547581873","355.847","7150.80810958904","2958.91108333334","2467.58395061729","3260.93269333333","5531.89783783783","2814.06920289855","7177.47814864865","2456.67031428571","6056.44391891893"
"M135.1168T639.3","135.11681997401","639.3135","1752.25197727272","1753.83261353497","2109.54971428573","1598.60429646293","2077.57514754099","1788.12322156183","2125.38241414141","2124.01051197137","1943.23273076923"
"M136.0401T552.8","136.040091266163","552.8035","293.574745762713","1236.85714285714","543.389405405405","292.074095890409","941.309507462691","566.110074556791","1444.54981034482","2110.20755555556","2336.87735294117"
"M136.0492T212.8","136.049222254158","212.782","8800.99931914894","3244.94618181818","11612.3571428571","1284.74666666667","3402.64285714286","1818.59694444445","1478.45555114746","4466.30072727273","2276.14285714286"
"M136.4826T144.9","136.482563767201","144.896","1963.14841176471","1422.7377","2105.9261","1024.51034848485","2125.33951898734","1496.38932258065","2245.80884210526","2353.5","2312.7256"
"M137.0472T161.8","137.047164916992","161.825","213615.117575758","116690.571636363","314709.571878787","51307.6099199999","230901.41375","98206.4515454544","79262.293444898","124416.141671642","267375.642857143"
"M137.0477T511.9","137.04770305428","511.9035","627.866444444446","1021.80313043478","672.651068115234","429.425764705884","1175.77401492538","529.113049316406","650.811235294123","1563.03361290323","773.807208333332"
"M137.9884T817.7","137.988368394519","817.692","12878.6953315972","14411.6112620978","14172.9827462686","12844.1618779794","13835.8326096311","5931.21653735348","12625.5123532338","13175.4998237856","14345.0909014635"
"M137.9885T727.2","137.988466724879","727.2225","12336.734109375","11739.2587288136","13374.582969339","16002.0682309928","14031.4747073227","12583.0224193548","11553.7639223357","12040.2543659655","12057.5753389831"
"M137.9879T165.5","137.987893585757","165.468","65338.0412045455","45493.6773987955","48617.440522617","49083.4229431152","102559.604787637","47271.5882288267","41617.9542650602","53097.6779477611","50434.2413615385"
"M138.0549T511.3","138.054901123047","511.294","251093.074424243","397067.410222222","283965.444848486","215239.4912","381170.826537312","193388.44490164","453164.330666667","601862.815823532","617332.000318841"
"M138.1031T874.7","138.103065743245","874.695","327.930000000015","274.5703125","296.235626220703","179.757751464844","288.513336181641","291.945465087891","228.227999999986","412.162999999946","360.508666666683"
"M139.0591T511.3","139.0590744329","511.294","14744.91078125","22693.824765625","16924.1173134329","12812.49875","22958.3747575758","11162.2441000001","28014.4333846153","36950.4201492539","37143.0745074626"
"M139.9877T84.8","139.987654279012","84.849","128334.677264808","104995.688589881","89180.3967192983","106339.715612441","88034.8027852493","92375.4767830189","99337.547575","98000.183449798","90921.2495782732"
"M140.06T511.1","140.059965656028","511.0515","605.198888888891","1380.85714285714","899.751135932075","603.422092013889","1228.45764923096","506.994556003147","1681.92857142857","2201.10523076924","2238.71565853659"
"M140.0688T212.7","140.068805286138","212.716","1207.5685106383","937.839314285715","1332.27484090909","538.361263157895","1419.36817021277","1210.90785598755","1476.45044444444","1254.81823255814","1314.97147826087"
"M140.9956T86.3","140.995606966543","86.349","13117.0738501304","9869.77808069611","4935.49728244275","10486.0242330097","8432.15614953271","9581.2","10530.2245434783","11301.6538574582","10012.7778132911"
"M141.9594T1079.4","141.959426879883","1079.43","203728.985862068","5594.51500000083","64856.9029999995","7021.55399999958","69650.5179069753","181585.253333333","48574.2857142857","38053.5973333324","51749.7341666654"
"M143.9602T85.5","143.96017374963","85.493","12480.56990625","19628.6760602007","20460.9600676692","22180.8110072993","9442.51269281046","17853.0218487395","18094.5446341463","16096.2756638655","16549.6968"
"M145.0358T48.6","145.035807173804","48.634","115866.144055901","56947.2776629213","60179.6810120482","131206.985264305","130467.560599882","118042.005782334","133162.025572539","121819.932725373","54907.55025"
"M145.9553T85.4","145.955267127858","85.3855","7002.1937398374","5901.88570440969","6686.195775","3426.34864705882","5922.31880326705","6615.33370212766","3910.1435443038","4991.95975308642","7087.44245303867"
"M146.1183T288.1","146.118268664153","288.13","8710.07142857143","2961.18482089553","7180.99588235291","1170.64285714286","3621.4557","2607.50880000001","301.095827738444","1530.3163","1989.26250909091"
"M147.1174T688.6","147.117419016509","688.602","1745.59115254236","945.90640625","1826.26459999999","453.263727272726","1934.12543243243","1438.59131103516","1046.79913461539","108.238333333319","969.946944444441"
"M147.1175T611.4","147.11751756182","611.411","212.140499999987","876.014657564252","1501.50961699309","611.179112514603","2106.52891428572","660.011043370327","1155.02873134328","1323.68448113208","1523.82804166667"
"M147.99T145.1","147.990038392172","145.088","1122.60127777778","990.51682708223","1210.4248275862","763.967149939904","1155.804","810.233927272727","1415.93092307692","1584.27641176471","1706.39383870968"
"M149.0236T583.8","149.023608960004","583.769","1915.66656521743","1193.09430803571","2807.03165217391","211.285714285714","2709.2643636364","682.509256998698","2261.63425000001","2603.4136363636","2959.96345454542"
