"","mz","rt","intensity","metabolite_name","HMDB","Adduct"
"M937.82T12.8",937.82,12.79,571.6410067,"C56:2 TAG","HMDB05404","[M+Na]+"
"M935.805T12.5",935.805,12.5,797.1763267,"C56:3 TAG","HMDB05410","[M+Na]+"
"M933.7893T12.2",933.7893,12.23,623.0641368,"C56:4 TAG","HMDB05398","[M+Na]+"
"M931.7729T12",931.7729,11.97,386.208716,"C56:5 TAG","HMDB05406","[M+Na]+"
"M929.7582T11.7",929.7582,11.72,154.7733957,"C56:6 TAG","HMDB05456","[M+Na]+"
"M927.744T11.5",927.744,11.48,82.94381325,"C56:7 TAG","HMDB05462","[M+Na]+"
"M957.7907T12.1",957.7907,12.07,126.9560695,"C58:6 TAG","HMDB05458","[M+Na]+"
"M955.7678T11.8",955.7678,11.82,75.0149308,"C58:7 TAG","HMDB05471","[M+Na]+"
"M385.3462T7",385.3462,7.01,9072.92632,"cholestenone","HMDB00921","[M+H]+"
"M369.3519T7.2",369.3519,7.22,3176.767067,"cholesterol","HMDB00067","[M-H2O+Na]+"
"M449.3741T7.9",449.3741,7.86,24.19563664,"epoxysqualene","HMDB01188","[M+Na]+"
"M324.2902T4.8",324.2902,4.77,2738.759408,"linoleoyl ethanolamide","HMDB12252","[M+H]+"
"M348.2872T5.1",348.2872,5.11,861.7261061,"N-oleoylethanolamine","HMDB02088","[M+Na]+"
"M282.2787T5.2",282.2787,5.17,1558.036481,"oleamide","HMDB02117","[M+H]+"
"M331.2839T5.1",331.2839,5.13,376.2840264,"Palmitoyl glycerol","HMDB11533","[M+H]+"
"M300.2896T4.9",300.2896,4.92,269.8275689,"palmitoylethanolamide","HMDB02100","[M+H]+"
"M286.144T3.7",286.144,3.67,2731.973329,"piperine","HMDB29377","[M+H]+"
"M300.2898T4.2",300.2898,4.2,624.9038746,"sphingosine","HMDB00252","[M+H]+"
"M328.3207T5.5",328.3207,5.49,189.9028891,"stearoyl ethanolamide","HMDB13078","[M+H]+"
