"","GD_012_matrix_RPN_RRHD_B1.mzML","GD_014_matrix_RPN_RRHD_B1.mzML","GD_015_matrix_RPN_RRHD_B1.mzML","GD_017_matrix_RPN_RRHD_B1.mzML","GD_018_matrix_RPN_RRHD_B1.mzML","GD_020_matrix_RPN_RRHD_B1.mzML","GD_010_NIST_RPN_RRHD_B1.mzML","GD_011_NIST_RPN_RRHD_B1.mzML","GD_013_NIST_RPN_RRHD_B1.mzML","GD_016_NIST_RPN_RRHD_B1.mzML","GD_019_NIST_RPN_RRHD_B1.mzML"
"group","MN","MN","MN","MN","MN","MN","SN","SN","SN","SN","SN"
"M483.3164T531.9009","105.27151565919","0","82.4541778432738","0","66.4862041642357","71.2784595806152","4792.23188302612","5625.45968645935","3841.94603653565","3354.67601681212","3326.51937435624"
"M483.3678T529.4821","63.5760921252329","0","72.7427233976294","0","0","0","110694.876263328","102984.161858643","89267.3025965781","77117.7302703641","71412.783484835"
"M484.1537T575.487","0","0","83.8882806831971","0","0","0","8583.4003729442","5919.8191098267","5871.18804482755","4445.98600733759","4624.87325033027"
"M484.2116T573.67","0","111.146856034175","0","0","797.529093465539","779.650007404614","19510.7983418823","18506.8526871873","14639.9561098978","12882.2565620312","12965.878696661"
"M484.2674T391.9994","95.7149374558191","0","77.3847621962029","0","0","0","5473.13317153736","4813.48479134426","4360.99286894695","4160.67730252961","4066.28413583377"
"M484.2833T369.575","0","0","0","0","0","0","15958.780608998","15906.9901047145","13811.8350212369","11243.7351532091","10182.8191213761"
"M484.3016T519.7689","5301.32039588259","5384.61311459965","5143.21357124324","5188.14683214567","5057.58952176961","4860.05990829518","773.425941426013","822.466955842206","585.916807354084","175.528992141539","546.048954116201"
"M484.662T26.7222","0","71.6717649095232","0","0","0","0","38530.4821927145","35430.6535496779","28007.9362225914","24527.2506236333","22961.9465382446"
"M485.1658T238.7251","208.362830434307","0","0","0","0","0","16395.3464780924","13950.1518390416","13836.7450944702","10603.9533294997","9903.7239728932"
"M485.2104T600.3169","498.628429357435","356.542515858919","71.3510793040768","141.210067954559","413.33332889536","334.82131247074","10775.4453150555","8404.02520786352","7508.21638119608","9108.79277446647","5084.29082287787"
"M485.2304T453.0206","0","0","94.1283080283785","0","0","0","5457.36179907227","5882.61367363415","4762.68254122199","3789.41185873233","3949.82693167551"
"M485.2779T448.911","5681.39205019938","4924.80596952819","4562.0025942027","4007.27131048358","4690.915918293","4325.9301014328","2357.99387481689","2776.09488150995","2931.19462449074","2533.8286966763","1329.07474752585"
"M485.2711T680.8661","0","162.894587366027","0","0","116.695294546545","0","3769.4167935486","3128.86011365892","2566.7509136091","2397.74086307374","1971.10371690061"
"M485.2862T369.574","0","0","0","0","0","0","4602.6022135671","5296.53210303932","3750.23695581055","3585.07400830077","3254.95762879004"
"M485.3832T540.36","0","0","0","0","0","0","36891.1200308974","33687.2182238363","22614.4702316042","19101.0429164135","19727.4276793439"
"M486.2267T600.9228","1090.47310747496","669.648198169139","564.563177817398","704.242631668018","902.467005720983","1061.96554487305","30177.2102432246","29134.483743598","24319.451452697","20768.6013606834","19239.1902101243"
