"","mz","rt","GD_010_NIST_RPP_RRHD_B1.mzXML","GD_011_NIST_RPP_RRHD_B1.mzXML","GD_013_NIST_RPP_RRHD_B1.mzXML","GD_016_NIST_RPP_RRHD_B1.mzXML","GD_019_NIST_RPP_RRHD_B1.mzXML"
"group","mz","rt","NIST1950","NIST1950","NIST1950","NIST1950","NIST1950"
"M216.9234T28.4","216.923397827148","28.3780728049707","893281.161697502","779641.159772056","781618.703052202","683315.535432294","611824.653590446"
"M216.9408T278.7","216.940831502279","278.744679919847","184323.160329072","57158.6581456168","84516.6905965541","194271.068547567","86642.2162998312"
"M216.9474T935.1","216.947366333008","935.051906869613","159330.442294851","142844.10575692","115625.593961185","92930.5515083027","79589.5782195579"
"M217.0372T758.8","217.037199020386","758.77163496482","2043223.72267458","1872165.74395236","1687648.41911712","1398171.2892292","1061836.3885516"
"M217.0745T588.7","217.074536895752","588.704256407299","25467392.4642215","24173917.5847336","21988674.544985","18755043.7344495","16116759.6348205"
"M217.0743T957.4","217.07431602478","957.352667763842","2874129.92099859","2718306.96592796","2353290.09663811","1484642.07438868","1255336.41991276"
"M217.1047T42.6","217.1046875","42.5819006045478","683441.877380811","613807.73823497","546992.274534523","372689.191551334","445625.218207468"
"M217.1038T629","217.103820800781","628.996876029632","11347780.6990344","10802910.3063984","9089544.08123488","4985093.48813056","6440190.06306546"
"M217.1047T967.7","217.104720115662","967.722636184636","40150749.5567682","38664206.3408827","36143804.2096763","29882514.8215046","25594999.4946703"
"M217.8854T849.7","217.885395812988","849.727514889206","220474.204578513","241723.350860457","239694.368455726","85474.0379265251","204103.725558063"
"M218.0355T839.1","218.035450526646","839.12695880493","980652.720763891","583573.447883663","266916.136456948","484655.954745928","198785.554804513"
"M218.0779T559.8","218.077868143717","559.835453771865","2505016.83043649","2330499.94044058","2063623.09635558","1779316.28991969","1445641.18829286"
"M218.078T936.1","218.078042602539","936.112365203811","201844.412242874","180358.372940043","227705.917670737","153303.941940751","117674.657611758"
"M218.1072T558","218.107192993164","558.016648415087","1143674.0933691","1132838.82138689","943627.518699385","659558.114508203","745599.568319859"
"M218.108T963.7","218.10800075531","963.748199824214","3779796.77641071","3657929.83733457","3354650.57302237","2706519.98509701","2306068.61641742"
"M218.1387T37.5","218.138654073079","37.4711823406744","333776.753681045","302667.902377141","306076.510338195","352088.36485232","208500.486245324"
"M218.8669T322.7","218.866855822111","322.745999040635","202165.659034004","354014.587425114","254667.415702659","327014.68798683","177711.285924218"
"M218.8673T924.8","218.867329188756","924.7859856289","1031803.58424503","1401523.87468873","1021294.27783421","1335251.96134022","963462.941770482"
"M218.9203T28.4","218.920254516602","28.3527749354352","301585.817938697","268431.807995312","252009.7895319","216259.596710078","192046.328740691"
"M219.0273T962.3","219.02730178833","962.320618090525","786305.131396779","888030.761917445","1092413.78097675","544767.007424988","588441.815874176"
"M219.0312T557.4","219.031247138977","557.403059126193","2715130.40024147","1699772.29210871","2137486.11364779","1666165.40297755","1526120.37738044"
"M219.0533T577.3","219.053335892527","577.327623797044","4122310.61384374","3877564.75781137","3625964.04897993","3130518.58192506","2688163.92499009"
"M219.0534T984.5","219.053436279297","984.549434365159","433409.434118377","316827.771600832","293149.165252477","230022.160770606","301280.074162004"
"M219.0832T28.1","219.083227539063","28.0694314853405","123965.542202152","119043.472027651","144729.917124178","104161.993031032","113643.534728985"
"M219.1095T913.8","219.109503173828","913.775775481042","557050.02030903","621566.875045451","450256.261717911","378903.438644769","302714.559199363"
"M219.1743T399.4","219.174349784851","399.356420139182","555822.710288939","523500.38334601","321432.822405665","73528.7129363377","72461.9749232549"
"M219.1768T606.7","219.176763916016","606.743655090815","3297677.35034515","3105085.82262983","2776454.81732265","2297617.87633032","1912346.85568009"
