Row.names	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	X1	X10	X11	X12	X13	X14	X15	X2	X3	X4	X5	X6	X7	X8	X9	GD_050_NIST_dda_targeted1_RPP_RRHD_B1.mzML	GD_051_NIST_dda_targeted2_RPP_RRHD_B1.mzML	GD_052_NIST_dda_targeted3_RPP_RRHD_B1.mzML	GD_053_NIST_dda_targeted4_RPP_RRHD_B1.mzML	GD_054_NIST_dda_targeted5_RPP_RRHD_B1.mzML	GD_055_NIST_dda_targeted6_RPP_RRHD_B1.mzML	GD_056_NIST_dda_targeted7_RPP_RRHD_B1.mzML	GD_057_NIST_dda_targeted8_RPP_RRHD_B1.mzML	GD_058_NIST_dda_targeted9_RPP_RRHD_B1.mzML	GD_059_NIST_dda_targeted10_RPP_RRHD_B1.mzML	GD_060_NIST_dda_targeted11_RPP_RRHD_B1.mzML	GD_061_NIST_dda_targeted12_RPP_RRHD_B1.mzML	GD_062_NIST_dda_targeted13_RPP_RRHD_B1.mzML	GD_063_NIST_dda_targeted14_RPP_RRHD_B1.mzML	GD_064_NIST_dda_targeted15_RPP_RRHD_B1.mzML
FT3944	432.838575041226	432.825033946617	432.981054638722	944.540990478516	912.024003540039	1000.96599047852	19	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1891.37354692523	2269.18900234375	3049.29470145563	3511.72422999575	1970.43651051026	NA	1720.14484594345	1954.15186987305	2149.44790225895	NA	1621.67929306136	NA	4292.85369007457	2860.4750740845	2155.03878360902
FT3945	432.902954765948	432.775791774736	432.918913203688	21.006	-61.6859999523163	27.2335071563721	15	1	0	1	0	1	0	0	0	1	0	1	1	0	1	0	1981.74269821472	NA	693.877166434152	NA	2880.77333730643	238.321128804525	NA	767.040187637329	NA	NA	997.762438311767	NA	1657.04362399292	NA	NA
FT3946	432.883689663171	432.883689663171	432.883689663171	376.002003540039	376.002003540039	376.002003540039	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	321.987618671758
FT3947	433.183402582234	433.180694748635	433.210213966779	455.291990478516	415.920003540039	545.9	15	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	3731.15226263428	NA	3787.38793534573	3550.50307499275	2325.74751511729	3244.5539379966	3623.3346181706	3695.98893640138	3181.2735433553	NA	3369.75007617491	2702.98916566466	3222.48870606079	3161.01206674042	2820.38306427002
FT3948	433.000207862205	432.998232608908	433.001191815337	2.45050002384186	-62.1839999523163	24.2635402679443	4	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	280.362915138244	NA	332.530263565063	NA	NA	265.645116500855	NA	315.819676815457	NA	NA	NA	NA	NA	NA	NA
FT3949	433.179401397785	433.116396063213	433.181073616608	310.969997009277	237.860000610352	360.375990478516	4	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	NA	NA	487.383670434953	576.940294092354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	318.175046118735
FT3950	433.275344938621	433.250598713927	433.367105486082	712.597	627.681000030518	782.018990478516	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4755.13697116364	15463.9386606862	7834.08500429788	1727.07407485375	5579.36522055671	6533.71294997835	15008.7225303497	7257.25892700194	5980.31966233472	6662.05010845192	14330.5316642532	11479.4166399902	7143.96111246752	5341.32740285422	13965.003571289
FT3951	433.293768341414	433.292070167642	433.367682426528	609.147990478516	599.045990478516	625.388998657227	9	1	0	1	0	1	0	1	1	0	1	0	0	0	0	1	6443.11683949198	5000.24547460234	NA	7175.08845541514	NA	NA	NA	NA	6379.56632149438	NA	2826.37439483644	NA	675.784748345622	NA	5097.31862897521
FT3952	433.312506604419	433.283194563237	433.331917477212	368.965000116348	285.226003540039	435.695990478516	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10248.8401033631	2049.56128267415	10315.3792406921	2517.00747416263	9034.51913928986	9822.4286541824	7826.03717285152	10683.032335362	8833.73824188813	11268.0261516676	3069.31067237716	8995.80050006861	8579.76793829572	7957.66718437851	1653.02126800027
FT3953	433.25714236078	433.251349572762	433.322608689724	475.433999797821	458.908002441406	498.380002441406	15	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1834.60308134767	1346.66366011047	1798.4057478406	967.642374298097	2078.32583364276	1704.6839019705	1450.85144012451	1469.3220259106	NA	1909.17799927521	NA	1437.32448920673	571.116909175332	2012.15977394273	NA
