"","GD_012_matrix_RPP_RRHD_B1","GD_014_matrix_RPP_RRHD_B1","GD_015_matrix_RPP_RRHD_B1","GD_017_matrix_RPP_RRHD_B1","GD_018_matrix_RPP_RRHD_B1","GD_020_matrix_RPP_RRHD_B1","GD_010_NIST_RPP_RRHD_B1","GD_011_NIST_RPP_RRHD_B1","GD_013_NIST_RPP_RRHD_B1","GD_016_NIST_RPP_RRHD_B1","GD_019_NIST_RPP_RRHD_B1"
"group","matrix","matrix","matrix","matrix","matrix","matrix","NIST1950","NIST1950","NIST1950","NIST1950","NIST1950"
"M339.2869T576.295","810045.376500032","708620.413996655","674889.094587582","644274.816954231","595536.010535455","532393.934180444","942983.861272208","909782.641643695","823534.840285188","699361.42607028","570859.295788307"
"M339.7011T467.942","712.299892296576","848.540864036291","134.323963107947","644.683921936854","226.942301671201","389.552879930579","20193.6938279958","20078.620955914","19139.2902002978","16842.6568899182","11298.46425106"
"M339.9556T958.238","85816.5288077545","82840.8832248688","73534.2769156819","67654.7963571428","63272.0005922773","61226.8287713848","86236.7888155347","82970.6894875572","85499.5319444692","72326.9682639313","60664.1858381076"
"M340.0547T342.9115","12307.1660240379","16272.8943414628","16281.3483718872","16909.267098376","13249.2461191077","15166.5849122314","17758.9039325299","13572.0692816104","13575.8808800193","15592.5390114676","7765.05534584481"
"M340.119T953.393","11465.4525795255","11126.4944491211","6448.15846149441","7022.29497659438","7749.38473022749","7527.45761105575","14982.7829466064","13220.8999238611","10617.772918773","11140.6679019183","9564.53272365691"
"M340.1849T601.038","14790.3971780724","13906.1579363399","11678.008195361","10447.6703514273","10553.9179938573","9349.28522950038","118457.913344836","113310.010002507","105070.201253977","92919.3878180693","76323.6596813729"
"M340.201T631.805","16138.2803765849","14645.8999614275","12934.7829522561","13619.2038081236","14216.0678882122","11689.6387316792","17941.0709738055","18126.7908641428","17346.8456582336","17133.4019661148","14054.9593939712"
"M340.2185T488.271","8747.93234719123","10246.71558055","10061.1252602751","6680.77157944337","8843.66390037457","8788.2103430376","31340.4514737365","27952.6686079076","29487.1680161039","24945.3595968364","21161.7502421668"
"M340.2393T575.272","16077.5182266737","15444.7414922395","13169.7611626727","13527.1810241044","11732.7345084921","10816.5678105251","20349.1807559967","20198.6769013545","17104.9612896113","14387.3178044055","12033.9366334084"
"M340.2479T316.875","30225.687521962","27214.6379412085","24826.0572327458","22411.0040883193","19999.6956013191","17803.1140597441","53282.9526800936","48349.4331101074","47815.0485814929","38431.4747835613","30055.9548005717"
