"","mz","rt","96H-R-1","96H-R-2","96H-R-3"
"M371.2015T694.6","371.201532593101","694.615000000002","4492.75444365417","269076.98117448","120070.401763106"
"M373.0711T91.7","373.071086831117","91.6917","100174.099069817","236237.002904607","206479.587718683"
"M373.113T81","373.113041775677","80.9538","219324.768778031","203542.153951088","136651.415363733"
"M375.0668T90.9","375.066837296344","90.9055000000002","164618.87378425","316303.517412197","295696.655462122"
"M375.1117T82.8","375.111730453103","82.8484999999998","32200.6522624512","144160.340790781","90619.5723497021"
"M375.1803T480","375.180253172371","480.0375","21472.8955200425","40026.2184478664","13946.5981921233"
"M386.1297T74.6","386.12971208153","74.6346","19420.4781470478","40614.3797154155","33325.3281324219"
"M387.23T545.9","387.230000048065","545.906","90715.322286883","221830.429123012","391456.720015404"
"M389.1274T81.6","389.127422918128","81.6436999999998","163396.527056797","407436.183572496","94535.8492971442"
"M389.1444T92.6","389.144423756976","92.6176999999998","95594.9790660256","81881.1689756991","74265.5547682306"
"M389.227T545","389.226958548327","544.9675","285128.044205158","87685.268736374","130771.432005449"
"M391.1239T81.6","391.123878007617","81.6436999999998","163334.227633858","330767.826869311","187776.935041129"
"M391.143T95.3","391.143045751792","95.2755","61226.8651187674","73428.2958530135","45754.901029773"
"M395.1914T253.5","395.191369305675","253.514","383342.184070312","1768779.68119658","892972.307471755"
"M401.2092T551.8","401.209159358055","551.835","79815.1720919413","109540.456850439","127451.747621651"
"M403.083T75.6","403.082979820979","75.58455","38274.579968811","31437.7559474941","48389.9265668769"
"M403.2247T554.7","403.224691741543","554.657","364452.45065528","534370.630651178","662339.945611767"
"M404.2282T554.7","404.228171866764","554.657","93564.7491580182","115217.379331347","182703.340038077"
"M405.1069T74.3","405.106931875971","74.3049","23311.2212649211","34941.0591111816","33264.0989419643"
"M405.2219T554.3","405.221909305445","554.334","531817.600303585","197619.980881507","213551.820180722"
"M407.3157T793.7","407.31574584881","793.702999999998","1027921.64907477","624784.463853844","514999.333718478"
"M409.3102T803.5","409.310231115474","803.524000000002","312092.782498549","348073.937691374","325071.071660155"
"M410.3136T803.5","410.313630329881","803.524000000002","62181.6260139974","98343.8115733762","82743.8932901857"
"M412.9656T629.2","412.965622506207","629.229499999998","213237.680022955","520992.562340072","123458.305636716"
"M413.1938T459.7","413.193821494956","459.702","101310.704884234","205285.07337085","96578.61555855"
"M415.1447T78.9","415.14466702537","78.861","288838.991420987","399400.095494573","419947.491173933"
"M415.1907T460","415.190733365513","460.0075","32435.8654631603","48865.8676540829","18717.4599976982"
"M418.1427T79.6","418.142688267888","79.5637000000002","186933.394939089","220959.261233197","72023.1669008259"
"M421.1261T175.9","421.126121924735","175.886","102168.387038381","454807.262562598","347622.31433817"
"M421.1344T79.3","421.134391774982","79.3368","20097.8146751685","71945.7420972269","38767.4911280243"
"M421.1638T258.6","421.163762847898","258.599","159928.427061328","1294434.91637657","510247.537179546"
"M423.1232T177.1","423.123181490677","177.11","839611.156400174","109237.210225195","104778.936900736"
"M424.226T459.6","424.226025600218","459.641","132112.786703327","230582.822409628","120552.843460419"
"M425.0904T74.7","425.090412647816","74.7174","48218.7433509865","20477.1652601624","16684.2821321576"
"M425.2172T469","425.217213182801","469.028","67955.4751757457","162342.672808911","185992.937195238"
"M430.9383T559.7","430.938310543582","559.718","92733.1682179643","98994.4406590324","119305.106012776"
"M432.9353T559.7","432.935284515217","559.718","128658.787818166","125406.853712158","156915.177332596"
"M434.1075T174.9","434.107474455496","174.932","224814.910384065","387823.448608279","231455.988545613"
"M434.9325T559.7","434.932464703961","559.713","54503.9789065743","60221.6401525456","70455.2549573544"
"M436.1045T174.9","436.104485638883","174.932","65599.5752664489","114290.273503775","71673.9734409549"
"M438.252T312.8","438.251953654032","312.826","0","117866.741514439","65422.6165747069"
"M439.1641T469.6","439.164064658373","469.6205","9066.27163847443","22249.6825209637","20845.7195138551"
"M444.1523T385","444.152306428569","384.99","90371.6861606065","82707.4045957032","59014.2455408766"
"M446.1659T81.9","446.165896947011","81.8565","154445.023879822","368116.176287932","150812.586824992"
"M451.1599T80.2","451.159894623184","80.21445","79632.8196625211","82903.3228547044","54656.3410351582"
"M455.1009T74.6","455.100925331285","74.6346","135794.689874315","251422.947506479","148131.024379836"
"M458.1497T80.3","458.149685317939","80.2537999999998","42164.551170536","30934.5080729536","18147.5795499768"
"M459.1499T80","459.149893993724","79.9576000000002","100247.31508526","134841.292966699","61256.4219765373"
"M460.8384T547.7","460.838414615606","547.661","25769.4281236505","64747.0810578524","95502.7432942291"
"M462.8363T547.5","462.836260327364","547.505","91482.3775329","189899.137028319","286217.234984243"
"M463.8396T546.9","463.839610312755","546.8705","9425.29767690544","27244.3687413916","43148.796181124"
"M464.1482T79.6","464.148218223032","79.5637000000002","222041.647251964","227589.746971923","80112.0678506518"
"M464.3299T75.6","464.32994823104","75.5677999999998","12028.784182031","71618.5839612201","39081.9630510971"
"M464.8341T547.7","464.834114208261","547.661","93805.0951540975","188464.58008052","288800.021600935"
"M465.1466T79.5","465.146595373959","79.4596999999998","74550.8747992367","139218.203470941","97978.0013010777"
"M465.8376T546.9","465.837551069181","546.8705","9829.50324977247","25296.8346280887","46102.2753062305"
"M466.8321T547.5","466.832117262623","547.505","26923.5475732217","56903.6288481618","83806.8185798258"
"M467.0719T170.6","467.07189107978","170.597","181315.880551304","225675.627782365","124203.354391755"
"M471.2072T315.1","471.207210920651","315.075","135170.135456452","228386.919782903","304777.311868445"
"M473.1325T77.8","473.132499415199","77.8315999999998","37564.9192553353","12696.3746466151","46536.4633278862"
"M475.1295T74.3","475.12952364045","74.3049","37255.4351165913","37258.2354155059","35084.7008781169"
"M476.8519T633","476.851871998682","632.983000000002","64050.9358230377","62106.5811648368","89236.5143085399"
"M477.1391T275.1","477.139131127","275.0555","42164.438963494","116799.535441482","67320.4577929861"
"M478.8498T633","478.849848245063","632.983000000002","57504.8332678045","62388.3170302167","90483.4087954813"
"M479.1409T278.8","479.140892423486","278.8445","13730.0608601973","137212.354669218","36011.1382898436"
"M483.1264T78.7","483.126415909519","78.6742000000002","173637.592163438","182491.4901621","115759.77375293"
"M483.2905T517.7","483.290450769976","517.705","538075.358342093","682960.397344195","782555.087819128"
"M485.1233T78.3","485.123311705883","78.2503999999998","52092.4353819516","50862.0860990176","24578.6194447211"
"M485.2878T517.5","485.287768283549","517.505","305642.510363943","404937.082376162","298319.30769264"
"M486.3507T762.6","486.350688522042","762.586999999998","474991.923668533","438256.566113254","214070.835134923"
"M489.1182T151.8","489.11822876473","151.832","214282.165050041","374717.046549594","318260.134965414"
"M491.1145T150.6","491.11453062469","150.621","440608.497058793","536419.777080777","380824.746786953"
"M494.1508T296.9","494.150772082327","296.933","545315.261781726","216744.374142579","156968.938233858"
"M496.1452T291.3","496.145206225032","291.3075","274828.05278441","220683.2190262","394604.942517229"
"M497.1057T77.7","497.105724095697","77.7362500000002","70457.9614357422","76263.1106221754","46912.1647345369"
"M497.2381T350.9","497.238056643376","350.921","144817.643614946","221141.586197529","162396.48231959"
"M499.1029T77.6","499.102879227272","77.5769500000002","18226.2592904664","15772.6958957666","25189.6338665264"
"M499.1787T286.7","499.178725213167","286.6935","13765.5712297978","178116.912983826","163310.239598603"
"M499.2384T354.8","499.238361458646","354.815","87183.5820828762","229829.855947266","276393.937606504"
"M505.1705T313.3","505.170491552429","313.328","529877.096275775","903980.240585155","713167.555235536"
"M505.2797T394.1","505.279701115964","394.084","130694.614539931","108596.131111111","23810.2864652047"
"M506.1739T314.3","506.173923757359","314.346","145429.545084047","250675.255044183","176694.293773577"
"M507.2587T388.2","507.258654343981","388.206","54397.9582079061","57576.9877726667","61876.5545247801"
"M507.3236T598.6","507.3236074857","598.571","313823.566200342","207754.020621711","217678.973643378"
"M511.0905T78.1","511.090522856625","78.0597","51621.278231511","52123.5497552432","11613.0940291721"
"M512.2574T439.4","512.257428345722","439.3595","10458.1700882638","29785.0655522696","25553.9509736328"
"M514.9546T292.9","514.954579261222","292.911","47863.6079471316","61214.6871458333","16794.4115576924"
"M516.9525T292.7","516.952517204055","292.694","88149.87659067","130130.741620036","44300.9686685296"
"M517.2514T526.7","517.251417594695","526.678","110541.774174766","100298.328023309","301139.768718367"
"M518.9507T293","518.95071153949","292.994","42407.307405725","47593.7295014937","19394.3174643861"
"M519.2486T528.8","519.248596776925","528.815","77172.7958532855","91991.1096969698","87392.4618618336"
"M521.3027T600.5","521.302742650861","600.474","445691.612515089","323376.929036865","261247.0600577"
"M523.3057T598.6","523.305674994506","598.555","25212.5104511721","983931.506131409","697022.853254055"
"M524.8368T593.3","524.836751502971","593.2685","6282.20539038571","49402.6057368387","35212.3141812338"
"M525.2888T409.4","525.28881816027","409.395","30690.8704242707","74319.3970114064","43404.9898635253"
"M525.3211T825.8","525.321050085257","825.826999999998","573286.439089021","468171.994208338","373341.812641471"
"M527.2406T388.5","527.240575122671","388.523","208379.480455627","208298.780208333","56131.5585446291"
"M527.3008T596.5","527.300781828553","596.459","104854.276491001","230159.186223203","223446.491389465"
"M527.3172T824.7","527.317223009793","824.650000000002","130269.159926488","319038.010756051","132519.307528595"
"M529.2374T389.5","529.237406976846","389.526","59649.2730067511","49733.0955633787","54758.2299445804"
"M529.3137T825.1","529.31374217551","825.083500000002","17047.3394764066","114775.29486193","40452.3565217667"
"M535.3629T461.6","535.362947123099","461.593","274979.684051014","308014.30261536","331000.387042114"
"M539.2862T408.2","539.286155777306","408.1995","118903.809612641","99487.8612628613","116082.296973541"
"M540.2885T408.5","540.28853600153","408.4985","28071.502210583","48226.2619544789","50616.9744895017"
"M541.1315T295.1","541.131516495186","295.077","13132.0119959886","53463.3690839844","79140.8603662866"
"M541.1915T360.3","541.191463501017","360.301","78864.9979365236","114886.495603097","145192.58359375"
"M541.2645T295.4","541.264460557733","295.386","97964.4157045598","222896.979894532","104557.301560974"
"M542.0963T290.3","542.096293044226","290.264","2295.11837304425","503993.881404015","256286.572646486"
"M542.2677T295.2","542.267726876638","295.233","15755.470106204","57430.8554780779","26175.3562530049"
