"","mz","rt","","","","","","","",""
"group","mz","rt","Cell line:T24S | Treatment:No","Cell line:T24S | Treatment:No","Cell line:T24S | Treatment:Yes","Cell line:T24S | Treatment:Yes","Cell line:T24R | Treatment:No","Cell line:T24R | Treatment:No","Cell line:T24R | Treatment:Yes","Cell line:T24R | Treatment:Yes"
"M874.79T649.8","874.79","649.8","325284.7","293200.8","101848.3","98421.9","174525.4","109751.5","49539.3","45217.8"
"M872.77T628.2","872.77","628.2","62986.8","55901.8","9226.9","8268.7","37657.7","8545.1","7860.1","6135.7"
"M895.77T682.2","895.77","682.2","86581.3","76721","12134.3","11803.2","16462.9","13988.2","3737.2","2388.2"
"M893.76T661.2","893.76","661.2","54352.5","48619.1","18072.9","16835","25099.6","10742","7636.6","8196.3"
"M886.78T640.8","886.78","640.8","13316.8","11088","2850.7","2485.9","3046.8","2660.2","3213.8","2024.8"
"M906.85T712.2","906.85","712.2","155388.2","135097.1","64776.6","63174.6","85539.6","38279.5","22715.6","19566.6"
"M909.79T693","909.79","693","273357.3","229127.5","84130","82342.3","189823.7","60466.1","35271.2","28935.3"
"M902.82T672.6","902.82","672.6","331071.7","287611.5","95449.9","96304.8","240724","105722.9","46165.8","42780.9"
"M905.76T652.8","905.76","652.8","141471.2","126097.3","46405.9","30386.6","81872.5","58100.5","13683.4","18153.7"
"M898.79T641.4","898.79","641.4","225936.2","198861.9","98616.7","95211.8","92320.2","67388.1","40517","37600"
"M901.72T617.4","901.72","617.4","60284.3","53720.9","27731.3","25867.9","38560.8","9312.2","6408","5331.9"
"M932.86T711.6","932.86","711.6","67278.6","62556.8","28942.9","32479.3","97689","25064.6","13440.1","10950.6"
"M930.85T694.2","930.85","694.2","47604.3","43075.1","19304.7","21460.3","86255","7281","5103.3","4720.2"
"M933.79T678","933.79","678","51446","12117","8021.4","10476.9","59154.3","14028.1","4924","4868.6"
"M924.8T641.4","924.8","641.4","266179.8","229996.9","105396","100496.9","133782.8","95766.4","51124.1","50217"
"M922.78T619.2","922.78","619.2","38547.8","52674.6","26436.6","26085.6","42560.7","18989.4","12408.2","10594.8"
"M925.73T607.2","925.73","607.2","21366.6","18429","11372.5","12216.4","18395.1","12788.5","2896.9","2964.2"
"M958.88T712.2","958.88","712.2","33914.1","31182.4","16658.6","17283.8","69183.7","11548.9","8415.4","6906.2"
"M956.87T697.8","956.87","697.8","8210.3","5692.9","3195.2","4780.8","9411.5","9210.9","7985.5","4837.9"
"M952.83T664.2","952.83","664.2","87680.4","74900.3","27786","28151.7","65440.5","47760.5","23713.1","9448"
"M948.8T632.4","948.8","632.4","56526.4","49041.9","26898.6","17574.8","46950.3","27414.9","13472.1","13392.6"
"M951.74T609.6","951.74","609.6","17866.9","16515.6","10470.9","9568.3","17149.8","12546.1","3830.6","4297.8"
"M549.49T646.8","549.49","646.8","2857.7","2467.8","1683.7","1626.2","1934.6","2859.6","1491.4","1592.2"
"M615.5T402","615.5","402","19410.9","18413.9","14294.2","13293.8","17679.7","17522.8","15300.1","14590.5"
"M896.54T304.8","896.54","304.8","12189.8","12513.9","15844.1","16121.9","14594.9","17212.9","18641.7","18995.8"
"M858.59T309","858.59","309","22568.7","24335.4","32934.4","35020.7","53141.4","56643.1","67859.2","69133.4"
"M900.57T355.8","900.57","355.8","13128.4","14979.6","18946.1","17737","17306.6","17734.5","18956.2","20897.7"
"M738.66T559.2","738.66","559.2","1732.4","1743","1349.4","1452.9","2084.3","1951.4","1430","1387.4"
"M951.78T695.4","951.78","695.4","15623.3","15447.7","3434.2","3403.4","30891.4","4071.6","3643.8","2017.1"
"M813.64T593.4","813.64","593.4","1465.5","1307.3","2255.1","1755","3781.2","3267.7","1702.7","1584.5"
"M771.52T311.4","771.52","311.4","158591.3","144463.7","152375.3","149435.7","219293.9","214299.2","218496.9","182988"
"M764.68T563.4","764.68","563.4","1891.2","2083.9","1359.5","1848.3","2424.2","1914.6","1454.6","1328.5"
"M929.83T674.4","929.83","674.4","24250.5","19889.4","2279.4","2070.5","23378.9","2948.6","2218.7","4277.3"
"M880.72T585","880.72","585","115203.8","121472.2","131390.9","134457.9","123375.6","133413.9","134509.5","137107.3"
"M895.72T651","895.72","651","87649","86210.5","39492.9","39965.9","61483.4","45302.8","21546","20728.8"
"M899.75T692.4","899.75","692.4","91898.9","88065.7","47370.4","46537.3","47406.6","34502.5","17521.3","18801.3"
"M841.67T621","841.67","621","20911.3","20795.5","8929","9279.5","8757.9","4789.5","1633.9","3120.3"
"M867.68T624.6","867.68","624.6","28142.8","26820.5","12031","11612.1","18383.2","13307","3511.1","3322.5"
