"","mz","rt","neg-Exp1-Blatt_K-1_1-B,1_01_8102","neg-Exp1-Blatt_K-2_1-B,2_01_8104","neg-Exp1-Blatt_K-3_1-B,3_01_8107","neg-Exp1-Blatt_K-4_1-B,4_01_8109","neg-Exp1-Blatt_K-5_1-B,5_01_8111","neg-Exp2-Blatt_K-1_1-D,1_01_8113","neg-Exp2-Blatt_K-2_1-D,2_01_8115","neg-Exp2-Blatt_K-3_1-D,3_01_8117","neg-Exp1-Blatt_P-1_1-C,1_01_8103","neg-Exp1-Blatt_P-2_1-C,2_01_8105","neg-Exp1-Blatt_P-3_1-C,3_01_8108","neg-Exp1-Blatt_P-4_1-C,4_01_8110","neg-Exp1-Blatt_P-5_1-C,5_01_8112","neg-Exp2-Blatt_P-1_1-E,1_01_8114","neg-Exp2-Blatt_P-2_1-E,2_01_8116","neg-Exp2-Blatt_P-3_1-E,3_01_8118","neg-Exp2-Blatt_P-4_1-E,4_01_8121","neg-Exp2-Blatt_P-5_1-E,5_01_8122"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M195.0351T37.1","195.0351","37.14128","2255.884","3683.2907","2576.615","3074.2814","2579.3083","2816.4","4081.7952","2647.676","2166.4332","1801.2791","1175.235","1616.8688","1599.9722","963.942","1551.3457","1527.6388","1736.6806","1677.002"
"M196.0633T188.8","196.0633","188.77708","1543.5935","2504.1593","2231.142","2571.2085","2307.3044","2113.056","2854.307","1798.036","2586.626","2105.6014","3036.1681","2340.1872","2700.77","2788.727","2567.7598","2968.371","3159.3047","2711.3197"
"M197.9142T29.2","197.9142","29.18681","27498.0909","26194.4042","26085.66","24346.6938","26382.551","28058.17","26894.4097","26944.54","11387.7517","7655.2581","9804.8362","14443.352","11227.175","14807.9481","14452.8225","12800.1452","13530.5472","10093.6959"
"M199.0977T280.4","199.0977","280.44794","4771.0294","5286.9471","3879.615","2856.3459","4237.5304","3557.016","4478.8297","4444.399","1221.2828","964.7438","771.7521","1753.7713","814.1017","1736.0008","1137.3658","1288.161","1164.1254","1133.8934"
"M199.9809T42.1","199.9809","42.11128","1800.0254","1969.4525","2158.497","1837.243","1816.0095","2411.548","2037.6728","2464.281","6555.262","8128.1487","10854.7989","8607.4523","9961.2902","4220.6227","6146.7661","4871.4402","5711.8454","7527.15"
"M201.9961T43.5","201.9961","43.4536","1327.345","1500.0043","441.6246","993.4965","1082.8745","1155.048","942.3966","802.9315","2017.3525","947.8034","1843.2137","1287.5419","1217.2069","1555.3411","2041.68","2038.544","2211.1162","3051.803"
"M203.0832T147.8","203.0832","147.82421","5678.064","3243.2469","4925.744","2885.0863","2376.8316","4811.017","4017.6638","2817.298","6531.7076","6284.9787","6281.9348","7775.2214","9719.2733","4455.3796","10601.5723","3432.3724","4522.1202","3277.5678"
"M204.9852T23.7","204.9852","23.72387","1535.4406","1538.3116","1659.482","2001.4902","1767.5597","2100.375","1810.9104","1753.708","2246.471","2729.8533","1823.272","1991.1706","2199.1685","2521.8657","2858.9642","1403.0674","2685.825","2831.0086"
"M205.0511T220.5","205.0511","220.45025","40901.3761","38590.8369","38958.46","31929.6397","41198.0809","32430.97","40033.3873","37982.3","34214.1829","35177.0551","38767.9183","31136.0272","28988.4523","28182.7848","26004.5934","23754.0832","27639.2931","30207.7326"
"M205.1233T380","205.1233","379.98683","2425.1312","2555.3966","2288.144","2164.9517","1852.7569","1828.703","2222.8698","1837.447","2565.7951","2095.8821","2707.5241","2388.0503","2452.3305","2269.4742","1453.7984","2343.5045","2408.206","2558.6972"
"M205.1238T347.1","205.1238","347.10603","2608.9705","2576.9016","2220.296","1962.4513","2348.4492","1881.176","1731.1985","2589.628","2292.008","2579.0424","2567.6165","2264.471","2565.372","1932.3222","2330.482","2256.6592","2127.3054","2631.7847"
"M205.1242T422.3","205.1242","422.27244","2422.3586","2391.3497","3138.905","2721.2854","2467.8471","2712.79","2621.1285","2300.805","6493.1059","9546.9598","5910.4545","4310.0433","7472.5051","3954.733","3861.7619","4279.6932","6176.7382","8142.7513"
"M206.0543T220.4","206.0543","220.42871","4725.1913","4391.0492","4102.617","3678.8819","4151.2697","3216.682","4997.7084","4419.084","3897.9959","3667.1824","4510.0673","3166.9329","2057.3615","2598.9351","3188.4569","2976.4677","3215.4693","3146.1265"
"M206.0837T250.1","206.0837","250.13849","2218.1802","2104.8892","1285.212","1521.8658","1115.1571","1923.377","1549.2633","1209.757","1900.7308","1351.4053","1619.0415","878.8424","1434.093","1080.54","1385.1583","1139.3764","1612.7067","1419.264"
"M208.038T284.1","208.038","284.06661","25960.0788","22874.6223","22759.9","21590.79","17050.1165","21812.9","23116.1666","20438.2","29213.1214","29760.2072","28377.1471","26678.668","27118.9271","24729.5738","26034.7403","25847.5709","25640.7783","28532.4253"
"M208.058T26.2","208.058","26.16334","45466.1469","36158.6325","32317.38","32914.6809","31652.9029","33598.11","33031.8446","30347.66","8528.8782","5044.6305","6784.7486","6555.6254","6433.215","8566.2002","7795.1855","9289.905","7925.3123","6987.2867"
"M209.0458T240.5","209.0458","240.46944","10345.0603","7103.9475","3965.216","5357.9217","4590.2168","6405.201","5168.2167","4995.684","16377.3967","13520.5053","7771.1786","6053.4842","8002.8952","10207.4845","12835.8622","13485.3632","8677.9718","11918.4043"
"M209.9497T26","209.9497","26.00091","6974.807","9763.6356","13240.42","14045.6786","12139.846","8211.273","9867.9611","8927.26","12422.7801","16218.0967","17703.4149","21501.8857","19274.0233","12563.1231","8478.7658","8210.4025","10982.2406","11626.022"
"M214.0741T188.7","214.0741","188.73136","74831.0338","76609.5804","85600.31","81215.7061","82119.7835","80805.82","78983.4245","81976.75","68041.5126","65085.8179","74881.2666","73715.4068","72322.81","74734.3971","72251.6374","74526.1741","75171.047","75500.3206"
"M215.0318T23.8","215.0318","23.78465","2327.0807","2689.344","2820.127","1215.3888","2272.96","2153.312","2903.1393","2237.593","4161.0795","9083.7495","8966.8468","6201.8324","6701.0926","5662.5264","3853.5735","5182.7437","5824.2281","5506.9071"
"M215.0765T188.7","215.0765","188.71667","9603.6923","10306.374","11080.88","9814.1309","10445.9275","10460.86","9985.3243","10716.84","8919.8124","8217.3471","9839.0398","9509.9984","9819.7661","9946.1573","8769.9285","9869.2887","10031.0058","9554.9568"
"M218.1037T92.9","218.1037","92.88636","17236.1531","16129.1229","12634.94","12180.6309","13106.9592","12736.6","14773.2263","11180.58","14858.3634","16691.1575","13749.7804","12588.6826","13422.4716","10367.3531","13564.9309","12937.8511","14426.8968","13824.9493"
"M218.8795T22.5","218.8795","22.54395","1179.2611","1487.19","1217.333","1138.569","1219.9357","1490.52","1253.9694","1374.353","1921.3197","1438.8865","1368.1859","1600.7906","1699.942","2044.695","1866.9","2060.5854","1953.0523","1765.0967"
"M218.9961T23.6","218.9961","23.60536","2621.4308","2086.7013","3039.529","2575.2947","2577.9208","2516.283","1817.4083","1895.796","3141.1247","2775.3279","2699.7569","203.435","2058.6913","2424.8755","2784.9922","2788.3558","2502.9214","2942.8715"
"M219.0281T271.8","219.0281","271.8459","4046.4121","3438.203","4407.825","4088.8549","4104.5812","3908.194","4235.6437","4065.244","4497.9782","4196.2968","4526.642","3953.1184","3885.4044","3267.0013","3699.2067","4191.3044","4228.9471","4313.5638"
"M221.1039T158.3","221.1039","158.32144","2855.3047","2857.0238","3408.078","2617.0809","2173.086","5233.828","5762.5488","1444.956","10048.8492","10148.7968","10047.5331","5446.8865","9572.0135","3256.9188","5530.0245","3298.3475","3814.4768","3250.5951"
"M221.1181T323.5","221.1181","323.49795","5233.3783","4694.392","3744.531","4418.3071","2599.8274","3192.436","4258.6472","3558.835","4135.1134","3989.9287","4496.8736","3937.4658","4170.5009","3118.2089","3912.3917","3711.9654","4463.8434","4206.1473"
"M221.1179T353.3","221.1179","353.28341","2200.5265","1840.7442","1180.273","1840.9752","1572.6411","1536.281","1564.251","1331.819","2459.1937","2192.4395","1222.1266","1027.5135","2170.8166","2065.7227","2337.5801","1465.0572","981.8898","1948.0149"
"M221.155T394.5","221.155","394.52175","4128.3741","7454.9416","3566.457","3630.2701","5323.7833","3795.059","4354.4942","4462.792","2673.2741","2524.595","1682.5796","2809.404","2264.1315","3467.6928","1817.8785","1402.034","3911.7363","1674.1688"
"M222.0776T162.8","222.0776","162.75739","5159.0794","6315.4895","687.1374","3711.2989","4416.6091","4621.555","4478.7131","5003.429","2015.991","2188.0224","1451.4735","1159.3311","2575.638","2610.8328","2155.8639","1818.9342","3323.1282","3620.5795"
"M223.0626T284.3","223.0626","284.3269","1549770.901","1446746.5804","1376000","1354539.025","1307262.1953","1394266","1389884.3925","1250545","1762226.6829","1754538.4612","1771205.6392","1642377.2878","1658143.3873","1542542.6006","1574703.655","1606360.2034","1604003.7746","1753483.4533"
"M223.0613T227.4","223.0613","227.43273","13334.5439","12245.3783","18832.31","13447.7223","14172.2312","15407.37","15313.0583","11643.24","17434.3649","17906.2894","19669.1755","14485.1536","18438.2048","16163.3039","15800.0235","12167.7648","17925.2614","16401.9321"
"M223.0618T200.1","223.0618","200.10969","2509.69","2248.1124","3660.89","3051.1915","1767.1105","2131.604","2498.8743","1868.9","4481.792","5389.4883","5093.5072","4285.7748","4650.8831","3738.0291","3824.7841","3955.7966","3510.7196","3545.6965"
"M223.0978T371.5","223.0978","371.53573","28971.3383","24957.4743","19061.69","22751.3089","18811.3145","21380.11","24046.017","20395.53","32747.699","34364.5249","28072.634","31616.8005","30849.0835","26696.1407","31137.8622","27407.3635","31272.92","27422.166"
"M223.0619T220.4","223.0619","220.36316","29611.7988","30134.6181","28223.09","23227.7935","28914.1164","24741.18","27861.7263","26738.01","25236.0595","27801.5595","27832.232","22350.6348","21315.5747","18679.4928","18714.2143","18058.3141","19564.9309","22470.9073"
"M224.0653T284.3","224.0653","284.27475","184263.5717","176800.2532","165338.1","164684.4807","163475.7575","172007.9","177298.665","156517.2","207920.7668","215815.7106","214479.3938","201947.7343","206199.43","194191.473","199909.8006","202076.4556","198846.6149","217852.4589"
"M224.0565T65.8","224.0565","65.82246","14910.8912","13779.9147","11776","12067.7873","10860.1331","12418.2","11582.7885","10091.8","26215.1248","27972.5102","22272.7975","24052.0497","23690.5019","14300.2212","16887.9796","18142.6169","16734.5217","19792.3317"
"M224.1009T371.6","224.1009","371.56661","3872.7032","3197.5097","2266.793","1621.5356","1693.926","2691.851","2800.853","2312.291","3714.523","3803.3394","3471.5268","3870.6246","3684.6308","2663.3381","4235.1385","3450.851","3040.7483","3568.3311"
"M225.067T284.3","225.067","284.25074","25105.4593","24728.9601","22875.46","22851.42","23289.8466","24713.19","24954.471","22199.85","29226.348","31621.9493","32351.566","29998.263","29633.3768","27414.3501","26693.7751","28335.6335","28339.7614","28378.3156"
