"","mz","rt","pos_Exp1-K1_2-C,1_01_7443.d","pos_Exp1-K2_2-C,3_01_7445.d","pos_Exp1-K3_2-C,5_01_7447.d","pos_Exp1-K4_2-C,7_01_7449.d","pos_Exp1-K5_2-D,1_01_7451.d","pos_Exp2-K1_2-E,1_01_7454.d","pos_Exp2-K2_2-E,3_01_7456.d","pos_Exp2-K2_2-E,3_01_7460.d","pos_Exp2-K3_2-E,5_01_7458.d","pos_Exp2-K3_2-E,5_01_7462.d","pos_Exp1-P1_2-C,2_01_7444.d","pos_Exp1-P2_2-C,4_01_7446.d","pos_Exp1-P3_2-C,6_01_7448.d","pos_Exp1-P4_2-C,8_01_7450.d","pos_Exp1-P5_2-D,2_01_7452.d","pos_Exp2-P1_2-E,2_01_7455.d","pos_Exp2-P2_2-E,4_01_7457.d","pos_Exp2-P3_2-E,6_01_7459.d","pos_Exp2-P4_2-E,7_01_7461.d","pos_Exp2-P5_2-E,8_01_7463.d"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M395.3369T853.3","395.3369","853.260928","144.4488","2320.775","137.1096","1724.482","138.0623","1994.226","2591.07","2542.841","33.36774","1357.129","18434.44","21323.65","14632.6","7145.044","18982.03","5628.221","8761.407","12446.3","20220.52","17523.92"
"M395.3983T697","395.3983","697.019618","3643.518","2801.41","1442.628","1734.309","513.744","929.8283","3043.011","2742.192","972.2777","1252.13","3393.651","658.4187","1501.091","1241.659","1185.087","1599.129","1231.992","1899.037","2025.038","2854.134"
"M395.9123T23.5","395.9123","23.452537","1125.029","922.0035","992.3897","863.2349","548.1567","842.8054","789.4062","923.2976","834.3765","1010.116","709.2336","535.5869","721.2432","680.1125","484.8646","495.2093","819.231","489.5907","707.4638","320.6112"
"M396.1203T257.4","396.1203","257.367633","8539.826","7494.007","5986.578","6957.895","3040.137","2686.684","3637.246","3223.577","2800.895","2631.775","6096.826","3444.933","4177.507","3843.12","3771.555","2296.619","1736.53","2092.543","831.7989","1520.085"
"M396.1016T147.1","396.1016","147.05486","4229.634","2644.114","2944.569","2825.433","1065.491","2452.972","3152.925","2898.185","1979.129","2352.376","2715.374","949.6883","1136.831","1564.701","1339.718","2188.996","1703.501","2256.923","1615.654","2044.086"
"M396.1025T238.7","396.1025","238.686451","1471.636","1953.263","1561.849","1672.829","838.5043","1205.861","1042.5","821.2168","1255.062","1410.139","1087.086","724.7964","934.4136","924.0153","700.3005","1280.229","870.0288","1209.96","1029.622","567.88"
"M396.1212T299.7","396.1212","299.668643","1667.119","1290.698","1017.041","1221.643","614.5796","558.4921","1182.193","980.6708","885.0408","488.724","4018.53","3813.143","5964.75","2167.044","5101.364","1701.026","2486.986","2651.315","1866.384","2314.357"
"M396.1327T195.2","396.1327","195.243384","7268.815","4823.609","5413.84","7208.535","2478.81","4288.403","4807.904","4466.06","3938.315","4004.64","18852.17","19160.29","17528.19","17918.67","18453.61","18367.31","18510.67","17112.19","17133.7","14696.53"
"M396.1491T485.4","396.1491","485.352896","1386.233","1138.615","3529.756","2264.058","552.9762","1947.408","2395.414","2124.456","1183.702","1234.437","1785.719","1481.044","1635.763","2764.002","3833.961","3848.686","5574.612","3935.67","7414.618","6783.422"
"M397.0646T306.9","397.0646","306.897779","1906.524","1792.52","1260.907","1851.392","1283.56","1571.391","1671.901","1507.544","1570.423","1504.678","1678.026","1146.467","1567.342","1230.759","1143.933","1228.868","1494.642","1512.779","1241.405","912.396"
"M397.1001T349.2","397.1001","349.23241","5783.066","4168.377","3892.521","4023.883","1898.983","1640.086","4672.134","4799.479","768.4881","345.8168","4483.125","3839.492","3102.206","6231.622","5775.778","3089.734","2231.784","2922.719","4080.962","7143.627"
"M397.1329T164.2","397.1329","164.152638","7935.388","6530.392","6688.538","6747.927","3344.198","5159.478","6263.518","5849.727","4986.419","5159.57","32858.49","27053.32","22983.8","19121.1","16491.92","21776.8","18578.82","24793.56","21418.04","16064.49"
"M397.1305T34.8","397.1305","34.754345","1605.664","1226.851","1907.525","1514.062","1180.937","1920.841","1170.404","1191.714","1585.127","1664.791","5169.164","6235.935","6234.304","2535.096","6332.735","8617.285","12303.19","6539.577","9895.723","8590.571"
"M397.1599T392.2","397.1599","392.246546","122.4627","43.0344","100.0929","196.5156","59.7144","38.6976","64.3848","79.407","97.8034","83.0664","2182.745","679.6196","1104.878","190.2204","959.6493","947.9846","2297.733","751.9344","1429.445","1521.411"
"M397.1938T267.4","397.1938","267.392171","1570.392","1605.644","2040.275","1184.347","561.317","1490.06","3747.804","3751.016","1289.175","807.9569","3113.585","4285.803","3552.84","6381.157","4193.762","2931.677","4513.608","5063.723","9374.827","13735.65"
"M397.2058T250.7","397.2058","250.725572","2877.967","2163.099","1432.056","1301.52","785.0173","1121.23","961.7688","1030.824","657.3738","1131.28","3972.011","4039.708","6353.487","1857.994","5182.473","1157.047","1976.474","2609.976","2127.131","2662.847"
"M397.2409T387.6","397.2409","387.617437","1157.839","605.7018","835.0425","1141.236","407.812","288.0262","394.2178","571.1836","589.4712","489.0576","566.1616","322.7459","437.9512","399.6977","380.7745","663.1223","578.5274","331.7177","682.5456","416.52"
"M397.3275T1014","397.3275","1014.014311","113510","111758.7","106491.1","118170","20591.77","88293.91","78573.28","79357.26","71009.56","71450.67","128941.1","68226.2","88340.03","90203.63","65988.34","67849.12","56290.41","65787.09","82010.32","105714.6"
"M397.3279T984.4","397.3279","984.365344","11800.5","11357.71","8770.025","9186.189","2612.441","3729.721","6071.777","6672.996","4996.969","4894.696","10369.01","5005.213","7241.48","8192.629","4915.262","3809.795","2559.885","3314.983","6946.831","6056.913"
"M397.7573T24.3","397.7573","24.276517","824.0262","1139.321","1083.511","1356.474","990.659","1206.381","1293.182","1366.47","1153.693","1147.829","249.1693","69.42624","204.1346","177.4504","91.76805","511.703","371.0966","411.2391","207.1035","184.1472"
"M398.0752T261.9","398.0752","261.888369","2237.46","2030.391","1497.197","1747.554","1304.376","1783.94","2163.574","1916.075","1173.834","1264.263","1534.587","1353.082","1402.254","1088.063","1482.132","1278.689","1205.901","1590.938","753.0583","1672.144"
"M398.1248T369.3","398.1248","369.262106","4221.087","2680.464","3790.689","3486.67","1596.005","2570.533","2865.355","2492.192","1672.855","1467.533","6628.864","4604.715","5509.704","5592.118","5623.107","2950.208","3809.445","3211.636","4391.721","3926.276"
"M398.1366T164.1","398.1366","164.135229","992.2379","842.0955","1022.234","1170.157","365.7078","662.3894","1154.103","773.8081","719.2416","645.2151","5383.128","4499.032","3940.06","2975.973","2473.511","3739.356","2926.76","4198.947","3567.852","2866.157"
"M398.1651T335.6","398.1651","335.614085","169846","112161.2","121533.9","145267.7","29479.12","109701.8","95434.9","95297.56","84618.17","85663.67","395703.4","261982.5","257762","241788.3","205643.3","323283.9","244803.2","270177.3","213819.8","127724.3"
"M398.1642T421.4","398.1642","421.383533","222.3038","189.7645","141.433","114.0804","89.75633","159.4608","69.729","167.4831","123.145","47.72387","1541.779","534.2137","585.5234","584.0211","773.8787","968.2465","657.192","391.6464","648.7305","872.364"
"M398.1819T221.7","398.1819","221.731571","2663.974","2195.76","1691.521","1958.899","921.2927","1443.353","1979.916","1901.066","1098.189","878.9482","3634.259","1821.404","2629.071","5068.572","1908.437","790.094","306.9488","1900.519","1190.522","612.9702"
"M398.1966T267.4","398.1966","267.431336","452.7578","313.9646","589.589","342.1315","223.9075","268.3628","828.4637","890.9122","272.2176","263.2832","367.7099","813.984","653.4238","1341.981","954.084","528.4224","869.6376","1358.327","2287.357","2958.031"
"M398.1826T155.5","398.1826","155.470879","3248.297","2033.468","2816.601","2632.194","1006.873","1514.566","2540.327","2665.642","1549.238","1608.508","660.9091","301.2841","494.1682","686.3633","308.691","447.2845","485.1242","589.556","415.8151","280.9518"
"M398.2405T560.8","398.2405","560.838205","52873.87","45038.79","44555.62","28358.76","19394.33","22226.09","22110.95","22517.05","8649.443","9050.128","74583.96","50344.84","60931.26","66022.92","64894.58","20216.84","19068.38","22113.97","21464.81","12986.71"
"M398.3313T1013.9","398.3313","1013.911992","27081.59","26759.39","24899.24","28414.47","4047.02","21209.95","18474.6","18568.74","17395.27","16796.34","30931.22","16589.39","20382.67","20969.98","16015.76","16258.32","13839.58","15746.3","20348.5","24995.31"
"M399.0942T262.1","399.0942","262.067027","15870.52","16816.82","16054.17","13820.2","15315.33","16014.8","16261.35","15651.7","16184.3","16246.57","11037.45","12340.31","10084.38","12081.58","11558.65","15262.61","12175.85","13191.88","13799.75","14697.03"
"M399.0899T26.1","399.0899","26.071762","10742.14","8380.958","6855.754","7138.956","4429.071","10675.99","9373.028","9285.495","7973.057","8745.789","6321.842","4823.164","7108.214","5685.68","3580.852","15651.57","11333.96","10963.61","10264.24","4417.282"
"M399.1214T210.6","399.1214","210.55977","91509.33","54177.79","59315.95","86690.96","29042.61","34978.01","49785.68","47767.72","35643.84","35745.61","101547.7","59153.97","76929.49","78953.87","65466.57","53478.09","47504.47","54668.81","47076.68","43725.33"
"M399.1211T242.5","399.1211","242.534233","274948.9","192840.8","193426.4","234712.1","83548.98","156713.7","184690.9","182509.5","148099.2","146785.7","587706","373879.1","504862.5","379979","420196.9","299026.4","278652.4","238508.6","283775.1","245502.8"
"M399.1382T278.3","399.1382","278.329782","929.8194","1025.82","666.4757","698.2248","378.7408","524.7094","739.8224","810.2023","608.4864","591.8001","1385.438","1930.822","1604.838","907.6431","1545.528","757.8003","1793.381","1222.192","2102.347","1554.91"
"M399.1679T335.6","399.1679","335.614085","34546.75","23231.62","24645.62","28868.11","6134.967","22335.44","19154.76","19445.37","17479.46","17459.94","79566.92","53455.4","51826.95","50518.08","42347.99","65369.97","48926.53","55203.46","41915.22","26871.67"
"M399.2441T560.9","399.2441","560.891624","13785.27","10941.03","9991.911","7022.632","4631.368","5163.158","5448.008","5534.129","1692.755","1999.265","18480.96","12396.7","14829.19","16199.62","16209.5","4822.126","4343.721","5079.535","4725.463","3147.502"
"M399.2707T789.7","399.2707","789.656979","7190.337","6048.363","5289.121","6802.084","3346.117","1768.355","3453.377","3122.232","3094.373","2505.049","1162.994","875.1653","1119.157","1173.587","3998.664","1035.69","940.5858","930.5724","1015.01","1183.91"
"M399.3358T1014.1","399.3358","1014.052975","4507.533","4233.953","4079.899","4008.164","1059.679","3010.248","2787.998","2419.872","2492.682","2741.286","4886.67","2389.52","3566.115","3359.938","2348.841","2932.387","1739.861","2545.702","2991.236","3288.421"
"M399.3577T668.3","399.3577","668.272559","2021.01","1893.855","1485.979","1069.868","792.3225","1332.602","1420.802","1548.266","949.3546","852.2502","2361.524","1606.772","2317.38","2939.127","2714.799","695.2224","1337.566","1061.113","1739.062","1313.05"
"M399.3598T932","399.3598","931.976586","2871.585","1815.785","957.6542","1560.038","358.5012","1371.096","2065.985","1757.813","1184.889","802.6416","6759.403","1741.655","4139.642","2952.51","2891.649","3985.777","2305.152","3272.601","4635.78","6429.757"
"M399.5946T262.1","399.5946","262.054395","5560.44","6245.385","5935.411","5462.499","5699.668","5714.902","6325.366","6155.727","5985.742","6553.085","3948.116","4833.988","4061.475","4733.471","4424.172","5118.091","4343.372","4553.543","4669.543","5193.228"
"M400.0988T261.9","400.0988","261.940985","2109.634","1709.033","1738.723","1643.995","1949.343","1712.702","1802.012","1820.555","2134.514","1660.325","1254.002","997.1304","1765.598","1264.93","1368.367","1658.326","1443.108","1152.922","945.1328","1830.662"
"M400.124T210.5","400.124","210.46759","18509.55","10124.76","12835.57","18576.42","5952.522","7238.902","10088.12","10187.94","7561.116","7037.593","22481.85","12138.19","16541.56","16681.95","13914.99","11908.59","10433.26","11672.33","9999.712","9551.161"
"M400.1238T242.5","400.1238","242.534233","56666.42","40453.12","42911.06","49750.56","17122.55","33921.91","40357.81","39906.33","31250.11","31624.28","119647.2","75555.66","104396.9","80840.09","86757.58","57793.62","59652.04","49923.98","57975.69","52331.88"
"M400.1108T195.1","400.1108","195.085947","949.3196","620.7192","593.0204","759.7711","270.3375","537.0038","665.4377","545.2985","399.8905","457.905","2194.947","2566.532","1877.688","2183.412","2322.182","2467.906","2624.374","1920.028","2179.765","1404.122"
"M400.1045T172.5","400.1045","172.486922","2116.689","1695.784","959.4336","1000.378","659.5766","669.6105","1397.702","1290.919","994.6171","1018.696","2122.697","1609.731","1360.665","394.2561","1293.382","1346.871","1409.3","1308.713","1434.246","966.613"
"M400.1452T140.7","400.1452","140.699229","4107.873","2951.629","2685.416","2895.26","1461.841","3564.009","2825.033","2284.392","2802.428","2514.969","20235.18","13391.45","17185.61","10315.93","8968.006","6897.151","9027.839","7919.202","10480.32","8701.065"
"M400.145T95.6","400.145","95.608101","2415.512","1789.684","1723.963","2130.013","551.8005","1719.366","461.2934","1990.688","1048.862","1250.177","11938.29","10023.48","8355.408","6334.782","4671.869","5443.339","4587.335","7638.532","6019.56","3296.926"
"M400.1632T335.6","400.1632","335.614085","19857.1","13565.24","13535.25","17264.63","3334.921","13181.35","10680.63","10837.33","9552.209","10362.18","47086.33","31155.12","29449.68","27647.12","23659.9","36172.34","27883.33","32046.76","23952.87","14646.58"
"M400.2141T201.3","400.2141","201.256013","1796.257","2016.641","1742.577","1628.526","618.0126","687.9519","620.7053","857.0184","594.0216","594.8088","751.4506","914.5004","811.8921","868.0272","942.7536","532.887","433.2724","483.72","408.758","365.7571"
"M400.3775T778.5","400.3775","778.510994","5910.394","4525.865","3373.717","2161.44","1420.985","3661.439","6813.988","6671.213","2553.374","2512.34","4798.98","1891.882","1620.413","4009.123","1368.094","3315.415","3069.693","2083.054","3533.878","6386.592"
"M400.6107T195.2","400.6107","195.155924","280.5576","202.5614","200.9717","273.9752","79.74344","159.8989","222.6203","168.2251","122.7447","144.4252","717.0236","497.3231","642.18","514.7448","822.1115","1174.341","893.7144","671.5324","718.908","590.9237"
"M401.121T210.3","401.121","210.330263","8051.067","4963.006","4620.546","7951.886","2227.016","2748.674","3969.506","4220.707","2521.559","2984.017","8642.634","4853.062","6480.445","5930.77","5381.969","3962.39","3900.119","4594.371","4014.677","3837.113"
"M401.1201T242.6","401.1201","242.588057","22356.88","15786.7","15662.93","17188.61","6934.044","13049.33","14330.54","14594.32","12495.95","12124.84","44781.02","29136.26","39651.21","29509.79","33202.18","23656.27","22105.04","18925.45","22573.17","19474.98"
"M401.1433T484.9","401.1433","484.890892","640.9063","307.9454","1639.331","687.4014","268.8816","910.2427","1126.766","666.9997","414.7145","350.9472","720.2495","640.512","719.1492","1235.204","1687.728","1840.326","3709.098","1725.891","5300.427","5243.918"
"M401.1434T282.3","401.1434","282.336631","3013.591","1586.712","3065.367","2201.593","927.4655","1513.247","1453.659","1492.952","1144.326","829.5754","9070.165","7174.685","9705.211","8675.667","8739.603","2574.776","5298.425","3642.002","5103.746","5020.013"
"M401.1655T335.6","401.1655","335.614085","3119.925","2486.18","2750.71","2765.076","639.927","2288.648","1587.111","1770.358","1796.894","1700.224","8113.163","4825.072","6086.88","5496.222","4486.162","6771.122","4815.279","5991.597","4440.356","2504.757"
"M401.1581T304","401.1581","303.98506","373.332","363.4149","412.4779","611.9599","211.5024","293.6472","418.0724","246.9528","171.4998","197.807","3603.214","3471.878","4026.275","3775.685","2478.252","1989.384","1478.18","2112.206","2767.772","1707.372"
"M402.0718T167.5","402.0718","167.541958","8392.765","7458.586","6952.152","7637.438","3502.198","9533.713","11557.41","11269.44","9349.507","8972.475","634.8408","327.985","406.0955","449.3977","418.4061","2663.347","2092.339","1081.63","1359.024","682.6041"
"M402.1633T201.2","402.1633","201.192935","5776.75","7428.53","4251.732","5747.75","1544.234","1288.106","1381.282","1224.779","1343.149","1136.909","884.6183","564.705","808.9186","861.4744","979.8411","475.1778","78.78017","196.1316","295.0161","307.2456"
"M402.3568T698.8","402.3568","698.84575","8029.752","3896.114","3220.276","3359.948","2215.476","2491.013","5417.722","5550.77","3489.42","2690.484","7942.035","3354.125","3224.815","4443.639","4856.422","4136.401","3886.514","2991.058","4160.266","6936.364"
"M402.5719T167.5","402.5719","167.524174","4408.738","3502.133","3375.974","3550.838","1396.744","4209.445","5119.275","5184.308","4147.337","3703.018","241.86","144.1282","226.2622","167.4973","132.1294","1135.738","1085.868","357.3774","712.3641","380.304"
"M402.6131T231.7","402.6131","231.667878","11272.56","8918.778","9134.37","9260.73","9253.089","10664.19","10076.68","9911.293","9354.678","9929.835","5495.578","8377.588","6613.182","8441.977","7757.207","9954.183","10175.41","10194.7","10542.13","10476.92"
"M403.0679T167.5","403.0679","167.527103","7356.67","6551.919","4973.536","5144.112","3203.28","7900.226","8998.899","8948.162","7358.882","7678.863","580.7479","456.0685","617.3186","503.5317","475.2091","2377.974","1485.521","1382.008","683.3493","691.16"
"M403.1162T231.8","403.1162","231.753524","5657.533","5975.737","4690.082","4923.303","4802.532","5532.551","5581.618","6041.998","4736.597","5085.764","3988.715","4413.327","4558.626","4511.921","4051.465","5429.063","5898.679","5268.099","5714.814","5551.639"
"M403.1078T338.5","403.1078","338.496817","12430.94","11043.06","8583.909","9013.805","4976.255","6543.666","6832.759","7224.774","5544.539","6054.394","2063.574","2018.838","2384.916","2049.413","1205.532","2441.776","1876.556","1604.171","2271.11","1708.178"
"M403.174T195.4","403.174","195.396527","773.952","917.4","429.0953","862.1947","90.09","274.3352","225.225","400.48","254.127","238.2156","32622.75","20475.19","23991.15","27476.21","21034.04","11481.27","12730.92","13638.73","11952.29","5892.08"
"M403.2809T991.8","403.2809","991.827202","13427.12","13061.87","17824.5","12594.61","1346.448","10262.1","5962.532","5976.711","2093.708","2342.561","9101.73","2451.06","4078.387","11825.12","2385.574","7879.492","7685.935","5889.574","2889.31","1570.791"
"M403.3596T697.3","403.3596","697.349707","2057.308","970.1088","643.6042","777.3037","544.493","560.56","1271.18","1320.892","846.6768","871.938","1997.827","548.833","701.9298","808.8943","1184.608","693.6253","691.0036","866.3592","1293.034","2004.669"
"M403.5687T167.5","403.5687","167.521246","2234.836","1798.284","1562.807","1603.949","952.339","2335.529","2699.05","3009.966","2499.86","1991.283","242.8608","127.1245","162.1588","141.8055","160.1424","877.1471","334.9344","429.7927","414.9305","195.156"
"M403.6147T231.7","403.6147","231.732414","2862.906","2255.86","2720.432","2863.297","2503.539","3342.212","3091.916","3068.933","3059.162","3031.09","1321.735","2316.329","2064.64","2258.956","2344.993","2903.923","2835.924","3043.862","2568.21","3090.165"
"M403.6035T334.4","403.6035","334.354873","5864.853","5365.365","5117.01","4639.35","1634.17","4210.097","3122.771","4501.598","2246.462","2655.695","9179.915","8070.789","12347.84","15490.4","14101.81","1951.119","5990.778","4259.405","6975.228","7875.64"
"M404.1776T195.3","404.1776","195.269626","384.9744","171.1549","181.4976","217.5724","137.8181","208.9441","210.613","174.1945","150.4218","162.4957","8992.556","5388.169","6399.782","7363.129","5170.705","3107.228","3593.546","3734.397","2969.04","1556.19"
"M404.2839T991.8","404.2839","991.827202","3168.711","3534.612","4185.122","3191.404","406.3248","2409.833","904.3896","1232.652","544.0768","564.6446","2127.417","521.3065","782.292","2798.915","453.2325","1986.715","1839.424","1348.449","267.4286","592.516"
"M405.0985T95.5","405.0985","95.467853","6336.563","4267.531","4390.829","4960.4","2341.112","4254.48","3914.31","4616.105","3132.641","3674.099","28916.28","26900.05","22485.87","20757.97","14674.69","15930.19","13273.45","22037.89","17325.79","12738.25"
"M405.1386T222.3","405.1386","222.271625","4729.12","3032.998","5318.983","3777.501","1513.629","2823.806","2779.03","2894.981","2304.471","1644.3","11982.16","9365.153","14860.97","10330.9","12271.2","2962.436","4808.924","3711.745","5858.847","6220.499"
"M405.1674T201.7","405.1674","201.683171","29252.05","30419.93","24148.97","28057.06","13950.82","10819.14","12549.97","12697.31","11033.07","11191.95","12943.17","12226.58","11910.32","12292.41","8142.509","6855.146","3861.487","5481.678","2128.623","6031.314"
"M405.1776T493","405.1776","492.987957","50594.6","27115.23","39077.25","38143.19","30108.08","23407.05","26737.6","26008.79","11166","10779.18","9498.641","5946.279","9455.348","20270.81","13842.54","11097.97","20829.66","4016.91","6293.103","13058.38"
"M405.1709T254.1","405.1709","254.05409","6899.088","5046.624","4456.176","5338.533","2749.089","1888.33","2788.113","2082.331","2466.576","1862.365","1425.473","426.426","1282.281","1338.403","581.313","2148.103","1084.643","1611.259","782.292","851.9165"
"M405.2445T379.2","405.2445","379.233449","2170.883","1833.535","2942.832","1403.455","1844.474","1201.421","1905.19","1750.613","1282.298","1470.364","2414.653","1694.63","1741.331","1645.239","1430.81","1400.873","934.08","1516.602","1045.954","1582.264"
"M405.2392T681","405.2392","681.002912","10176.39","11947.2","16706.11","15594.48","493.3083","19450.21","7977.377","7666.128","13999.5","13492.56","6653.318","6127.399","9029.49","12642.77","6691.154","6351.216","6418.103","4120.693","1967.251","5024.057"
"M406.1307T293.6","406.1307","293.561111","7928.38","5933.874","6275.488","7117.556","1473.539","4581.25","4938.105","4831.571","4121.434","3844.064","17457.98","13158.45","12296.41","10512.25","10452.67","14462.89","10938.59","11785.68","10656.25","6895.314"
"M406.1725T201.5","406.1725","201.543562","5555.674","5468.158","4163.73","4917.947","2583.572","1037.83","2066.975","2433.727","2050.626","1816.452","3834.043","3150.833","1930.543","1823.973","1995.406","1235.234","1651.313","1156.013","1941.994","743.0698"
"M406.1815T493","406.1815","492.950401","13062.38","7318.206","9801.523","9680.405","7541.369","5795.565","6504.367","6740.589","2507.422","2224.778","2147.36","1466.234","2299.337","5026.356","3166.969","2587.079","4993.376","1128.806","1563.739","2858.018"
"M407.0727T270.7","407.0727","270.712855","477.4987","365.4171","392.7435","487.4693","261.5638","313.2504","360.3469","319.8962","303.6256","266.5692","32546.99","29860.18","35615.1","8042.352","36090.85","18600.38","56764.37","23799.41","33921.75","32837.63"
"M407.1543T112.4","407.1543","112.400272","23834.44","17581.44","16312.17","16991.25","8721.856","15077.39","16703.81","16668.37","12028.44","12718.02","2439.91","2119.64","2391.654","3569.342","1781.09","4045.234","2749.884","3668.144","2328.494","1441.547"
"M407.1866T229","407.1866","228.993019","4617.521","3072.114","2617.64","3555.373","1585.81","1430.81","1802.928","2226.113","1665.447","1357.233","2642.431","1563.749","2161.699","2475.312","1554.417","2877.3","1656.321","1161.929","1280.457","1923.871"
"M407.2056T437.6","407.2056","437.604925","2134.313","1856.744","1424.747","1200.986","386.386","1147.432","763.3043","1005.338","505.404","766.0768","1571.087","1007.483","1112.864","631.3982","913.7254","795.901","1138.918","872.364","1125.345","516.2118"
"M407.3117T996.9","407.3117","996.877657","559.3333","697.8912","448.0248","516.1431","302.1776","791.4653","1053.842","918.4008","332.2729","710.1678","6449.822","2482.579","3574.524","2112.222","2404.965","1696.464","2299.129","2417.971","4294.474","2383.906"
"M407.3343T815.1","407.3343","815.085591","2997.19","2970.486","3073.76","2728.049","2719.145","2620.111","2861.143","2924.318","2927.018","2882.007","3451.892","2891.43","3273.704","3409.058","2996.074","2797.742","2388.982","2766.573","3069.848","3073.714"
"M407.627T369.4","407.627","369.377929","12034.89","8769.306","10511.62","10167.13","6084.274","8299.465","8660.938","8650.324","4594.909","3788.742","17356.25","14469.23","16925.86","15286.3","16551.19","9976.3","11770.94","10043.36","13074.54","12102.42"
"M408.0915T198","408.0915","198.006149","12922.02","8628.898","10629.9","13767","4665.568","5769.865","6960.564","6623.62","5373.067","5154.592","9322.526","5764.743","5151.969","7914.671","5685.184","8543.83","7014.274","8604.596","6052.874","5945.35"
"M408.0772T270.6","408.0772","270.568946","831.6648","936.6678","409.5112","815.1314","838.265","746.5968","547.0522","773.2848","750.7688","703.6227","7314.766","7066.714","7905.504","1928.205","8152.548","4311.46","13103.55","6082.814","7722.316","7540.795"
"M408.1251T369.4","408.1251","369.376214","9080.474","6638.541","7875.486","7977.554","4342.343","6369.363","5922.061","6143.88","3561.281","3225.711","13613.57","11191.42","12152.44","12433.28","12226.13","7419.694","8682.711","7324.048","9747.626","8747.612"
"M408.1062T314.8","408.1062","314.78068","8940.42","6496.923","7884.768","6808.184","3740","4804.494","5804.74","5161.238","2879.97","2718.098","13302.38","11359.56","12015.35","9548.891","12370.22","4786.848","5458.933","5525.459","9451.344","10451.11"
"M408.1121T167.3","408.1121","167.283051","23015.25","18521.18","15588.76","17776.73","4608.075","21849.41","26397.07","26638.91","16507.59","17156.9","7475.016","4548.264","4810.909","3830.317","2718.32","11627.23","8982.847","8405.216","8168.158","4097.134"
"M408.2767T947.1","408.2767","947.115456","4826.144","2708.138","3457.386","2788.858","1976.632","3058.406","3298.531","2946.355","3064.865","2648.527","5568.748","3056.11","3217.684","5468.31","3725.482","3562.514","2524.685","3297.734","2601.581","4110.619"
"M408.3373T815.5","408.3373","815.482574","541.2489","652.188","426.0072","486.1312","667.8574","658.155","543.0755","471.4668","639.7303","377.8822","802.9166","708.8091","725.4949","828.5269","356.0497","360.36","319.5888","703.136","771.7375","793.2389"
"M408.3665T824.3","408.3665","824.315893","1259.83","1973.759","1654.889","2130.703","2505.048","2304.21","2763.581","3026.413","2830.2","3102.067","1527.077","1161.822","1893.757","2303.868","2185.08","2687.892","2080.33","2579.059","3083.277","3173.083"
"M408.6076T314.7","408.6076","314.749514","3541.619","2231.003","2892.728","2622.557","1822.708","1688.796","2214.321","2513.178","1209.956","1083.144","5611.072","4112.816","5576.124","3761.934","4804.452","2021.451","3092.423","2141.507","3803.862","4152.018"
"M408.6209T164.4","408.6209","164.391459","353.7432","234.2434","187.1945","303.6488","126.4182","250.2643","299.9783","191.5323","214.1969","236.3102","1483.277","959.1","603.032","439.2794","467.2267","731.4833","641.3566","1134.846","1052.286","627.3936"
"M408.7887T24.8","408.7887","24.847487","1002.134","1301.874","1023.298","1229.733","1033.093","992.9988","807.3413","1206.482","1123.278","957.1049","299.2966","224.6277","343.4501","356.0497","214.8803","618.7584","418.029","609.2723","351.0156","203.1467"
"M409.0739T190","409.0739","190.007529","4748.292","4390.185","3880.041","4262.785","1788.594","2614.981","3583.002","2878.573","2329.395","1944.071","3543.623","2041.664","2361.312","3960.304","1749.631","6626.352","5890.485","7847.581","3905.332","3093.757"
"M409.0728T160.1","409.0728","160.102375","1279.816","1082.198","809.9808","1252.797","391.0261","535.6652","619.1616","761.2752","383.1106","357.2856","2327.527","1355.408","1208.905","750.0895","1155.257","2961.14","2853.242","2478.314","1134.416","1797.95"
"M409.0813T270.6","409.0813","270.552462","326.4414","328.2624","340.6527","311.5824","205.4976","265.8792","282.2256","138.4632","155.8146","168.1596","832.3191","1327.394","1133.98","315.7748","1204.099","796.0645","1941.286","559.7808","1254.858","1182.42"
"M409.1091T252.2","409.1091","252.224402","5390.642","5507.318","3625.281","4278.221","2157.391","3498.797","4059.245","4643.045","2949.687","2347.218","3241.986","1693.067","1040.351","3251.907","1720.779","3862.55","3671.925","3080.129","1813.427","1487.078"
"M409.0919T198.2","409.0919","198.179713","2336.868","1656.85","2293.817","2951.024","1655.654","1458.569","1078.893","1567.276","1302.597","979.1125","1886.858","2625.289","2408.416","4170.233","2533.519","4187.367","1517.839","5443.438","2888.796","2237.439"
"M409.114T167.2","409.114","167.16584","3380.803","3004.015","2488.111","2561.714","779.2362","3821.583","3739.472","4091.234","2657.723","2807.496","2158.216","1076.769","1559.022","956.3269","996.9113","1711.73","2004.494","1737.524","797.4633","1227.176"
"M409.1617T527.1","409.1617","527.13865","7844.388","7071.241","5414.907","6200.848","8728.634","5297.09","7575.736","8105.893","5203.126","5079.083","7240.663","5053.706","5066.291","5237.736","5064.028","5901.475","4596.931","5352.603","5882.747","6022.879"
