"","mz","rt","pos_Exp1-K1_2-C,1_01_7443.d","pos_Exp1-K2_2-C,3_01_7445.d","pos_Exp1-K3_2-C,5_01_7447.d","pos_Exp1-K4_2-C,7_01_7449.d","pos_Exp1-K5_2-D,1_01_7451.d","pos_Exp2-K1_2-E,1_01_7454.d","pos_Exp2-K2_2-E,3_01_7456.d","pos_Exp2-K2_2-E,3_01_7460.d","pos_Exp2-K3_2-E,5_01_7458.d","pos_Exp2-K3_2-E,5_01_7462.d","pos_Exp1-P1_2-C,2_01_7444.d","pos_Exp1-P2_2-C,4_01_7446.d","pos_Exp1-P3_2-C,6_01_7448.d","pos_Exp1-P4_2-C,8_01_7450.d","pos_Exp1-P5_2-D,2_01_7452.d","pos_Exp2-P1_2-E,2_01_7455.d","pos_Exp2-P2_2-E,4_01_7457.d","pos_Exp2-P3_2-E,6_01_7459.d","pos_Exp2-P4_2-E,7_01_7461.d","pos_Exp2-P5_2-E,8_01_7463.d"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M542.1656T180.7","542.1656","180.730405","1886.265","1280.023","1052.277","1125.285","706.1621","1027.822","1485.551","1251.129","792.4781","829.8973","2833.774","2687.935","1973.02","2364.723","2103.506","2216.118","2424.583","2287.788","2213.6","2244.839"
"M542.1878T276","542.1878","276.007342","2195.262","1368.407","1002.778","1358.101","453.4711","528.2298","1136.514","958.8925","143.448","218.2267","9983.981","5844.588","6328.058","6770.412","5375.838","4078.887","3833.452","6394.26","4115.623","3380.22"
"M542.3208T642.6","542.3208","642.562937","2460.967","2389.131","618.1976","698.892","474.7128","287.6667","1280.69","1412.462","300.24","409.3272","5540.616","4131.816","3274.755","6089.201","5630.473","1291.179","1211.019","1637.976","2897.657","4191.502"
"M542.4196T922.8","542.4196","922.755939","62.05757","150.4729","193.1792","197.1829","81.40886","74.11629","132.7899","103.4293","122.7806","57.38657","1287.467","1167.033","2544.027","2610.754","2376.45","247.8966","823.7642","650.6116","583.6765","1499.866"
"M542.6906T276","542.6906","276.012281","1007.777","547.7658","507.7566","631.3458","214.8978","215.9586","421.1197","355.11","30.6912","36.37246","5335.059","3516.478","3210.239","3342.338","2574.436","2407.589","1881.434","3206.914","2015.611","1553.1"
"M543.1352T198.2","543.1352","198.248851","436.0152","308.191","243.5718","437.3496","141.4718","213.504","271.1924","206.4984","98.09604","196.8594","2546.832","2733.826","2969.93","2056.632","2825.258","1046.837","1435.95","1273.876","1393.427","934.3405"
"M543.1321T28","543.1321","27.989489","1836.975","1929.896","1444.261","1311.435","1434.743","1220.995","1592.843","1632.132","1153.546","1074.114","17411.58","13912.54","15430.47","8477.327","11181.77","10852.55","12375.87","9861.682","16344.07","22083.38"
"M543.1822T275.7","543.1822","275.74692","11894.18","8449.261","7490.768","8922.104","2879.48","5641.478","6528.766","6474.577","2488.99","2434.703","25371.21","20263.63","20074.15","15709.11","18229.29","17028.44","12122.76","17463.14","17328.87","15276.84"
"M543.181T297.9","543.181","297.916564","14762.47","6159.506","5380.002","6131.883","2229.081","4373.291","4565.7","4121.451","537.7632","457.1233","14628.7","11433.04","12437.84","8603.464","9783.331","10997.65","7424.565","10665.06","11367.02","9207.006"
"M543.2673T608.2","543.2673","608.183008","10537.16","11386.96","14414.43","12378.7","671.5368","10655.52","7489.32","7512.609","8686.433","8251.497","4439.16","1850.733","2768.213","5856.014","2403.822","3079.128","2795.002","3002.274","1421.136","1393.447"
