"","mz","rt","POS_SF.100109.114720","POS_SF.100109.121711","POS_SF.100109.124896","POS_SF.100109.124904","POS_SF.100109.130034","POS_SF.100109.169058","POS_SF.100109.199550","POS_SF.100109.227718","POS_SF.100109.231142","POS_SF.100109.239012","POS_SF.100109.244079","POS_SF.100109.255622","POS_SF.100109.259700","POS_SF.120831.00062","POS_SF.100109.142930","POS_SF.100109.146730","POS_SF.100109.199546","POS_SF.100109.225118","POS_SF.100109.252159","POS_SF.110121.00073","POS_SF.110908.00016"
"group","mz","rt","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Combined small cell carcinoma","Small cell carcinoma, NOS"
"M253.6306T864.4","253.6305619","864.4129998","1473.742219","2482.343969","1586.902186","3835.138855","1980.79356","1631.451109","2960.94489","8010.571324","4306.023466","3732.418345","5707.172568","2690.310147","3417.648011","3630.974634","738.2482292","4970.907643","2520.695304","2529.995956","1321.226697","2859.417869","3031.596606"
"M386.7028T255.2","386.702846","255.15700002","4284.786754","3790.176653","2496.818211","1778.554081","4077.492642","2512.916796","2121.712293","372.1294155","463.9966703","1987.348927","741.3986232","2420.256633","599.4334364","1481.46218","1568.144744","1170.406072","991.8353902","284.0908765","0","86.58164362","465.8331095"
"M302.2127T880.6","302.2126693","880.644","8523.280076","7104.210986","9043.769851","5835.724797","6123.542214","7827.131017","6819.002773","30708.23007","9390.450895","10155.80889","9060.449769","7661.454715","11117.34393","7990.416824","7829.024682","8856.084822","13036.22945","15452.33614","12254.65307","16013.6883","11898.26826"
"M488.3553T875.6","488.355305","875.5720002","5997.20172","7751.493846","4916.838822","5630.45537","3448.62347","4563.147548","3641.536195","7633.352218","3935.46679","6062.215803","4248.869051","3664.717062","4423.902085","3261.701122","5195.388082","5156.797667","6633.979841","6900.489126","6683.660292","8922.534585","7448.75433"
"M347.7226T228.6","347.7226438","228.61000002","1636.751446","813.3704531","1097.934171","1278.506085","2254.049804","1410.217489","1610.557208","20.26229062","96.70367757","768.4851335","139.1698496","826.6011093","45.98618813","200.5728858","670.5854322","693.1391236","383.3016921","229.4109864","0","202.0818255","291.6783669"
"M462.5514T280.7","462.5513504","280.689","1177.832656","1717.528497","1141.230204","2015.312221","1470.367577","1176.748329","1326.900587","2157.104837","2784.763303","2507.102371","2485.961874","2057.109823","2410.594174","3378.460993","4852.34164","4283.855709","3505.749159","2979.18198","845.7753551","1135.260332","3978.068783"
"M237.1249T225.6","237.1249499","225.567","1224.922271","1094.660994","1059.59467","1223.038609","1105.481998","1119.870058","1368.783615","1013.848868","7370.424626","1194.237682","3191.460754","1314.960408","6955.035013","5898.91815","1821.957576","1434.212041","1527.008968","1451.092164","3613.780387","1425.272046","1074.906979"
"M243.1336T227.6","243.1335948","227.59600002","2595.942211","2398.954903","2717.716422","3306.228735","3167.526889","2485.133157","3222.812267","2139.664644","15872.53896","2470.72686","5995.317233","3078.075967","9954.395726","10720.17292","3519.428298","2762.602903","2565.828025","2240.021249","4500.597879","2583.518928","1842.649255"
"M433.8967T282.7","433.8966642","282.71800002","933.7230335","824.494852","639.4195616","973.2171563","942.9808549","752.3798672","698.7879664","1277.508215","1534.281108","1291.829023","2623.425646","1344.967649","1217.710399","1695.201515","1607.883678","1659.183357","1783.734414","1232.212439","403.6300251","532.278194","1295.206904"
"M286.6683T149","286.6683449","148.96999998","2246.583071","1693.826788","1990.539584","2557.426669","3326.699141","1846.650306","2420.522867","580.8083345","1836.302647","1254.85793","1064.219956","1653.347844","885.171351","2090.927174","2653.086534","1901.318906","1295.538027","673.1080126","449.7530038","552.8140606","1552.806296"
"M433.738T218.5","433.7379666","218.466","2183.44452","2158.809601","3140.829291","1943.025007","1972.053741","1938.593921","1657.455473","1416.802415","3248.038003","1156.469704","1956.977078","1286.244313","1546.84721","1728.34814","1947.204578","2087.155825","1187.288156","904.1257356","352.2965525","885.7330481","1329.878896"
"M260.1671T765.3","260.1670896","765.3070002","1680.918308","1138.485242","1528.448301","1412.054334","986.4254932","1305.917107","999.1148004","12755.61571","1892.622914","2068.206271","2873.731339","1181.128949","3036.789772","1384.44029","1628.959865","1940.869116","3790.736932","6547.073002","2340.217334","2325.80925","3625.258169"
"M217.9873T115.3","217.9872514","115.323","133.1284667","611.0262703","976.1532162","957.2546813","1147.443891","5079.912423","279.3050325","4278.968804","143.3664688","1353.679388","2389.097373","2004.079738","445.6055832","714.2531055","570.1848473","68.19203981","225.5545971","147.7730996","203.8296639","509.2333328","197.1386995"
"M112.0497T158.3","112.0497271","158.27200002","1434.300008","949.8092062","1038.483327","1318.266122","729.7920359","911.9260237","954.9387111","2609.619721","1440.022311","1706.915311","1923.642859","1195.015177","2384.291167","815.2023397","831.7366935","1356.887713","1628.373701","3274.111482","1653.174161","2507.32128","2404.242554"
"M299.1621T782.7","299.1620892","782.724","23993.76727","27310.98723","31355.03798","21950.64172","19326.18139","26945.46659","23261.07238","54947.56172","31470.42882","24576.23271","24301.89713","20728.71409","29849.28656","23056.91279","31465.51704","19091.67015","43799.37836","41605.41048","38743.98824","50908.31995","35646.36241"
"M451.9706T295.9","451.9706253","295.905","2420.370274","1224.900625","2248.451472","1442.844254","1622.0674","929.9690512","406.0917907","57.43271264","610.6221564","886.3362482","602.3784468","2439.678842","121.2357889","1128.131132","1479.581241","723.5759938","154.3207313","51.31003622","51.73166676","0","320.1976637"
"M202.0494T199","202.0493599","199.02","812.4638034","873.007622","674.6457303","257.9830457","766.2293296","1537.146472","446.334008","862.7697215","136.1185001","376.7965271","1011.755948","438.8321017","688.1267466","181.3080522","410.5157303","2275.346068","585.3341637","4718.647288","3753.691391","1000.137245","1180.531376"
"M189.5198T110.3","189.5198065","110.25100002","913.7079339","1283.599338","1183.976626","1106.735548","1172.066011","1673.489214","1122.653651","1473.947365","1466.135952","1139.563415","1638.698759","1214.487224","2359.732422","1255.392638","1253.149732","1132.313867","2082.520062","1637.042411","2599.354043","2112.307945","1843.650834"
"M482.8783T269.5","482.8782929","269.53000002","1934.139182","2307.174001","450.8431483","546.4479184","1225.958881","1213.137097","566.9140466","80.12057938","292.6697787","781.1968917","237.7044318","729.0224167","530.6175334","850.8247603","1044.107802","455.3314863","1384.948083","129.878287","54.8683192","49.63408105","41.58713853"
"M394.5452T294.9","394.5451707","294.88999998","1032.295193","1267.976312","1249.315","1337.777824","1083.966795","2537.026655","1855.435522","291.6813388","320.5867504","720.2892752","718.0965679","1059.276605","508.2457498","1040.739132","307.7329011","1063.668834","681.5755547","573.1408498","195.4342858","2243.698359","1121.951498"
"M273.6521T53.1","273.6520625","53.10100002","926.958467","581.0386436","448.5194707","1167.644643","1170.685104","799.2603765","1050.930575","182.1903002","499.8940107","623.6284059","501.3196892","430.8018883","306.1432241","842.5133996","553.6085407","807.5820274","914.1264434","382.7841674","335.1464692","389.4288656","425.6145816"
"M244.6247T864.4","244.6247105","864.4129998","285.0619878","586.8981671","324.5488526","851.6403932","481.5331086","365.6306698","737.8957645","1853.546322","981.534496","816.8884515","1309.327274","616.0136489","744.7737761","859.7804115","118.7855049","1127.598724","589.2891712","561.8502217","172.4599429","436.9854379","705.6056176"
"M470.5609T269.5","470.5608714","269.53000002","4749.790971","5636.164386","1057.286548","1688.066226","2855.56048","3000.117468","1589.142208","785.8996864","1233.076071","1936.875696","784.978069","1502.761273","1790.716992","2381.376911","2088.990605","1497.292152","2956.359426","582.1851113","230.1634071","385.1188598","722.0216967"
"M249.1803T778.7","249.1803249","778.6660002","16407.47207","2542.69523","14016.34521","2797.991968","8170.554576","5972.366405","2508.811454","4041.847945","2081.867421","3591.425662","3927.59106","2332.535517","2975.941829","1553.293217","4242.346187","1846.400676","8052.140572","4829.729794","5519.788928","4931.342854","2636.43175"
"M413.7026T237.7","413.7026417","237.73999998","2786.098804","1094.887399","3062.114899","1021.622993","1617.523481","1553.563462","743.3361362","363.7866101","591.2194983","1067.900122","674.4680679","2518.057061","617.8551158","919.796062","1080.534141","806.181081","876.1842381","1085.721953","608.4663887","241.5223676","467.0979573"
"M265.679T104.2","265.6789708","104.16499998","1627.034855","1296.095416","2536.248633","1320.244864","2249.064564","1548.029873","1554.072353","267.9642265","784.089173","774.6168816","655.2991819","1076.058345","212.8101335","829.0904094","862.9360522","825.6231052","515.2015046","149.7232443","0","131.4130653","456.8526033"
"M424.4653T286.8","424.4652697","286.77499998","4126.417033","2138.966114","3130.546538","585.4424063","3711.592919","2207.891045","607.0913452","334.3924013","0.016002051","1533.131029","282.0908281","3054.176849","0","65.39908141","660.7412724","950.9765044","302.1344441","141.4392562","16.56548465","147.8528759","624.7506119"
