"","mz","rt","NEG_SF.100109.114720","NEG_SF.100109.121711","NEG_SF.100109.124896","NEG_SF.100109.124904","NEG_SF.100109.130034","NEG_SF.100109.169058","NEG_SF.100109.199550","NEG_SF.100109.231142","NEG_SF.100109.244079","NEG_SF.100109.227718","NEG_SF.120831.00062","NEG_SF.100109.255622","NEG_SF.100109.239012","NEG_SF.100109.259700","NEG_SF.100109.142930","NEG_SF.100109.146730","NEG_SF.100109.199546","NEG_SF.100109.225118","NEG_SF.100109.252159","NEG_SF.110121.00073","NEG_SF.110908.00016"
"group","mz","rt","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Combined small cell carcinoma","Small cell carcinoma, NOS"
"M473.0836T41.9","473.0835827","41.94199998","1229.747397","4248.359368","873.4351716","6791.082796","1040.48769","3715.085514","3372.858631","23738.27703","12400.48679","19721.50483","17318.70611","9858.268936","11203.43842","26666.75278","26721.7775","22337.94824","24111.68199","28839.27447","47069.94764","54434.84799","43362.10093"
"M501.0135T52.1","501.013462","52.086","285.0675894","320.5639478","460.3578431","505.3704548","287.7495628","356.6171798","324.48741","857.0904556","990.6709308","1370.135127","564.6095086","617.2384076","704.8835784","935.4238142","1273.737986","820.154144","1157.918959","1964.472817","1378.136473","1812.734741","1443.584406"
"M150.9793T67.5","150.9792599","67.47400002","178.2722809","140.089953","270.2730298","908.8823769","122.7834659","155.9988921","135.8830761","1057.305855","1314.64117","1667.779467","1136.846041","613.9525072","482.1727263","1735.916203","1743.05816","1962.899089","2052.859929","3381.158217","4045.44258","4291.018475","3089.88397"
"M968.0592T53.1","968.0592015","53.10100002","811.3920318","1756.364581","754.4978039","1900.895859","1302.142888","802.1623161","1097.582236","4640.065253","6511.006897","4884.938996","3095.687546","2220.432234","2028.657489","5401.440629","6595.913623","4759.871411","6544.186725","9999.23816","14464.29985","8075.163625","8813.715051"
"M974.0763T53.1","974.0762569","53.10100002","1151.425833","1774.473281","888.553854","1891.721901","1249.610264","830.9571711","932.6449375","5201.074928","5315.992293","5317.914934","3191.99252","2507.380028","1632.755601","4225.72097","7132.016486","4395.697918","5101.060788","7033.66651","7635.399159","6839.834585","6287.266702"
"M731.077T68.5","731.0770195","68.48899998","1246.967052","1246.127729","1788.508033","4263.598365","1133.942069","1478.884307","1447.506773","5848.497649","5832.550447","6725.202647","4548.285951","3372.179925","2647.798839","7069.763144","7463.014373","7596.326102","8958.783914","13683.8119","13450.14241","19693.32412","10701.73701"
"M523.0742T43","523.0742312","42.957","444.3617743","995.9250515","422.2989896","1514.57622","363.0745374","719.2617501","719.671352","3399.169789","1855.675321","2801.804361","3216.568493","1593.22368","2103.2635","3414.808575","3304.413798","3031.032302","3405.001422","3595.077985","6035.239915","6640.756947","5744.932312"
"M131.1054T690.9","131.1054469","690.9100002","3375.808744","1491.631637","2172.417928","1593.589702","1958.985469","3877.150333","3035.943604","0","0","0","37.85150113","25.0216043","0","0","0","0","43.27655409","0","0","0","50.95219677"
"M842.0394T55.1","842.0394099","55.12900002","852.8953293","940.0746053","813.749712","869.2192888","882.9571292","707.5427087","749.3546134","2664.673092","2437.454221","2933.490838","2049.226319","1554.205836","1079.956059","2534.506289","3201.915421","2038.703421","2449.354582","3115.899693","3842.20857","4566.350434","2660.675965"
"M658.9861T60.2","658.9861017","60.20200002","4797.804609","5409.748034","6183.642431","6622.790098","4582.864365","6310.831602","7551.620281","18163.9747","17483.94972","16600.4123","7149.106479","13091.23444","11981.41683","12299.73496","21965.69888","12551.6774","26736.72783","23593.4347","22051.22997","26213.54736","17214.77266"
