"","mz","rt","neg_Exp1-K1_2-C,1_01_7421.d","neg_Exp1-K2_2-C,3_01_7423.d","neg_Exp1-K3_2-C,5_01_7425.d","neg_Exp1-K4_2-C,7_01_7427.d","neg_Exp1-K5_2-D,1_01_7429.d","neg_Exp2-K1_2-E,1_01_7432.d","neg_Exp2-K2_2-E,3_01_7434.d","neg_Exp2-K2_2-E,3_01_7438.d","neg_Exp2-K3_2-E,5_01_7436.d","neg_Exp2-K3_2-E,5_01_7440.d","neg_Exp1-P1_2-C,2_01_7422.d","neg_Exp1-P2_2-C,4_01_7424.d","neg_Exp1-P3_2-C,6_01_7426.d","neg_Exp1-P4_2-C,8_01_7428.d","neg_Exp1-P5_2-D,2_01_7430.d","neg_Exp2-P1_2-E,2_01_7433.d","neg_Exp2-P2_2-E,4_01_7435.d","neg_Exp2-P3_2-E,6_01_7437.d","neg_Exp2-P4_2-E,7_01_7439.d","neg_Exp2-P5_2-E,8_01_7441.d"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M515.081T303.1","515.08096","303.10997","1740.522","991.7139","965.6141","1632.091","1114.024","1428.038","1791.971","1255.445","977.6754","1140.373","16600.83","14534.27","13322.11","3331.799","11795.49","9415.899","10546.1629","9774.038","14693.63","17874.26"
"M515.1608T225.1","515.16085","225.1499","3514.479","3978.588","2701.747","3049.756","1275.314","2280.651","3433.68","2419.612","2205.255","2123.324","23534.99","18303.74","23942.58","20876.43","20279.8","6218.567","11012.6428","10673.65","9576.247","8671.57"
"M515.1663T253.7","515.16627","253.74451","1520.859","1970.515","1757.82","1895.527","790.3038","1304.321","1191.596","2008.661","601.8981","604.5658","24703.56","19946.65","32368.84","26655.39","22400.46","2654.461","14020.0737","10507.22","10423.54","9543.337"
"M515.1367T281.2","515.13667","281.16569","2074.986","893.2278","1007.299","679.8706","415.2964","634.6777","748.2137","878.1431","521.9051","1164.303","5956.357","2892.749","3754.382","2045.502","3669.5","5749.877","9358.0077","9024.739","6831.414","5018.717"
"M515.2386T710.5","515.23859","710.52268","823838.4","341761.3","456365.8","268242.7","48019.32","621148.2","609654","595977.4","836588.6","369437.4","813630.9","630713.6","738818.1","334289.7","534302.6","533467.1","503468.907","414160.7","149020.1","433682.6"
"M515.3216T694.8","515.32156","694.78534","457.8427","271.4109","0","0","240.402","38.01086","442.7931","419.1451","573.9426","251.5344","7895.992","817.7689","2270.482","0","2247.667","2350.963","1369.656","1538.773","1942.235","2684.797"
"M515.3366T821","515.33662","821.0203","293.1953","27.01038","132.3842","216.4165","228.6667","149.3908","52.35346","173.7824","191.9409","171.7327","6932.647","6831.671","11084.28","7527.095","9792.754","1686.96","3300.9073","3462.989","4556.752","5051.667"
"M516.0438T162.2","516.04376","162.23152","2516.983","1907.719","1864.157","2288.144","1005.526","1239.211","1690.117","1125.433","1421.213","1083.233","4119.661","3776.38","4517.777","4717.896","3555.577","4215.135","3467.8222","4383.473","3182.985","4210.655"
"M516.0833T303.4","516.08333","303.35296","801.8226","920.5617","478.5347","522.5038","280.531","464.8183","344.4131","431.304","370.8227","430.9296","4106.791","3705.963","2640.986","1406.324","2620.986","1600.56","2662.3328","2447.827","3388.49","4944.14"
"M516.1705T267.9","516.17048","267.89053","29742.74","34603.64","26955.44","25587.04","12837.58","21508.08","28235.75","28710.63","23215.07","23346.26","44489.57","30387.84","32515.71","24724.65","26226.55","23880.48","24152.8747","25052.9","28167.06","22420.09"
"M516.2425T711.5","516.24253","711.51721","209227.5","181826.1","179344.2","120775.8","16769.71","73607.56","132094.5","150400","177277.3","216369.3","202935.9","159949.2","188438.3","185315.8","134339.3","143272.3","112080.5268","112299.4","38505.65","118564.9"
"M517.1726T267.9","517.17257","267.88778","7127.827","8414.288","5938.222","6050.224","3149.185","5386.36","6473.103","6772.209","5256.051","5773.523","11733.88","7358.704","8424.795","6016.772","6056.272","5717.946","5905.9928","5128.461","7122.664","5242.703"
"M517.1897T211.6","517.1897","211.63276","767.3835","672.4446","494.7288","704.4092","324.5928","720.8108","665.9995","541.2073","577.9422","543.1008","2330.498","2112.53","1775.478","2468.494","1883.689","1109.189","1688.7489","2272.156","1456.164","1109.488"
"M517.2533T788.9","517.25328","788.9207","14827.36","109797.9","140355.1","115829.6","6985.82","179364.8","62828.95","71520.65","96480.02","133784.4","292660","274642","196617","430664.1","181633.2","177482.2","92863.7673","176713.4","39000.49","114198.6"
"M517.2429T705.7","517.24295","705.66455","16553.36","26829.27","19126.58","17063.36","648.2356","25844.9","28348.93","17056.52","25177.1","34980.93","34054.98","32725.2","17530.76","22386.24","11577.47","13561.62","13172.8868","11824.3","2831.363","14555.94"
"M518.0596T234.6","518.05961","234.55281","2155.02","2159.576","2013.61","2856.666","1270.704","2262.561","2764.403","2681.616","2578.288","2108.904","250.1325","670.4154","294.3834","869.0489","528.1848","1841.587","1806.2686","1017.525","778.9662","729.2083"
"M518.1639T253.6","518.16386","253.60989","6183.806","5925.479","5553.757","4716.499","1999.251","3083.116","3946.813","4029.851","2241.145","2148.862","23136","13144.29","22060.61","13280.37","16066.28","8648.64","8563.2795","7328.996","11026.66","13691.87"
"M518.2531T590.2","518.25314","590.159","6466.919","6722.723","7141.808","7527.451","1057.104","8814.332","3169.124","4452.89","4360.472","4740.167","12590.12","7839.782","9608.074","11095.05","7422.203","5116.25","6304.3612","5107.277","4243.423","6217.707"
"M518.2569T789.4","518.25687","789.38908","2064.923","28619.41","37334.38","31776.35","1513.252","46420.2","18393.97","21650.87","24855.82","35345.26","79377.16","48230.01","22749.3","106679.3","46563.79","35556.91","24318.1923","46583.92","9747.774","27693.24"
"M519.0805T324.3","519.08047","324.27313","1887.509","2597.332","1997.965","2014.938","2193.044","1878","2109.457","2279.598","476.4694","899.0451","1904.952","2527.502","1528.404","1946.856","1844.553","2237.391","1930.9933","2554.559","1987.982","2112.53"
"M519.2026T341.4","519.20263","341.43456","6301.621","2817.46","2108.63","2298.532","1376.984","936.8416","2208.503","2394.311","1398.546","1973.032","10673.36","9027.003","13671.99","4110.381","10315.54","3924.962","4636.9557","6536.181","6164.816","6873.011"
"M519.1849T278.7","519.18491","278.70292","47405.11","21754.8","22964.16","34371.66","6174.488","18678.89","19779.89","19904.9","788.8608","767.295","82779.95","53580.55","60949.1","37662.43","53855.92","45447.14","34059.9168","52189.85","40985.14","26129.85"
"M519.185T297.9","519.185","297.9045","65620.69","24657.04","40445.22","34178.08","14259.93","19203.85","33727.78","21112.11","1817.466","1620.379","101948.6","68672.55","78368.75","53570.21","57194.92","49997.64","40432.5395","78653.04","81764.93","60555.19"
"M519.274T608.7","519.274","608.72377","94674.85","85095.8","119337.4","99846.63","2153.603","85584.47","46515.66","47441.58","57298.16","56943.03","30365.37","11651.22","16852.99","40044.56","12938.7","16246.97","14115.1309","16428.8","6922.756","5552.148"
"M519.2724T594","519.27244","594.03185","1195.063","51005.18","60997.22","52162.6","6843.779","42682.59","45577.52","43581.67","44821.62","45057.43","19897.02","12743.31","14148.98","24022.33","15987.27","16225.78","18612.3186","729.8751","822.909","7170.657"
"M519.2734T484.4","519.27344","484.4117","3140.04","3056.916","4982.625","3894.814","333.1622","2558.42","2422.947","2767.688","2096.471","2708.353","1620.836","781.4414","858.3157","2151.147","996.8965","921.827","864.2855","1111.135","617.6823","172.086"
"M520.1888T278.8","520.18885","278.78782","12142.86","6323.212","6415.488","9523.166","1681.84","5013.15","5593.796","5794.26","228.4009","287.7932","23968.85","14630.85","17405.7","11569.65","15124.82","13322.11","10252.7824","13604.32","10760.38","7535.515"
