"","mz","rt","neg_Exp1-K1_2-C,1_01_7421.d","neg_Exp1-K2_2-C,3_01_7423.d","neg_Exp1-K3_2-C,5_01_7425.d","neg_Exp1-K4_2-C,7_01_7427.d","neg_Exp1-K5_2-D,1_01_7429.d","neg_Exp2-K1_2-E,1_01_7432.d","neg_Exp2-K2_2-E,3_01_7434.d","neg_Exp2-K2_2-E,3_01_7438.d","neg_Exp2-K3_2-E,5_01_7436.d","neg_Exp2-K3_2-E,5_01_7440.d","neg_Exp1-P1_2-C,2_01_7422.d","neg_Exp1-P2_2-C,4_01_7424.d","neg_Exp1-P3_2-C,6_01_7426.d","neg_Exp1-P4_2-C,8_01_7428.d","neg_Exp1-P5_2-D,2_01_7430.d","neg_Exp2-P1_2-E,2_01_7433.d","neg_Exp2-P2_2-E,4_01_7435.d","neg_Exp2-P3_2-E,6_01_7437.d","neg_Exp2-P4_2-E,7_01_7439.d","neg_Exp2-P5_2-E,8_01_7441.d"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M634.1337T307","634.13373","307.02236","15319.03","16035.34","16005.67","15891.66","12276.12","15460.27","15647.92","15441.2","14510.51","15901.46","11819.89","13352.88","10815.31","12668.16","12573.35","13828.24","13998.3819","13554.18","13649.83","11825.39"
"M634.1793T274.7","634.17933","274.70065","538.0968","301.8093","772.2702","671.0825","253.1113","419.3669","605.8787","548.5746","374.1982","354.1239","3184.02","2667.009","3863.059","2875.503","3262.475","1054.527","712.1445","1596.702","2425.658","2000.914"
"M634.4025T860.8","634.40247","860.76341","10015.71","5420.344","4849.21","4092.169","1908.526","4532.628","5970.423","5452.757","3325.325","3273.306","8093.425","1194.434","3462.026","4126.942","2533.021","2144.095","1572.3144","2031.12","1799.936","3795.808"
"M635.1075T266.3","635.10751","266.29703","1853.215","1153.27","1330.546","1520.825","1198.15","1271.226","1332.398","1382.794","1149.467","680.272","1242.954","1071.122","1236.952","1471.181","1125.06","1403.077","1268.7291","316.4915","1182.298","1076.699"
"M635.1377T306.8","635.13769","306.7921","4265.767","4619.365","4615.417","4502.98","3472.851","4226.445","4253.641","4716.129","4131.15","4439.508","3609.495","4145.05","3183.394","3622.733","3851.939","3284.778","4007.7356","4055.607","4100.246","3201.28"
"M635.1788T71.6","635.17885","71.5751","1350.646","1227.193","1065.843","1097.525","419.8675","1367.9","1647.788","1578.857","1214.347","1255.247","2454.823","1601.747","2223.746","1322.129","694.9991","4647.323","3945.7676","3245.755","4636.92","2305.44"
"M635.1883T275.7","635.18826","275.71205","2095.322","1286.412","1139.168","1462.03","329","1058.145","670.0335","1234.303","390.2381","438.7683","9969.769","6030.443","6420.157","7415.286","6175.373","2966.171","3311.1797","4867.698","3615.932","3284.482"
"M635.414T880.8","635.41397","880.80232","55562","31632.04","23195.93","26819.83","10574.94","22593.12","34297.62","34305.83","17848.88","17611.2","55541.19","16259.24","26968.25","25125.13","21653.11","23059.22","15164.7888","21854.95","23058.43","30332.69"
"M636.1034T376.2","636.1034","376.161","2770.295","2696.61","1785.418","2964.77","1322.661","1020.461","1639.251","2374.122","1597.593","1871.431","6598.851","3007.99","2240.659","6209.234","4186.395","2252.199","6419.875","2420.731","3831.633","3126.319"
"M636.1311T391.5","636.13106","391.54595","194664.2","100159.6","112325.8","149031.1","33105.43","91300.48","63778.55","64334.49","26135.85","27725.75","68239.42","29408.57","42990.81","73210.91","55899.69","52570.79","60873.7266","33731.51","36996.82","47110.94"
"M636.1325T428.5","636.13253","428.50107","165913.9","108755.4","104951.5","112455.6","33724.4","102303.5","68859.75","70014.05","42938.69","44879.41","122676.3","60740.53","89661.52","87623.22","95812.73","73124.39","93229.2333","50783","68399.33","67131.13"
"M636.1556T249.4","636.15565","249.37127","2009.426","2112.998","2514.708","2684.85","1033.028","1893.166","1803.965","1560.326","1263.491","1502.565","1416.907","1079.099","1368.638","600.6066","1372.233","1213.988","1272.7787","1395.406","1041.885","815.7655"
"M636.1932T275.9","636.1932","275.87468","965.6893","606.329","578.9312","713.8429","249.4259","483.43","620.6169","558.5407","282.1531","289.416","2748.553","1812.671","2360.846","2215.047","1847.71","1050.618","844.0379","1316.246","694.9282","637.413"
"M636.4178T880.9","636.41777","880.88619","21082.19","12138.8","8248.849","9923.574","3421.644","8642.08","12650.1","13505.94","6684.43","6728.841","21834.06","6161.24","10312.75","9737.058","8773.969","8858.875","5491.3251","7619.77","8744.426","11955.7"
"M637.081T301.4","637.08096","301.35207","1643.633","634.7647","1089.348","1072.297","323.592","746.4826","578.449","462.3696","428.7524","361.956","1853.227","737.3685","1298.705","1029.294","1206.269","948.1561","906.1812","956.9908","1182.68","593.0438"
"M637.1336T391.6","637.1336","391.56271","64200.44","33807.84","36856.65","48640.7","10719.19","28525.59","20215.3","20496.36","8694.676","9184.694","22548.67","9123.9","14222.1","24120.56","18571.23","17363.72","19102.9769","11332.98","12872.15","15331.96"
"M637.1348T428.5","637.13476","428.48607","55388.21","35349.22","34750.19","36094.71","10691.32","31993.44","22521.44","23504.96","13685.38","14757.14","39963.88","19965.25","29273.94","28641.6","30270.5","23049.76","29819.0843","16336.01","23106.11","21569.57"
"M637.1717T272.1","637.17171","272.07072","1935.345","1047.657","1504.193","1529.673","493.5262","911.3504","982.2232","945.2224","640.3025","806.0475","2613.954","2467.786","3356.596","3975.32","3209.078","1100.673","1788.3771","1104.952","1693.651","1800.017"
"M637.2133T375.9","637.21334","375.86303","668.1257","902.6804","893.0237","876.9131","972.444","1109.755","532.3759","1148.744","736.0345","849.8366","1092.839","855.8982","840.5014","861.808","1303.295","972.5278","1332.2141","982.1575","1287.485","1388.706"
"M637.3936T726.1","637.3936","726.11995","203.4455","146.7476","155.419","215.3185","312.1721","205.1131","192.1059","240.7994","219.4543","209.4488","8061.112","16174.35","5762.387","3365.295","10644.66","2499.714","4578.6411","7814.565","13555.45","8048.633"
"M637.4295T853.2","637.42952","853.21333","8841.991","5734.751","4457.954","4767.089","1873.179","4974.912","6350.04","5553.019","3369.728","3184.423","14952.41","4304.107","7246.594","8908.571","5683.232","4597.016","3572.6871","4609.351","5800.985","7370.225"
"M638.1283T391.6","638.12829","391.56271","35559.2","18710.02","20075.03","26517.66","6332.663","16429.33","11848.8","11980.66","5061.893","5139.935","13187.75","5839.829","8364.549","13074.55","10890.94","9223.531","10887.5965","6376.138","7566.506","9247.955"
"M638.13T428.5","638.13002","428.50107","30312.44","19768.78","19004.79","20411.6","6340.648","18048.35","12574.62","12695.97","8306.987","8528.546","23476.84","11479.53","16949.7","16582.15","17274.23","13121.2","17335.6183","9595.64","12517.57","12643.04"
"M638.1588T305.2","638.1588","305.24478","4713.649","2724.6","2219.443","4198.135","972.374","2234.517","2897.101","3006.912","1529.202","1717.901","4764.585","2739.252","2571.918","2745.13","2387.6","7057.768","4264.9488","5368.537","3560.72","2688.447"
"M638.3951T726.2","638.39512","726.18745","72.03972","69.73136","133.0734","112.3654","120.3997","73.32828","75.04138","105.725","96.38648","58.35","3254.569","6553.238","2247.309","1443.514","4261.217","692.7949","1249.5259","2977.517","5557.587","3176.488"
"M638.4338T873.6","638.43384","873.64621","4332.904","2895.263","1496.096","2817.471","957.3333","2188.625","3182.422","2960.639","1622.957","1675.116","6711.87","1960.567","3348.003","2917","2905.497","2726.315","1876.0738","1839.107","2834.279","4214.248"
"M639.0919T324.1","639.09192","324.1418","1676.756","1764.935","2131.193","1703.086","2257.399","1949.21","1519.707","1932.183","875.2352","703.246","1041.458","1852.845","1231.853","1923.41","1740.87","1545.976","1338.7694","1917.913","2132.896","1826.301"
"M639.1186T226.2","639.11861","226.16069","18343.77","8304.305","9596.692","12821.65","4736.686","7619.333","12117.2","11587.76","6750.35","7219.509","15262.49","9015.004","10814.23","10552.45","11024.85","16761.12","14374.1436","13036.71","12061.32","7496.549"
"M639.1313T391.2","639.1313","391.22359","9943.636","5286.132","5681.74","7311.156","1733.667","4287.836","3129.996","3557.807","955.4907","1360.806","9435.203","4318.278","6703.532","3950.305","6407.082","3789.056","5433.4527","3331.027","4129.349","5422.71"
"M639.1313T428.7","639.13131","428.68114","7308.03","4481.899","4756.902","5144.141","1767.399","5040.467","3123.265","3151.241","2109.898","1169.667","5755.198","3080.026","4569.439","3808.386","4400.667","2476.719","4335.0668","2490.031","3623.644","3094.354"
"M639.1305T366.4","639.13052","366.36597","1453.591","1649.059","1737.097","1314.768","297.4642","656.2886","623.8513","531.9006","141.062","202.7412","10062.55","6000.923","8058.945","1521.669","6228.572","3046.006","5221.4355","3342.618","4742.896","4960.345"
"M639.1569T253.6","639.15686","253.55584","1216.639","1084.2","904.1185","403.1151","413.2065","688.0344","806.7365","871.0296","579.623","563.7794","2598.194","1746.798","1630.745","409.9022","903.7796","1098.168","1271.2065","1813.866","1528.165","1185.033"
"M639.6807T25.6","639.68072","25.60237","3188.859","4301.138","3831.761","4384.515","1942.289","3309.939","3210.432","3453.131","3685.984","3580.861","366.784","274.4338","382.857","352.4624","232.4489","1099.403","659.0033","650.7638","432.8854","173.7303"
"M640.122T226.2","640.12205","226.22078","5349.139","2404.826","2677.733","3029.792","1275.981","2196.211","3570.785","3248.915","2116.807","2046.383","4059.369","2614.397","2991.51","2593.022","3044.463","4862.805","4025.8263","3914.692","3220.874","2120.266"
"M640.15T286.4","640.15","286.37245","1877.938","1509.998","1298.704","1190.701","653.52","1140.619","1260.255","1252.292","443.688","1057.339","2682.429","1557.662","1052.003","673.6447","1393.637","1020.663","1429.2311","1443.955","1573.766","1572.489"
"M640.1332T366.2","640.13315","366.15486","381.2134","482.7327","500.917","506.1771","170.085","234.784","226.4126","305.486","78.706","95.70732","3456.713","1959.914","2602.951","570.9092","2052.958","978.489","1454.9982","945.4158","1380.446","442.5141"
"M641.6782T25.5","641.67815","25.46675","1473.449","1696.025","1945.556","2197.249","1069.811","1202.064","1588.032","1415.632","1509.923","1773.981","259.1117","199.4176","191.0808","129.7226","171.7393","691.2922","552.8246","419.7866","308.8448","162.0463"
"M642.2003T221.2","642.20028","221.21161","3283.448","1955.559","3299.864","3153.982","637.7082","1753.877","1914.908","1954.237","952.619","1138.654","1615.401","1179.625","2438.308","1953.999","2220.776","1015.174","1510.8891","941.3764","1384.359","1358.345"
"M642.6792T25.5","642.67923","25.45494","964.9717","1396.91","1013.944","1367.848","514.4632","1618.699","1008.676","1229.066","1042.734","858.2413","465.5344","260.4112","270.4502","278.4907","253.4428","716.2142","500.2161","446.4703","483.2125","216.388"
"M643.123T350.4","643.12304","350.41325","1151.794","1384.514","916.6541","999.863","426.0852","535.2354","743.7607","815.9041","849.277","718.1601","2742.783","2588.26","2604.99","1298.056","1792.486","2223","2614.3462","1973.395","2254.595","2702.017"
"M643.2457T234.2","643.24572","234.23338","10159.74","7196.184","3815.662","5251.323","916.9875","477.2099","1190.146","1127.23","780.8299","803.1977","2486.321","3579.106","4464.558","1975.38","3264.255","380.1672","372.9038","434.5505","448.8053","532.4108"
"M644.0437T189.8","644.04367","189.82085","3054.059","2440.324","2642.327","2527.839","1368.86","2791.629","2277.286","2202.527","2719.708","2560.839","3653.577","5320.409","3876.292","4263.286","3628.969","3949.953","4471.8708","4172.217","4367.804","4853.191"
"M644.12T255.7","644.12001","255.7224","1279.059","1104.684","576.2723","1308.36","706.4746","1140.93","757.272","1239.057","654.8438","1161.74","1399.973","1606.067","1582.936","1575.309","1549.269","1104.819","522.3322","844.2532","1321.796","1007.995"
"M644.2152T280.4","644.21522","280.43861","1028.926","1100.309","899.712","948.0312","545.9751","841.2489","797.9132","933.1839","977.4995","941.8322","1515.417","1026.785","1033.547","921.9892","1070.028","887.6439","887.8975","685.8626","1057.979","807.0942"
"M645.1052T71.2","645.10516","71.2281","6021.315","4335.084","3530.182","4300.634","1230.325","7628.274","10384.37","10335.93","6007.666","6088.545","537.259","327.8074","365.4941","424.8041","300.7958","2406.366","2188.5042","1125.713","1455.565","653.2537"
"M645.1419T286.5","645.14186","286.53711","38689.32","38324.28","29464.82","26698.34","17879.11","26882.66","29803.25","29826.45","24764.99","26483.89","47229.52","44515.24","39531.55","25227.28","36436.35","33589.23","40070.3874","43657.34","42771.2","50582.19"
"M645.4097T826.1","645.40971","826.14753","4678.67","3642.374","5140.979","6066.031","279.1395","5842.889","1595.28","1859.906","2614.338","2365.849","6698.688","2257.471","3367.628","7182.408","1399.156","3507.348","3255.4036","3622.462","4349.909","2905.45"
"M646.1442T286.5","646.14421","286.53157","11884.89","12255.05","9537.057","8431.111","5345.652","8160.723","9551.888","9953.928","7897.022","8155.681","15320.02","13221.17","12269.5","8001.435","11810.83","11096.21","12859.5056","13656.09","13727.01","16998.86"
"M646.183T57.6","646.18295","57.64361","2482.656","1269.972","980.7561","835.6478","392.8804","907.2659","2319.592","2213.491","884.4483","1047.366","500.3053","361.7835","297.8244","371.4791","342.4677","536.1597","239.7074","498.3088","296.1569","128.7545"
"M647.1493T286.6","647.14933","286.55186","3153.576","3284.596","3079.851","2882.108","1728.605","2603.875","3107.625","2910.358","2497.973","2433.774","3855.349","4039.686","3841.056","2622.906","3505.01","3134.163","3888.5259","4168.661","3899.366","4520.108"
"M647.1577T363.8","647.15772","363.81877","8378.292","2611.305","3879.467","4370.285","2672.322","3455.689","5391.693","5301.316","3239.324","3137.987","3855.055","1975.428","3225.33","4433.158","5068.474","3119.154","2520.4993","2022.431","3064.634","2486.175"
"M647.1895T304","647.1895","304.02275","826.0925","763.1323","718.3023","819.8336","243.5049","600.8058","541.0228","808.98","390.1642","279.4509","2950.696","3666.342","3609.777","5124.895","3349.751","2463.893","2366.4068","2466.235","3035.703","2091.646"
"M648.164T363.8","648.16403","363.7685","2407.574","974.5287","932.8694","1382.755","830.8027","682.8514","1388.819","1708.474","996.2188","968.8989","1128.235","660.0163","806.1299","1253.584","1791.562","726.5512","758.625","604.2332","1075.221","946.8214"
"M648.1925T304","648.19249","303.95972","407.846","501.6442","460.161","402.5466","162.7968","270.0459","362.3949","430.344","148.0518","215.7421","1342.215","1240.101","1299.149","1637.309","526.4781","602.4538","582.3553","817.4618","1098.519","662.8856"
"M649.0994T37.7","649.09936","37.71583","1830.925","1390.028","2196.104","2384.681","1016.835","1560.515","1232.149","1018.015","1183.747","1168.646","1869.94","2757.695","2974.477","2736.647","2919.649","1709.598","2138.5219","1652.321","1658.016","1608.69"
"M649.1981T665.1","649.19812","665.08439","10102.81","19697.96","28737.05","16801.13","4462.02","13694.52","31378.5","31278.67","23830.5","9449.389","25532.63","31115.43","23217.29","8277.515","14435.79","32610.41","32980.7654","12218.77","9386.701","12714.74"
"M649.4412T877.3","649.44119","877.32367","8113.152","8154.742","9240.739","9453.458","259.463","10985.06","5157.439","4206.192","7835.238","7482.314","10620.08","6131.824","6555.907","15463.43","5682.957","6314.185","7072.868","6456.161","8739.351","5805.232"
"M650.1028T307","650.10276","307.01557","3278.092","3207.949","2973.151","2510.62","2394.504","2557.494","3024.806","3051.296","3009.509","2863.497","2427.142","2587.323","2162.689","2676.845","2430.1","2538.936","2650.5941","2521.838","2484.908","2256.882"
"M650.444T877.3","650.444","877.27153","3603.288","3557.778","4128.276","4308.042","385.9035","4883.359","2161.951","2011.241","3137.54","2851.43","4305.011","2204.63","2850.829","6062.039","2395.596","2636.423","2738.5224","2246.946","3340.951","2546.646"
"M650.7098T25.2","650.70977","25.19277","481.819","586.7136","842.2775","853.3488","384.048","517.8904","428.1455","730.9224","745.2533","522.2649","193.0979","155.0194","215.0656","211.7336","80.35783","281.8096","210.3596","261.3957","317.52","114.0361"
"M651.1595T275.9","651.1595","275.91541","1314.38","513.8642","1087.754","909.4689","576.4313","436.3458","872.9721","755.0666","250.1325","332.4497","3175.111","2398.452","3114.864","2772.258","2819.23","1714.008","1852.0888","1609.46","2181.96","1993.236"
"M651.2282T232.9","651.22816","232.85292","2380.665","1775.417","1828.646","1295.879","770.0977","1077.625","1906.121","1992.93","1133.335","1266.074","1317.204","1376.946","1360.762","6598.078","570.2013","480.8349","213.7924","1034.027","704.6591","210.0263"
"M652.1238T392.2","652.12383","392.21741","3671.895","1360.071","2739.369","2937.959","1530.144","2215.338","2090.024","1687.178","884.1289","1625.897","2086.568","1054.764","1682.508","2243.115","1586.259","1742.276","2182.9335","1446.506","1413.373","1169.994"
"M652.1477T328","652.14774","327.9538","20659.37","18936.4","15129.1","14501.34","8323.883","14039.68","16550.61","16215.9","13000.62","13649.37","20700.66","18982.43","21291.18","16204.65","18165.33","16841.18","18493.4469","18779.31","17441.44","16827.3"
"M653.1206T167.5","653.12064","167.53477","1465.752","1237.8","995.2843","1428.601","310.0763","2034.187","2798.743","2578.667","1690.266","1883.613","197.7427","80.69769","185.8152","142.0153","157.7273","342.4018","350.1346","267.3753","233.7935","174.1168"
"M653.1502T327.9","653.15022","327.90374","6269.467","5951.523","4310.293","4562.556","2411.538","4418.699","5106.963","5226.075","3933.71","4190.647","6345.999","6242.907","6697.681","5056.216","5510.763","5452.398","5497.7398","5856.729","5500.914","5178.96"
"M653.3878T668.3","653.38777","668.30304","116.4109","86.69143","36.67714","115.3663","130.4202","21.99214","76.68857","79.66667","90.08357","78.68914","1855.023","5100.79","2360.472","1263.842","2914.166","548.0318","1076.2045","1732.53","3876.774","2489.659"
"M653.4223T808.6","653.42226","808.56825","7695.46","4438.888","3315.945","3577.715","1187.594","3008.935","4726.96","4621.272","3141.511","3284.194","6513.142","2681.674","3554.829","3728.863","3270.34","1361.088","2057.9784","1790.122","2867.165","3306.203"
"M653.4728T934.9","653.47276","934.8788","1185.754","1031.295","656.7809","1149.252","134.6774","1676.34","600.48","455.7031","887.777","923.7384","6032.93","3557.951","3112.154","11410.43","3419.734","1557.657","1806.8157","3388.535","3343.952","4452.726"
"M654.1452T328","654.14517","327.9843","2763.655","2509.389","1837.31","2045.595","1265.598","2225.255","2215.886","1691.764","1666.924","1701.993","2602.513","1972.574","2568.928","1629.254","2417.276","2284.845","2710.1371","1687.447","1982.004","2014.63"
"M654.4746T935.1","654.47458","935.10069","514.7562","396.865","477.4163","384.0798","62.34417","558.8674","236.4515","165.0287","404.5355","385.526","2251","1246.1","1063.333","4671.698","1462.667","665.7247","894.1135","1330.713","1527.436","1602.616"
"M655.0568T324.2","655.05681","324.15636","940.4184","1399.786","1364.135","1139.456","1341.739","1443.041","793.0991","1166.126","471.7104","518.8662","1009.528","1243.102","825.39","951.1024","687.4372","1284.16","1118.6708","1219.683","1255.802","1198.398"
"M655.111T145.9","655.11104","145.90473","4191.378","1429.685","2054.095","2051.539","418.1839","1254.335","1951.309","2106.052","1231.209","1201.901","2700.639","1283.257","1977.136","259.4741","1813.554","1298.038","1301.1608","1167.971","1315.46","1200.6"
"M655.1832T57.6","655.18319","57.58094","7007.168","6444.569","5880.788","6247.081","4111.978","5869.041","7238.485","6339.985","5435.202","5340.943","1705.902","757.6119","533.598","1875.147","637.8624","1661.152","890.1112","1673.021","988.2322","465.9498"
"M655.223T200.9","655.22302","200.94254","3759.405","2493.206","1598.03","1905.539","1088.72","3415.344","7116.655","6672.141","2109.503","1987.431","674.0709","307.8205","590.295","437.7542","703.8778","1271.748","647.1193","769.5383","747.5229","301.7723"
"M655.4417T826.6","655.44167","826.55487","19849.59","12486.91","11927.22","9885.49","4062.124","9346.012","14921.21","14297.41","9234.061","8585.119","28160","9799.897","18606.3","15235.94","12227.44","14847.57","10188.5648","12861.91","13475.34","18106"
"M656.1438T264.7","656.14385","264.66103","2474.122","2036.772","1794.153","1593.891","351.6948","1471.498","1643.192","1629.543","1091.333","772.3571","2514.005","2078.849","1820.449","1292.216","1189.142","1259.35","2040.285","1787.687","1556.694","1536.834"
"M656.1853T57.6","656.18531","57.6295","2329.873","2067.762","1895.677","1744.351","1122.125","1663.535","2009.918","1710.593","1439.813","1479.787","602.4015","428.185","356.853","783.5493","441.8575","843.2786","374.0383","661.6036","412.2232","307.8478"
"M656.4442T826.6","656.44424","826.55487","7330.761","4330.57","4196.525","4026.15","1537.694","3206.583","5698.35","5056.111","3435.454","2585.45","10633.98","3818.057","7064.216","5882.337","4813.296","5967.842","4067.7247","4885.389","5196.039","6840.069"
"M656.5605T22.7","656.56053","22.68631","1219.413","1494.44","1594.984","1609.817","1399.508","1648.539","1931.341","2081.366","1991.328","1867.9","204.3917","59.68371","135.0386","141.1636","78.65475","291.3304","286.3318","298.752","368.4386","102.3626"
"M657.1722T276","657.17216","276.01146","3294.14","1725.131","1658.189","2186.362","961.0509","1301.842","1420.71","1863.373","270.4438","255.1042","4935.055","4486.534","4912.49","5671.644","5116.452","3568.544","3899.0308","4962.454","3961.457","3705.685"
"M657.2306T483.4","657.23057","483.41362","28717.44","28340.8","22453.55","19664.03","7005.044","26030.71","18048.38","17415.76","10774.1","10232.73","19194.41","10084.58","11726.89","10319.21","14869.77","12505.45","17448.6799","11098.88","14108.97","13419.03"
"M658.1108T391.6","658.11082","391.57736","11818.41","6961.891","7490.201","9624.183","2435.563","6156.248","4624.843","4591.025","2232.563","2364.57","3826.794","1579.383","2576.731","4537.45","3604.738","4064.161","3648.761","2398.21","2987.16","3311.106"
"M658.1111T428","658.11106","428.00603","4980.653","2832.714","2980.49","3511.755","1016.87","2499.166","1657.183","2036.198","1261.202","1033.603","1980.793","823.1027","1798.992","1913.765","1971.497","1810.633","2104.3618","837.5726","1351.241","906.5393"
"M658.1369T249.2","658.13691","249.22301","1757.785","1461.597","2573.858","2362.484","1157.719","1866.729","1538.773","1737.772","1403.52","1446.232","879.1998","577.6063","939.6707","858.5284","572.8076","804.2485","502.7352","796.1079","718.6141","414.4953"
"M658.2316T483.2","658.23164","483.19169","10236.27","10757.61","7962.987","7309.621","2229.758","9656.01","6529.293","6010.507","3717.22","4140.235","7186.591","4109.488","4181.528","3894.224","5241.239","4809.696","6270.4356","3856.561","5158.578","4693.731"
"M658.5582T22.6","658.55821","22.5975","766.7737","1119.404","1073.323","1183.338","838.501","1237.146","1422.238","1393.614","1101.315","1156.664","142.9986","29.348","46.69","39.05928","38.99961","208.4375","224.2262","139.6695","255.461","129.3359"
"M659.0895T349.9","659.0895","349.90922","262.4342","543.19","480.8349","365.4201","221.0773","278.7328","296.1702","320.1231","389.7154","431.6299","879.537","788.6092","615.3866","497.8013","780.4309","521.2292","902.6491","414.4783","741.279","958.8125"
"M659.1221T238.4","659.12214","238.38675","14321.42","9625.233","12621.29","11645","4837.066","6815.469","7165.473","6879.36","3308.178","3849.414","6520.592","5264.629","7613.726","10877.77","11707.53","5964.485","7668.0162","4060.561","8926.758","6662.497"
"M660.1261T238.4","660.12614","238.36273","4385.461","2895.219","3880.523","3444.447","1344.672","1952.226","2079.29","1478.384","951.5163","1137.361","1649.161","1097.553","2621.25","3343.804","3784.062","1598.534","1757.074","1322.358","2800.402","1713.896"
"M660.2117T262.6","660.21169","262.61488","1872.082","1808.981","1459.224","2423.399","661.0871","1683.922","1641.241","1359.85","1531.255","1293.453","1994.481","1367.625","2044.319","1728.938","1660.218","1532.645","988.416","1394.651","1231.555","987.123"
"M660.2116T290.2","660.21159","290.20491","2596.768","1615.283","1583.333","1663.498","795.9899","1649.036","1781.842","1862.865","1387.063","1333.044","1880.062","786.3716","1119.845","1419.856","1144.523","942.866","1093.8566","1118.749","1221.244","1087.683"
"M661.0987T153.7","661.09872","153.73594","562.9327","325.1536","361.8376","414.2635","98.72945","198.7118","278.1314","305.1941","253.4324","164.3976","2085.067","1210.291","2119.059","1621.249","877.888","1070.347","1294.4329","847.6299","1096.672","816.3335"
"M661.1368T265.4","661.13677","265.35842","68095.31","71207.81","66123.38","63641.6","55485.82","61516.37","65572.24","64957.22","62791.7","63296.28","59046.99","67073.57","59949.42","63829.21","62969.09","66588.39","68804.385","66145.5","69026.12","70055.17"
"M661.1356T239.4","661.13555","239.39039","12555.91","13003.23","12263.46","6755.364","9409.446","11518.66","13645.91","13008.54","11545.63","11536.4","962.2749","880.4023","777.3552","1550.359","1885.225","1263.469","988.7083","2356.668","1427.775","951.7966"
"M661.1364T293.5","661.13637","293.52489","14385.33","10149.37","7603.757","4724.945","4103.578","5153.384","7012.715","7290.253","5258.182","5302.405","17665.6","14321.47","12718.9","5797.932","12544","9741.705","13824.2794","11889.06","15954.64","21721.33"
"M661.2598T584.2","661.25983","584.15818","840.7815","943.6001","955.2063","564.795","278.4907","1057.907","648.5494","673.2751","697.394","760.096","3319.215","1556.932","1665.089","2151.383","1515.058","1289.395","1813.6183","1621.364","813.4595","1509.819"
"M662.0913T57.6","662.09131","57.61434","2590.542","2620.91","2338.899","2331.16","1914.217","2363.448","2558.305","1854.732","2185.462","2219.362","1410.418","848.6161","903.4286","1150.613","784.1725","1355.375","906.5327","1319.146","875.2029","609.0272"
"M662.1392T265.3","662.13925","265.31528","22936.49","22799.3","22092.27","20634.27","18807.56","20816.99","21206.82","21078.36","20203.23","20185.1","18640.81","22514.18","19046.89","21295.85","21157.45","21637.41","22451.7707","21758.55","22631.64","23352.99"
"M662.1389T293.7","662.13894","293.6717","4733.19","3269.698","2469.298","1797.629","1265.744","1930.153","2180.423","2275.796","1637.44","1871.228","6039.69","4997.756","4054.026","1893.606","4025.146","3058.862","4387.5167","4091.765","5469.103","6626.875"
"M662.1399T239.6","662.13986","239.56986","4188.062","4821.303","3645.558","1996.249","2839.036","3769.216","4592.372","3543.021","3984.394","3666.621","228.0798","255.8022","312.8324","588.1529","456.9909","249.1096","372.0632","802.9877","495.3403","421.8901"
"M663.1417T265.4","663.14172","265.38457","5932.271","6362.728","6309.784","5878.39","5147.979","5594.151","5992.43","5740.973","5826.579","5856.418","5114.052","5955.75","5086.156","6091.949","5520.824","5985.463","6023.7192","6236.995","6006.711","6267.898"
"M663.1431T239.5","663.14311","239.53518","1100.33","1141.889","1075.017","458.9585","472.321","1135.347","1284.385","1217.426","914.0687","1030.358","257.7279","131.3793","163.0913","182.3561","174.1196","221.0276","141.3828","284.4648","190.7977","181.1041"
"M663.2778T625.2","663.27781","625.2374","1576.784","2157.765","2064.805","1669.477","456.7971","2020.012","1275.364","943.2665","1465.419","1729.827","4815.296","2079.261","3134.872","4286.76","2515.802","2410.482","2631.451","2048.919","1694.212","3783.042"
"M665.2259T234.4","665.22588","234.37248","13210.1","10264.18","6490.482","8233.832","1937.553","828.8032","1074.632","1839.696","1344.672","1119.224","1051.891","5099.41","3914.476","2962.368","4803.27","793.2776","632.0962","1187.698","1020.051","928.2413"
"M667.2237T194.5","667.22371","194.4953","438.2026","245.7158","243.6971","268.4836","84.0294","123.696","236.4657","247.5034","195.1341","122.3725","3488.077","2056.95","2927.72","2388.349","1202.453","722.7743","380.9141","1439.513","791.0989","566.249"
"M667.2352T350.9","667.23525","350.86832","882.9756","624.922","633.3165","518.6263","186.76","469.4976","402.8312","377.1885","230.046","242.4703","6710.691","3186.687","4659.993","2461.226","3225.48","1630.677","1510.1655","2241.392","2827.243","2274.137"
"M667.2575T486.7","667.2575","486.74869","511.6274","1349.927","961.3022","1054.079","617.5494","559.1677","885.708","912.3192","769.6718","852.8116","719.1054","700.434","658.7984","754.7428","553.0093","885.8504","390.6716","496.6187","927.524","301.7994"
"M667.6997T25.9","667.6997","25.93562","4002.157","4597.935","3992.907","4106.78","1848.465","3653.837","3048.839","2629.468","3811.838","3731.953","432.1512","367.1545","268.4895","423.11","282.7857","882.441","763.1822","582.5686","444.0663","185.4266"
