"","mz","rt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group","mz","rt","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient"
"M485.2775T826.8","485.2775","826.8444","163341","130132","114536","193854","131603","179895","143723","122141","142793","108628","99606","68884","83778","58839","65623","53599","88110","62813","58545","69057","63947","61173","65467","63642","51498","94832","49543","808014","784056","112693","127646","114638","119239","151415","60330","55213","97164","70826","62123","66528","63498","62857","74760","83999.6757","69825","73173","90190","57727","111666","74522","62199","70199","58441","64519","62865","79577","81826","737339"
"M495.3329T1224","495.3329","1224.01632","29500000","15800000","22600000","30600000","27600000","23800000","3.1e+07","25400000","22300000","30100000","21800000","20200000","18700000","14100000","19900000","17800000","15700000","16300000","1.8e+07","15100000","19700000","18400000","19500000","21600000","16300000","21800000","19600000","18700000","19300000","27800000","25200000","26400000","25800000","32900000","21400000","377439","15100000","18700000","19100000","21800000","17200000","18900000","2.7e+07","17200000","1.6e+07","19400000","18700000","19700000","282280","20500000","19200000","18500000","17900000","18800000","20700000","20200000","16800000","17700000"
"M517.317T1053.1","517.317","1053.10248","172908","41947","84887","194511","148623","62463","73641","136318","42936","106981","48397","111711","101692","52233","45083","126854","49021","71914","299214","53177","117682","54067","203987","60472","81540","156695","50453","74062","73934","75156","116686","181404","57244","129208","244538","159583","50058","125711","150807","96109","29913","123041","333067","74813","72938","46166","154254","96777","123860","92185","56554","46497","145500","104131","129820","77273","36538","82639"
"M159.0529T83.2","159.0529","83.216364","1265922","3705029","3834155","988425","1640902","2667725","3461144","3698556","3597431","3304814","3408685","3489471","3499642","3757671","3680310","3394773","3140930","3522755","3347888","3750260","1280024","2620439","2025765","3680194","3848449","3530700","3799455","3701058","3353087","3146719.361","1347968","3292342","1909544","3485301","1412810","4097527","3388541","3383161","3476508","3566660","3675291","3479705","3146719.361","3449351","2517414","3730482","2890654","3883848","3409699","4068039","2363230","2506985","1020782","4561295","1049939","3611866","3422084","3550095"
"M368.233T1716.2","368.233","1716.15408","195589","222496","209680","167593","190880","203644","226941","218148","207337","190160","154165","139808","238153","176143","173659","159833","158246","197361","166513","205992","170276","210901","182022","190419","155877","155660","189572","149952","92524","148202","209776","184817","199679","196532","201931","199796","194786","194861","179364","230222","202574","175044","168496","203141","173318","213222","199096","189897","193659","177715","163428","189361","189138","190413","207189","174433","210215","157055"
"M318.2922T2026.7","318.2922","2026.65732","102845","91517","101369","108077","116794","93681","96618","120990","110712","112973","115485","120446","112101","102845","105226","100147","109975","105176","158172","99776","114791","118323","114992","99742","110679","111435.1333","133227","114203","110830","112526","118782","118350","132067","99836","114208","108366","108448","121607","102388","108689","100894","96540","108689","97282","134118","122637","111414","93902","105058","126015","120758","116242","180855","142461","85945","92673","111638","105440"
"M571.3633T1347.2","571.3633","1347.16212","822100","153897","374847","645463","1612291","358672","828223","1073983","292922","976751","397312","377013","566242","589999","758119","869406","436674","267112","639973","293177","243006","545625","687360","552017","890316","505191","426533","246721","309531","1948774","605516","633112","430729","1225332","703874","505836","180727","299216","879746","850092","595656","319628","1260851","204886","437360","266929","445555","511330","261038","444193","392829","395552","330913","705876","434195","430553","283659","336686"
"M281.2721T1746.3","281.2721","1746.3174","11100000","8836673","9323656","9131256","10300000","8465503","8819427","11500000","9790020","9635249","11900000","13900000","12900000","10200000","10100000","10300000","8781877","10700000","10900000","12300000","9203343","18400000","8682150","12700000","14200000","1.1e+07","10200000","9392578","7947510","11800000","9099740","9767182","11500000","11400000","12900000","9798978","9229433","10200000","13300000","12300000","9822473","9164254","9310080","8946982","10900000","11500000","24700000","11800000","13700000","9384198","11500000","12500000","10100000","16200000","9358348","9785637","9811218","9011364"
"M122.1094T1949.6","122.1094","1949.63724","234789","183105","206004","194855","215778","182312","223630","169960","59408","155437","197674","177465","191526","180148","213658","164238","168736","188794","190794","192841","162547","190766","194844","211953","196931","185400","180759","123017","115993","180923","222962","186016","162981","184267","193634","179290","204970","175867","168948","230100","214388","188649","196261","183553","200064","189673.7568","198459","175208","171493","217838","167326","207928","192446","196109","197363","183772","229042","126997"
"M543.3327T1162","543.3327","1161.98994","6320410","1918210","3021901","5156190","5415073","2380223","4316442","4320424","2794601","5100936","3248385","2935718","2982249","3972437","5160083","3815149","2131326","2824302","4063669","2218048","2171780","4082434","4785802","3316808","4353228","3125735","2571134","2045140","2411893","6676604","4452574","3517107","3828336","7328803","3681724","2715026","1715022","2285820","5335127","5329080","3104251","3503303","5845834","1872116","2574776","2330142","3207325","2544942","1972506","2082900","3238166","2789366","2575957","3669051","4495881","3836144","2573171","2443278"
"M187.0629T86","187.0629","85.955196","811680","706718","687700.7778","725023","608103","591562","635426","655421","511239","678652","518585","683609","770642","639289","687700.7778","556272","1106882","535258","540002","687700.7778","682913","652949","817214","617743","748364","714346","787956","746268","675541","618820","518454","567987","741200","727675","530041","639441","742708","801915","707848","677103","761645","682529.4412","773976","732169","734569","688381","672535","794081","635885","504999","789852","525319","812636","708252","699499","682529.4412","621261","641084"
"M268.2191T1722.6","268.2191","1722.5814","550239","563843","538285","544570","640206","875516","625566","664585","615332","445154","548882","651674","940977","514264","500345","623329","465984","381849","429596","589741","550022","439599","491857","547398","540709","598637","566645","439440","296023","537963","456955","573622","513063","642660","673352","708911","448149","604590","703035","650462","657965","466504","766519","544162","613153","581263","351697","368999","332173","462882","461002","461985","412745","376268","666795","633244","377862","529278"
"M531.3772T1301.9","531.3772","1301.9061","118869","138354","127262","141203","119172","146384","118435","135208","120056","128206","119311","125803","121945","129005","124128","93427","147282","146609","118309","142602","129940","193018","111906","129541","122254","90232","131825","146494","153441","96608","119912","106673","110971","101357","120556","129379","162588","131946","111633","127039","113494","122558","117615","144199","162150","100836","143526","140113","152520","129768","100678","103806","138015","248110","125822","123847","121894","128129"
"M465.3223T1498.8","465.3223","1498.77288","777181","145386","554500","705128","1310448","467179","526515","893342","213873","710495","338905","289353","173268","446986","704624","568377","192858","304611","703543","281110","284604","441130","718143","446082","621133","357329","225386","244056","335756","747748","890142","605173","599325","1134731","780454","413101","248011","386762","676862","542741","256997","302922","656211","302641","605964","419729","475736","455818","311606","393772","387569","619479","281912","637882","750918","364701","376077","317197"
"M539.3581T943.1","539.3581","943.09266","37478","28605","50886","88823","44109","69160","54254.3333","39290","43249","65376","34876","59166","42932","54254.3333","54254.3333","47601","24376","75490","54254.3333","56617","75043","40636","35213","81031","51757","58424","51769","37852","46180","45105","50568","40805","70686","54045","57539","49832.4849","49832.4849","46610","43928","64432","49832.4849","36900","66889","62159","46576","44274","56755","64408","49832.4849","53904","34059","30526","37895","63378","38589","50147","48644","46180"
"M511.3272T767","511.3272","767.04162","186870","139962","221093","363642","228043","447970","204064","238190","236894","334704","196347","320373","290469","226749","177507","309413","218453","345178","141350","306318","387806","190435","158002","378956","281586","253316","309492","229471","223854","245780","216410","247673","379477","283797","366433","171370","178258","211889","215405","273767","110536","230158","376077","340243","243054","207598","269941","335227","150864","303231","222452","204413","207369","236162","217596","212632","236560","230497"
"M481.317T1155.2","481.317","1155.2043","1947023","848687","1645002","1835388","1602247","1893182","1868414","1318741","1483835","2004038","874444","1432091","847777","1128640","1182693","1048999","955827","1051074","1395655","767036","1218614","1044223","1235803","1398474","1233227","1677528","1497156","1201318","1230172","1330829","1460752","1320202","1456641","2630153","1633201","1168734","1094910","1317718","1517272","1774229","1317265","1465145","1559291","1459806","914970","1055911","1628468","1192679","1044038","1493401","1484302","1361186","1299699","1032125","1803487","1544438","1294591","1166566"
"M463.3063T1339.5","463.3063","1339.4901","349956","50003","313565","276642","448789","157695","259444","297760","113013","246571","125957","100134","56446","197871","290226","276732","61654","88578","396503","69384","90603","205081","369377","185307","244597","120046","200484.6333","74590","99635","287230","382790","213951","210957","410998","279199","152323","80192","132290","261895","218858","98486","106390","151641","78152","146122","104261","142302","150830","69974","121674","150255","204004","122332","244814","294767","120363","117109","111450"
"M356.2716T1065.9","356.2716","1065.93762","75256","45561","81066","155141.6897","82196","297401","206361","81223","426371","318173","100115","98182","164450","84385","336756","155973","507628","235159","56065","155141.6897","34263","76543","71640","45965","70650","122407","127725","138715","70735","166350","78337","134836","96868","142619.6111","51138","169774","88402","164271","256199","179990","126493","130446","136820","123619","116555","251094","144226","145510","269584","71861","75492","119664","117261","92911","62705","231710","125893","143067"
"M427.3663T1447.8","427.3663","1447.8171","222173","86169","164160","259667","184460","200361","120887","127202","149153","324846","156137","156353","88372","56171","77647","126975","54933","84332","102667","116768","131129","141890","145939","175742","111808","165421","182449","115513","145341","177540","148977","163096","123080","186937","156114","86164","144850","93252","159442","138851","87139","98674","164378","127596","89541","95412","195652","126862","118387","150453","130732","177362","127121","139291","145993","174040","123818","129342"
"M487.3507T1302.8","487.3507","1302.81396","61225","74791","81398","75226","60235","74913","65436","73720","72061","62963","70112","66354","78745","63684","74065","54876","84959","84071","60248","75427","80538","120414","64398","64501","67877","65045","78842","81492","80708","63105","75528","47976","65191","50687","76694.7222","77833","85504","71894","56979","73688","64567","82502","70256","81626","107149","57454","94430","73283","78856","75163","62124","65996","72680","139124","76694.7222","76505","67549","64953"
"M208.1099T879.6","208.1099","879.58692","264699","77099","175902","403580","415957","549279","506090","356750","276931","852983","372295","331635","180555","395043","295292","169138","158735","94749","381109","147922","196584","230462","315042","204533","211611","407445","307579","236507","280262","150358","228087","223089","347892","463052","340542","308238","256511","395720","229710","219939","166543","193862","232952","206216","264371","276141","267012","236000","203830","457922","262211","240883","217241","280791","347255","210085","362724","251946"
"M377.2328T901.8","377.2328","901.76568","210381","87818","240500","251288","170586","242465","229068","230155","261306","207017","197179","122443","95673","105134","111156","88086","98385","103357","117830","111007","192108","170680","121375","131030","110181","93395","115202","142039","135916","185047","211325","264718","224699","239736","135948","88652","157266","176526","137182","130492","126434","132126","99687","110048","104707","108748","140658","152269","159931","154764","190005","151569","190633","194628","171807","193751","108954","132815"
"M511.4078T1505.4","511.4078","1505.40312","74215","73144","76364","84976","59413","83555","71440","70728","61946","75938","62775","87645","93792","70139","70772","48568","85740","80275","82280","73071","124766","74735","65438","94490","69676","70987","63080","95855","88538","68275","80368","62109","75041","70922","95363","83862","131488","68705","69242","80539.5278","75784","88895","74072","97362","63496","74904","71929","63231","72190","78327","94926","72033","70485","132283","71549","67554","72446","71938"
"M499.2701T1070.5","499.2701","1070.53608","54676","50989","54974","88034","105399","122321","159714","39076","67742","153039","29650","135656","53225","42728","147829","22330","61688","112927","68782","77768","80693","49644","89297","34438","127156","84442","140263","77305","95033","68997","48679","59488","37682","97357","123724","140325","57912","153314","113679","93499","29952","133710","302160","76365","111186","87170","61886","40865","61383","74404","57991","32842","152051","129127","113313","81997","56914","74912"
"M573.2541T1185.2","573.2541","1185.24546","252513","164085","226571","115211","159031","220950","276153","323728","316665","252101","229307","315289","233079","319271","254899","254029","207690","185202","256157.0333","221168","348169","245131","326822","281287","366050","292387","303850","246156","262383","145054","267902","215271","274969","212900","308663","266356","273060","310463","318961","241473","256171","229346","206454","289178","261195.1892","323725","169462","322489","289726","383446","218095","325851","325790","328775","184425","219071","262704","298353"
"M183.0659T1223.6","183.0659","1223.57196","330729","180384","267455","345832","298589","271677","386403","244615.2333","258195","380083","272654","235414","208281","170055","237093","220040","161338","184142","233487","196749","221503","219074","225750","250264","186037","254715","223271","221169","215171","334065","297267","284752","296357","373526","245905","181421","173687","204020","240978","276171","198298","221358","322908","189710","200151","228385","207528","223608","146851","247369","233274","236624","207726","236055","270045","215672","200990","215219"
"M523.3775T1708.9","523.3775","1708.85124","1730383.76","1751735","2015136","1949731","2175643","1666043","520320","453255","1995430","1730383.76","1726970","1666797","1730383.76","2044311","1974617","1999078","1509695","449788","1960315","1891693","1855574","1730383.76","2123673","1995549","1730383.76","1855813","1730383.76","1580666","1096250","1838632","1444297.286","2125691","2171211","2128295","543528","2129613","1946066","1972155","2122129","2232712","2125101","1917265","2123783","371576","357003","2188468","1444297.286","466400","1755357","399424","1444297.286","2140279","423346","1191514","2040543","2004755","470793","1741159.385"
"M1000.6461T1155.1","1000.6461","1155.096","154341","85292.7407","67535","224546","159355","49909","120103","92492","72515","140130","37901","72005","20486","45587","59864","71829","85292.7407","85292.7407","117078","85292.7407","62179","56018","88417","93283","61794","68645","54839","49693","42413","158393","105736","128512","87165","250837","119679","58669","30532","73346","102365","125833","44036","66629","150711","70703","82883.6667","55459","155815","70200","33110","91453","68136","102100","70080","49043","109236","66155","69822","48558"
"M575.4031T1300.5","575.4031","1300.54686","144363","142412","162050","147500","120334","147805","137630","151529","130730","127368","135307","137206","146601","127208","146850","104462","148337","151992","120172","167974","160564","167531","140392","145384","140051","116823","149915","172833","159541","101023","133504","107649","125024","127141","124123","132946","153080","129144","116257","141642","127599","138730","113847","160877","185050","142368","164514","164018","156147","144184","132936","131411","160155","302337","147335","151902","138592","135792"
"M990.6648T1260.4","990.6648","1260.41712","22700000","11200000","16900000","24300000","19200000","18600000","22100000","19500000","17500000","22700000","14800000","15500000","13800000","9283211","13300000","15642773.7","10400000","11400000","13100000","10900000","15500000","13400000","14800000","16800000","11100000","16300000","15500000","12800000","13100000","19200000","19800000","19700000","18100000","23800000","14560472.59","12500000","10600000","1.3e+07","13800000","16900000","12600000","13400000","23400000","12300000","11600000","15300000","1.4e+07","15500000","1e+07","15700000","15900000","14400000","14500000","14900000","14900000","15200000","12900000","13500000"
"M660.4438T1429.6","660.4438","1429.64664","984197","791377","988128","1057960","951703","755394","1043621","959576","1017986","774112","891456","989305","881620","973097","1062618","833829","867082","860495","1014441","877762","957918","996845","1060638","961277","1089700","951248","1202752","884979","938617","959149","1081092","1010163","999213","824119","970937","966543","985937","704423","1033681","1020551","905450","723116","285012","852378","999405","969138","954759","1013449","856542","1008087","1063602","995725","830007","1598599","1112154","1008881","1120639","908672"
"M507.3326T1213","507.3326","1213.04304","576277","252924","459833","528073","474349","532617","684264","529936","354907","874323","293125","446836","267753","194191","300949","283128","222647","282969","485082","278807","271252","408446","397863","379092","370248","366530","347449","311376","343095","482209","433882","359656","377540","720908","588679","331113","241734","366773","393957","601021","287920","301099","1035669","380811","419822","288331","554130","364846","233712","422725","385506","269393","272518","311451","683082","404087","363057","329139"
"M148.0159T1377.9","148.0159","1377.91044","208283","193784","145014","188897","250360","147864","201690","175058","162821","236755","147669","211874","170518","237477","173012","153561","247410","161671","280729","205078","190106","146745","258693","159925","149425","193722","219017","158362","161961","145023","300685","297627","177255","159334","209798","159663","194543","158552","189982","200778","171849","151342","177116","144765","218596","260987","266470","158349","162705","215286","295435","270078","232327","305325","177871","173592","136826","169080"
"M437.2906T1287.7","437.2906","1287.67878","696481","166791","578808","673952","986424","426280","579638","733726","294164","571754","340799","295054","162385","492642","508080","652875","212347","234526","652775","250450","243263","395145","678392","457354","566504","290630","225426","223384","267086","734438","769397","521557","513143","912729","504424","321498","220979","293306","535180","493170","262545","253936","434966","236685","379431","305722","315401","381319","210933","303776","363282","497843","295187","534186","559451","294836","318115","279423"
"M660.5191T1716","660.5191","1715.9766","86760","67239","114532","110583","27738","100789","92954","99105","96107","99249","62196","73151","129745","72523","107163","101226","83071","112098","67702","57094","61431","69559","66423","99294","100094","69863","114402","77368","86485.0769","69535","71398","62628","66895","77121","88734","121441","102506","61130","86511","79367","77084","102296","92089","70708","75812","88158","90715","83047","60054","56242","64208","85663","97785","77261","95678","136765","113304","103025"
"M555.4346T1501.1","555.4346","1501.0713","67340","59575","58327","66812","54138","65076","59772","68072","56474","71282","56185","69990","71377","57005","63746.8276","49319","66931","66856","65084","58852","91325","58837","51493","70069","63746.8276","54755","60364","76464","68737","46680","52094","48790","67674","57898","81781","82551","116977","60964","59530","58485","55233","66313.7778","66313.7778","89833","53065","63527","53700","51444","64644","67355","66261","69657","61766","101624","45029","57895","57955","57215"
"M677.471T1429.2","677.471","1429.1874","3071948","3372467","2845825","2872192","2652611","3485463","2967601","3684462","2788644","2770031","3589263","3384079","3277789","2664770","2939980","1879112","3398739","4105049","2391136","3684579","3489352","2465617","2659974","3061518","2686165","2664381","3587052","3414029","3068255","2599271","2694242","2819479","2936287","3212943","3387977","3454720","3234539","3362622","2476057","2844418","2894480","2471585","3183825","3450778","2245225","3259219","2645425","3125805","3792796","3386634","3875786","3146788.946","3343731","5164457","3353816","3413319","3255039","3107078"
"M853.5748T1414.2","853.5748","1414.17432","930288","862409","945083","1147490","925545","1074050","978129","1126979","1165376","849770","985905","1118570","1035845","995468","874855","951961","1073291","1309093","886080","1041947","1039146","326114","964937","1051421","1058933","938610","1075632","979736","926215","928588","1056133","1102664","1078338","1111648","961180","1145888","975630","802788","932419","736023","972695","933154","1149521","915857","708074","1136547","843529","981811","961869","1231495","959551.1892","913799","1083658","1103978","970074","658775","1000103","911419"
"M684.5026T1716.1","684.5026","1716.11778","92252","109997","92465","78713","82763","101502","92367","87346","79108","68748","84669","64870","79920.5","66087","77624","74314","86732","95243","50093","94442","74655","75618","77293","73633","70624","69430","71531","81291","50548","59611","89808","79849","81652","79706","72341","81404","96894","101876","122503","83779","79529","82596.9143","85233","97962","56834","92306","77236","74611","97589","76863","66342","66430","101760","56428","74149","79943","80657","68136"
"M509.3489T1368.7","509.3489","1368.6756","3606319","1234063","2163171","3555156","2768809","2656236","2422829","2415545","1887945","2822570","1258945","1786462","933901","1071413","1358062","1342281","928112","1370982","1471001","1230824","1420287","1559057","1937839","2248161","1765856","1971367","1738874","1409161","1582898","2325371","2118633","2298979","2064215","3686365","1960111","1277735","1070823","1553807","1750799","2366346","1188609","1332416","2501378","1500750","1573537","1508097","2335444","1668453","1257275","1645113","1982009","1493601","1664241","1981143","2515209","2262244","1806648","1487520"
"M375.3107T1595.9","375.3107","1595.92584","117704.52","81786","107005","120449","121387","109972","87585","89815","117704.52","83562","117704.52","117902","113918","131550","166132","117704.52","111750","95254","147924","117704.52","144123","135608","122351","118378","126253","117704.52","126676","118854","149850","118655","114684","130142","121535","134937","120107","80513","33408","75260","87977","135559","119729","30190","149923","78065","156032","101132","170150","84005","116309.7576","116309.7576","116309.7576","116309.7576","201813","216592","94534","121932","107086","121170.3571"
"M688.079T74.5","688.079","74.49156","142826","154358","137029","170682","102784","95353","88287","133899","15955","124289","116206","65571","79197","99802.069","112260","58801","85689","128529","69830","62134","84373","99802.069","114811","58811","64161","100512","111830","144485","109277","104066.8235","116887","68852","78866","104066.8235","104988","127258","86041","74339","109676","65095","129222","130654","104066.8235","133133","59932","75584","98685","80145","129992","99876","71449","118344","117911","104066.8235","124748","124883","69957","79925"
"M381.2647T1070.9","381.2647","1070.88492","108607","77491","150560","206420","118018","179137","153463","196251","193910","182068","134534","88216","71317","75086","55877","81341","58170","56336","91703","131426","155996","100959","83462","72921","69007","74252","74997","93197","102821","125189","162084","168613","134209","250396","106344","52969","136454","120356","72862","111612","107125","78707","35435","91607","62923","75433","119538","131881","129877","125727","113174","114984","121574","122717","124864","117823","71142","94664"
"M545.3901T1441.8","545.3901","1441.77738","1737627","2945196","2456813","2357778","1983894","3116971","2243149","2902956","2716274","1803330","2767145","1140979","2790288","2287603","2373707","2129425","2641324","1555346","2157129","2869848","3111442","2160477","2311692","2162418","2262067","2359727","2571478","2586220","3003728","1936421","2816429","2144504","1292981","2354036","2268187","2100380","2529722","2197657","1800862","2200514","2383805","2575874","2397441.919","2993598","1770664","2487511","2098044","2271728","2709999","2366188","2487264","2164002","2555865","4039563","2340712","2445145","2289730","2173234"
"M547.3628T1344.8","547.3628","1344.76146","202223","43082","109137","180193","240332","87396","184645","295833","76845","190662","108815","123605","86126","89059","205067","165640","52520","99813","192187","43471","80519","122129","168899","153960","163209","108987","105119","78043","91237","257313","139777","141655","110536","217149","178809","98208","61174","90389","148533","201612","130209","66654","264316","87545","122229","79715","157769","125348","67043","131143","116722","117199","103862","104746","119440","97147","54735","73848"
"M523.3648T1481.7","523.3648","1481.6508","41500000","29600000","39500000","44900000","40100000","35200000","42600000","3.8e+07","36600000","39100000","33500000","31500000","26600000","24300000","32300000","29300000","22600000","33300000","34200000","25700000","30300000","33800000","32600000","45800000","32500000","32100000","31700000","27900000","28400000","53200000","38900000","36800000","39400000","40800000","35400000","29500000","23200000","34200000","30500000","39100000","23800000","27600000","41500000","29900000","31300000","31500000","32700000","34700000","25100000","34300000","35600000","28300000","36400000","33300000","3.3e+07","31400000","25700000","33100000"
"M507.369T1375.2","507.369","1375.17438","1180243","528882","1045994","1393961","1022367","851897","908459","940400","870545","1042774","523785","501922","324308","371767","452624","310797","249327","518445","676109","330255","764323","595097","724303","754953","440702","607541","519842","527106","593099","960593","1086182","899218","969642","1250013","651770","324311","342105","646285","644469","710056","436066","657417","640717","536283","528107","591883","698753","631423","429270","698097","605887","607019","677024","663467","815089","686664","702662","525511"
"M479.3012T1248.3","479.3012","1248.28332","103418","74204","104288","264224","173116","164606","222839","226188","135955","363455","112270","236396","152119","104968","193040","98715","200001","187504","360155","93111","247344","158436","155159","164809","199691","110541","173297","169457","152897","152599","151699","217249","130944","182866","189224","298036","105722","197983","215654","237925","125840","273036","344245","164970","107274","141698","185211","154834","110142","206150","176132","151591","172296","169424","198770","184984","91348","148739"
"M1044.5894T1222.9","1044.5894","1222.93374","666559","284408","489671","617130","553845","441274","825756","670152","464711","672540","521255","403215","375444","291717","411726","390155","281685","335567","386182","296629","498443","446889","429840","514958","362317","521792","529560","494751","397467","540983","630628","577675","662235","671136","508630","409827","433281.5946","369382","430870","584324","502483","544201","17665","319936","354382","452246","398505","556639","295319","547270","404677","527066","465560","298657","485026","544754","345806","406461"
"M330.2775T1716.1","330.2775","1716.08526","24900000","28600000","36700000","33400000","37900000","26200000","40400000","38200000","35800000","35100000","31500000","27400000","42400000","34900000","23600000","3.3e+07","29800000","38900000","31300000","26400000","35200000","32200000","35600000","23800000","34400000","30900000","36900000","31300000","21900000","29200000","39500000","3.7e+07","37900000","25600000","24400000","26600000","38100000","38100000","36500000","27100000","25300000","24300000","24600000","3.7e+07","2.8e+07","41500000","33400000","34600000","35500000","31800000","3e+07","26400000","37800000","38700000","3.7e+07","3.6e+07","37600000","31100000"
"M250.1207T879.6","250.1207","879.62832","224848","77801","159109","360936","302252","247734.6154","458398","291210","253998","718439","305086","247734.6154","183698","247734.6154","265749","133208","165017","75259","247734.6154","130463","148762","168898","271937","175769","202864","360669","264717","213655","213841","115705","224466.1471","166233","281051","378183","283695","265625","229025","337824","208222","196272","137590","153837","194656","197180","205500","240142","209117","213057","224466.1471","356276","191955","224466.1471","177631","217451","309873","167747","289096","242740"
"M431.3033T844.8","431.3033","844.79688","198014","60480","291973.7857","375341","347377","34741","208782","113757","262592","294294","291973.7857","73698","60025","268695","761202","221740","415941","515956","223952","174537","1608456","188791","152556","219112","319111","168396","291973.7857","223576","233477","711378","210099","217783","57045","831194","227901.0541","446639","318271","43723","395189","27623","61437","407952","101309","434933","141347","158091","391840","222575","142149","141574","273128","577643","105552","46850","290674","332858","186723","246884"
"M511.3277T1088.6","511.3277","1088.55162","222739","204385","247743","325466","142182","260796","186341","182504","278755","205933","219186","241552","337510","159852","143388","134010","236366","276565","142180","301131","380432","179761","213073","201667","149465","264506","253980","247350","233987","97282","183414","230118","252181","299604","219022","256051","201589","243208","143246","181595","166432","185599","162961","274234","187486","335510","212592","234581","153276","241532","153056","208276","304056","239889","219184","305842","278160","244841"
"M657.4028T1465.2","657.4028","1465.21614","207249","163259","171515","185407","247665","201059","247793","239417","193420","199975.7586","178886","213325","264929","254087","205973","218753","133013","206142","202237","207012","184513","235698","217084","278137","13304","152097","199975.7586","122572","119737","240192","37303","251808","218758","197356.9722","264583","197356.9722","190335","183000","248479","260194","263591","184834","299515","181507","168238","224147","192999","259525","163239","152951","194889","263900","204261","193967","258365","195616","183439","105379"
"M597.2556T1192","597.2556","1192.03926","126572","89207","65460","97914","130373","89540","93357","82673","99485","89359","102310","24194","94656","187345","159866","67766","85071","95217","88629","94636","96947.2667","100171","114840","84085","110365","112890","93281","75305","88507.7692","92179","105032","54914","138315","174902","91981.7188","91981.7188","53052","70896","140540","142630","154004","118747","91981.7188","66974","50530","91981.7188","91981.7188","85202","91981.7188","72548","93071","65395","94867","129705","115743","92088","114159","60358"
"M335.3194T1597.2","335.3194","1597.1673","623629","597052","627844","658847","658057","642412","619168","721540","715530","670292","614561","677528","671788","663446","832360","635213","673382","600214","904310","734049","822507","613024","855454","689337","634957","627028","736675","745069","788579","516024","645031","693722","724800","666150","651027","663224","639951","579012","693277","697434","653278","612567","765569","635960","728201","654246","692474","639295","689767","751013","661733","722041","1227750","1257558","627637","671772","594235","695285"
"M501.3335T1561.6","501.3335","1561.6296","459400","359161","513161","520700","587078","420796","584536","508540","592324","551202","445773","587371","449914","626996","581543","520538","344792","430367","608486","418378","508380","595508","588493","579276","644835","527984","637875","408653","489049","553801","642992","643890","510738","477254","497850","536923","429327","504681","555756","481884","560592","553454","574113","444841","544235","574903","440106","520034","394803","606535","551278","632760","396362","959255","695418","529493","603273","457201"
"M517.3167T1088.2","517.3167","1088.15916","410491","244257","417580","724643","773798","378921","556015","566460","293250","717310","277151","635584","508050","476508","527166","580745","324820","442537","1713618","274437","251563","408320","972623","422583","554849","700131","587086","323875","379166","538014","661517","285757","360247","1063901","1205959","836993","214031","493855","792179","670954","201621","577627","220617","488400","495025","303850","706019","589416","454869","486285","276513","382871","639486","736938","995598","448270","288323","387391"
"M396.2648T1950.2","396.2648","1950.18216","426249","396541","355404","318974","343562","341164","397744","273452","255519","243346","368637","289642","424831","275279","386237","246053","321105","337777","311668","410485","253072","304820","310234","357666","273495","313657","226554","210947","140217","239126","430599","289453","219469","282418","271329","258614","394203","285265","291011","422426","391988","348291","327111","378029","325960","372846","311874","303100","368922","367842","227098","323523","329242","417447","346812","315386","362050","193431"
"M477.3218T1260.5","477.3218","1260.54372","199259","129864","183189","203648","127808","157602","202336","187132","173346","204338","174919","155048","149647","108042","151167","120984","119743","152391","175315","152684","188910","145965","161117","168702","132327","168739","166737","161691","153713","184653","180039","192098","169430","164686","140910","139996","158008.7838","135017","136342","177222","175625","147364","204232","164764","119021","174229","150301","185072","126095","173242","187434","150183","166357","169904","179770","164540","149545","161292"
