"","mz","rt","pos-Exp1_K-1-24_1-E,1_01_55180","pos-Exp1_K-25-48_1-E,3_01_55183","pos-Exp1_K-49-72_1-E,5_01_55186","pos-Exp1_K-73-96_1-E,7_01_55189","pos-Exp1_K-97-120_1-F,1_01_55192","pos_Exp2_K01_1-C,1_01_365","pos_Exp2_K02_1-C,5_01_370","pos_Exp2_K03_1-D,1_01_375","pos_Exp2_K04_1-D,5_01_381","pos-Exp1_P-1-24_1-E,2_01_55181","pos-Exp1_P-25-48_1-E,4_01_55184","pos-Exp1_P-49-72_1-E,6_01_55187","pos-Exp1_P-73-96_1-E,8_01_55190","pos-Exp1_P-97-120_1-F,2_01_55193","pos_Exp2_P1_1-C,2_01_366","pos_Exp2_P2_1-C,6_01_371","pos_Exp2_P3_1-D,2_01_376","pos_Exp2_P4_1-D,6_01_382","pos_Exp2_P5_1-E,1_01_387"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M338.6723T180.5","338.6723","180.48862","452.8244","563.3359","574.042","577.158","568.5192","151.2907","135.1687","66.735","115.4775","12576.46","9348.533","7374.39","5632.168","5360.288","11879.16","11899.16","546.3488","12859.02","13775.58"
"M338.7183T252.9","338.7183","252.85353","363.308","554.0196","387.78","620.1108","377.664","91.795","64.0768","51.71833","72.4346","16703.55","15891.12","22475.39","22091.85","20615.87","1918.578","3618.509","376.8084","9631.493","7348.15"
"M338.7005T239.4","338.7005","239.38684","314.9017","660.1472","373.9548","227.9784","514.23","116.1525","143.1696","87.10316","158.5414","20237.43","23241.51","25534.93","25336.93","16811.44","1529.419","2986.018","358.4351","6842.587","3481.534"
"M339.0254T298.6","339.0254","298.59434","2454.969","3082.219","5051.368","4887.162","5950.102","3707.199","5387.909","4196.029","4326.401","2043.095","2212.178","1265.974","1743.892","2077.046","2907.964","2434.779","4489.307","2128.43","3958.646"
"M339.0554T145.6","339.0554","145.63588","113.3194","783.1177","471.4895","0","297.1525","922.9747","841.7715","639.1723","1120.804","13630.3","13620.11","10307.31","11679.49","7426.464","4130.166","5249.147","1740.881","5853.265","2462.9"
"M339.1866T144.1","339.1866","144.13684","84050.93","4491.397","34126.23","46616.65","10433.84","562.116","677.6353","948.4191","435.225","57866.02","50788.93","42555.58","68100.35","36014.52","4686.807","6961.691","1683.709","18263.56","9376.039"
"M339.1754T326.9","339.1754","326.8737","15156.47","2498.759","3180.307","16793.28","3113.126","435.5046","431.4926","602.7912","627.45","14957.95","33434.67","35628.45","20676.55","16670.97","8668.153","6688.016","2135.406","13068.66","3900.975"
"M339.2357T365.6","339.2357","365.60168","627671.3","136734.1","160690.9","697018.6","119446.2","60569.48","37349.94","50320.72","60416.38","193890.5","145394.1","193891","552972.4","180337.5","78862.42","54684.47","42312.69","71764.33","69447.97"
"M339.234T434.3","339.234","434.3311","14748.11","5645.156","8778.184","15254.45","7522.713","753.0255","743.439","817.4119","1913.281","12052.57","8762.649","7408.284","12737.39","6634.747","1899.201","1586.171","708.5967","2331.128","1428.818"
"M339.3444T1020.1","339.3444","1020.13399","14623.3","13606.85","27096.76","13132.56","5826.273","566.7109","576.1004","357","328.2736","70622.87","11261.22","19542.94","259363.5","104776.5","372.8298","570.7136","482.7812","1267.176","425.1975"
"M339.5211T52.9","339.5211","52.87802","277.9422","255.0052","291.7379","237.7748","253.4053","21.69255","17.02019","64.06892","20.68649","18608.05","12881.58","11694.47","16242.21","13827.57","1537.988","3875.6","402.814","3959.443","4223.861"
"M339.6936T282.9","339.6936","282.86142","766.0651","1012.65","740.4284","771.2907","841.9632","244.6387","235.9612","178.5562","150.1537","25932.21","25580.76","26338.07","26166.65","24830.3","7080.153","7210.798","878.3677","8819.88","5255.982"
"M339.6878T145.3","339.6878","145.29677","605.5342","481.1528","373.7126","667.1511","198.0119","117.4272","66.72","105.4682","95.0988","16263.21","11903.06","13141.96","18153.17","11745.87","1789.102","2226.589","257.7046","3751.578","3164.634"
"M340.2386T366.6","340.2386","366.57691","110813.5","23829.3","28888.52","121519.8","20411.5","10878.29","6614.085","8851.438","10573.24","36903.66","25923.14","36011.37","99664.91","32279.52","13052.33","9122.547","7047.077","12446.97","12062.96"
"M340.2062T298.1","340.2062","298.09901","8108.611","6724.78","3448.214","8846.18","7808.654","3239.044","2564.997","2983.61","3931.349","122285.3","6607.541","5846.523","4512.084","9161.321","3007.562","1905.619","2217.39","2759.604","2254.279"
"M340.2306T426.1","340.2306","426.09672","27520.37","7940.032","15664.36","26864.13","15102.68","10409.87","8200.905","10899.9","18593.57","7744.867","6325.096","7544.504","12225.68","4813.507","1330.995","1379.637","965.2701","2176.188","1412.43"
"M340.7013T217.1","340.7013","217.05083","518.429","544.3842","69.82524","549.3877","463.1479","134.173","59.06651","49.07127","71.43709","16248.32","17024.55","16425.01","11863.71","6896.481","3109.549","3653.599","423.4907","7949.925","2667.262"
"M341.1371T341.4","341.1371","341.37675","135843.5","159491.8","168674.9","243139.4","245933","20477.85","28404.48","37427.26","24177.01","21345.61","15403.56","17074.83","15603.67","23271.86","8915.706","5381.711","5122.938","5484.738","7310.774"
"M341.1785T207.4","341.1785","207.41786","39133.03","8382.013","11615.75","41439.01","5430.883","3596.775","2080.041","3219.008","2278.222","76772.08","20935.47","18559.2","39428.02","16968.73","4079.732","3817.957","1610.649","5238.305","3811.425"
"M341.2368T365.3","341.2368","365.34335","14395.88","4123.691","4407.312","18270.94","2598.944","1839.296","950.0928","1235.208","1738.941","5895.23","5731.051","8740.299","11775.42","3980.646","2135.04","1181.551","918.0637","2325.361","1850.921"
"M341.265T791.1","341.265","791.06956","77372.46","116542.7","95376.27","163460.5","118886.8","14319.3","14792.66","14372.16","16332.82","103257.3","73480.73","132231.5","125907.6","124323.9","17234.18","16562.73","19395.99","16805.26","19967.52"
"M341.2652T837.9","341.2652","837.87074","2437.622","10072.92","5571.033","12350.98","8769.372","2568.874","2032.204","1671.42","1617.352","20316.28","12409.55","17342.56","16658.58","32071.8","2685.881","1894.031","1807.959","1808.742","1532.58"
"M341.2626T313.7","341.2626","313.74129","8.0992","0","82.24427","59.3472","105.2272","6.673333","24.3528","7.674333","14.68133","10754.08","10736.45","11075.67","7574.521","4283.961","1150.291","1211.908","30.37398","2643.446","21.35467"
"M341.5524T218.8","341.5524","218.79178","1041.345","1254.384","902.1952","989.9529","1195.711","695.1291","544.3274","526.6757","585.084","28724.64","32817.73","35376.82","32634.45","21704.89","915.6517","2910.564","944.7991","9056.521","3588.659"
"M341.6388T203.5","341.6388","203.53535","3001.97","4000.915","3880.881","3057.856","3608.716","2304.464","2370.842","2539.23","2365.857","0","86.34027","114.3447","0","0","437.9318","653.8317","1595.847","126.1605","1148.859"
"M341.7257T346.6","341.7257","346.60884","732.326","505.1256","328.835","639.6472","502.8646","165.132","112.7675","88.7796","47.71433","15481.39","14773.79","16051.11","19788.57","10774.97","9775.438","9430.44","2643.224","9953.881","8743.976"
"M341.8173T26.2","341.8173","26.21381","71.16931","202.2713","110.9318","200.655","129.4753","9.01197","7.00938","9.677977","12.68351","2816.227","16556.53","14690.42","13311.85","8014.87","105.105","741.85","0","2661.782","325.2121"
"M341.8855T218.7","341.8855","218.66306","302.5386","230.6075","354.0886","424.6662","418.7685","188.5872","149.5112","75.09522","124.8152","16408.11","17459.75","18635.36","17775.4","13133.45","153.1583","1483.499","104.1239","4678.553","2350.385"
"M341.9456T452.5","341.9456","452.51772","942.603","1806.47","2281.594","1368.17","3381.779","1756.281","2239.554","1748.639","2155.632","551.8102","356.3716","217.1271","274.6311","409.0236","82.08831","268.1217","1152.611","65.09379","428.4825"
"M342.1401T341.7","342.1401","341.71374","29239.33","36283.18","38533.57","52956.25","55850.96","4593.714","6230.897","8161.78","5432.676","1917.632","385.1803","1327.219","998.3657","4469.586","2297.957","981.0382","2464.044","454.2629","2259.052"
"M342.1667T334.3","342.1667","334.27824","4940.291","2494.335","2007.826","5736.152","2201.757","381.3048","533.1385","299.6754","558.2084","27146.46","24303.38","30868.23","24551.06","21880.4","7227.988","5806.648","2007.922","8680.837","4583.624"
"M342.1894T220.7","342.1894","220.67896","7855.46","17302.33","11791.87","9405.059","13692.23","4114.47","2596.909","3856.391","4028.057","53332.32","46032.18","49388.34","48871.56","60060.94","17152","19610.63","5296.279","17086.53","14678.34"
"M342.2046T429.8","342.2046","429.76952","29657.28","78874.23","60427.73","93592.31","74273.07","7375.776","6795.801","5071.49","4130.786","34649.34","16338.1","18689.9","25316.3","20902.47","3458.318","4052.306","5213.338","4545.184","4554.529"
"M342.2351T253","342.2351","252.97213","160860.4","259655.6","163059.9","199539.4","240970.1","1912.197","2054.309","1069.914","2596.594","129583.6","84322.44","83990.89","69306.93","61493.31","7912.273","8203.317","3081.308","13576.58","8138.318"
"M342.2349T213","342.2349","212.99683","5530.108","6255.638","6221.014","1626.364","7620.176","1910.262","2130.994","2500.789","417.8755","163586.1","203886.1","203357","211042.5","173584.4","51357.23","67908.16","9312.626","83140.46","46054.99"
"M342.225T344.3","342.225","344.28913","1619.956","220.5811","79.60752","875.8904","175.0483","0","0","90.76096","0","5766.139","4484.086","4848.732","6136.734","3441.339","3754.013","3179.684","1170.259","3381.323","3128.699"
"M342.2681T791","342.2681","791.0368","14037.36","22908.69","17607.11","35702.4","24026.07","2944.604","2847.792","2715.595","2890.053","21467.78","14684.71","28198.87","26499.62","26511.9","3223.691","3466.393","3944.515","3044.275","3795.521"
"M342.687T221.5","342.687","221.46173","3847.918","7649.275","5428.039","5649.217","8074.164","2024.601","1097.477","1605.587","1544.313","15534.07","21687.6","22765.72","21159.39","12184.26","3153.654","5514.452","925.4056","11096.12","6682.783"
"M342.6985T183.6","342.6985","183.56604","1348.126","979.7403","1043.82","1185.659","1080.918","393.0515","365.7571","434.2087","294.0073","27315.4","24950.43","21751.55","20038.65","12897","1850.457","3595.36","1144.095","7203.072","4968.011"
