"","mz","rt","","","","","","","",""
"group","mz","rt","Cell line:T24S | Treatment:No","Cell line:T24S | Treatment:No","Cell line:T24S | Treatment:Yes","Cell line:T24S | Treatment:Yes","Cell line:T24R | Treatment:No","Cell line:T24R | Treatment:No","Cell line:T24R | Treatment:Yes","Cell line:T24R | Treatment:Yes"
"M786.52T422.4","786.52","422.4","2090.2","2488.4","2105.4","1852.6","2488.4","1555","2478.2","3180.8"
"M614.53T422.4","614.53","422.4","2082.3","2854.3","2553.6","3054.8","3236.6","3688.5","3350.9","3317.3"
"M834.62T430.8","834.62","430.8","5260.6","3031.1","3311.7","4508.1","11285.1","9892.4","9497.6","5130.4"
"M821.63T430.8","821.63","430.8","26453.5","23692","26493.6","23538.4","37400.1","34272.6","38776.9","38129.9"
"M690.58T432","690.58","432","2158.8","2170.9","1808.5","1958","3166.9","2308.6","2147.6","1987.8"
"M629.49T435.6","629.49","435.6","24574.5","30048","18096.8","20912.3","30245.8","34988.6","26051.5","28272.8"
"M679.51T436.2","679.51","436.2","25931.8","31207.6","28754","31208.6","35871.8","38332.8","32995.6","41164.9"
"M849.66T471.6","849.66","471.6","71514.4","67105.8","70946.6","69912.3","79685.5","75858.5","84771.4","82581.9"
"M718.61T472.8","718.61","472.8","6040.9","7083.1","2256.7","4451","7896.3","7813.8","2022.2","5030.9"
"M657.52T475.2","657.52","475.2","9982","12870.6","7314.1","5855.1","10969.3","7907.8","8018.5","7074.3"
"M614.56T478.8","614.56","478.8","1477","1449.5","648.3","1057.6","1133.8","1112.3","785.5","764.8"
"M711.58T514.2","711.58","514.2","338.7","248.1","237.9","263.5","1043.8","1229.5","281.7","518.4"
"M698.62T540","698.62","540","15767.8","18721.9","21778.3","25433","24529.7","26144.9","33270.1","31484.9"
"M670.63T555.6","670.63","555.6","80682.7","92132.3","44230.7","47167.9","18576.4","23594.8","13916.9","14296.7"
"M712.64T557.4","712.64","557.4","22194","22824.2","33652.8","39868.5","40379.3","51042.9","59557.9","77033.8"
"M184.04T673.2","184.04","673.2","1314.3","1733.7","1301.3","1365.8","1887.2","2422.8","1647.4","2081.6"
"M776.53T309","776.53","309","83815.3","69571.4","72348.3","67410.3","70299.1","64539.9","73324.4","69578.9"
"M824.66T430.8","824.66","430.8","634.3","618.8","539.5","608.3","1166.8","1025.5","1032.6","1073.8"
"M618.58T446.4","618.58","446.4","2628.5","2824.9","2794.3","7169.1","2324.7","2223.2","2560.6","2492.3"
"M431.04T38.4","431.04","38.4","133.7","105.5","26983.3","32939.7","107.8",NA,"47165.5","44466"
"M445.06T64.8","445.06","64.8","101.2","119.8","46843.4","53219.6","128.1","151.9","59357.4","64666"
"M1058.64T294.6","1058.64","294.6","14221.3","17779.9","13994.7","15464.5","8222.2","9389","7277.2","6744.5"
"M1006.7T424.8","1006.7","424.8","11955.1","14361","12037.8","13741.5","16077.9","18995","18121.3","20493.9"
"M875.56T307.2","875.56","307.2","21964.4","14749.8","16421.1","12331.9","15337.2","12792.6","14448.1","10838.2"
"M477.36T205.8","477.36","205.8","3805.6","3897","3162.3","2890.5","4452.9","4962.8","3319.9","3494.3"
"M847.57T306.6","847.57","306.6","3057.8","2784.9","3139.2","2267","2752.2","2877","3208.8","3223.6"
"M689.53T435.6","689.53","435.6","3903.2","3598.6","4191.5","3527.4","5005.9","2564.6","4092.2","4613.2"
"M392.29T674.4","392.29","674.4","2896","32630.4","5034.4","4925.3","46430.2","7776.2","31543.9","26673.8"
"M391.29T675","391.29","675","133696.1","129601.7","125242.4","109122.4","192031.6","170500.9","119443","105191"
"M433.04T38.4","433.04","38.4","106.4","121.7","12159.5","13478.9","119.2","133.1","19509.6","18146.2"
"M447.05T45","447.05","45","88",NA,"186087.8","202118.5","301.8","269","248418.2","242731.1"
"M546.45T313.8","546.45","313.8","4170.7","7382.5","6872.4","6993.1","4895.5","7744.4","4997.1","7504.7"
"M560.46T335.4","560.46","335.4","5499","6569.8","5058.4","7213.7","4875.2","6063.6","5934.2","4740.5"
"M572.46T319.8","572.46","319.8","5607.2","5856.9","4813.1","3998.1","5303.9","7904.9","7413.3","7445.7"
"M574.48T357.6","574.48","357.6","73097","85342.9","74123.6","62996","116189","132185.4","109752","100898.3"
"M597.53T378","597.53","378","26225.7","27051","25766","26972","28244.4","33993.4","23197.2","44947.3"
"M596.53T378","596.53","378","105363.6","103218.8","107319.9","98588.6","143800.5","147970.7","126215.2","119355.7"
"M611.54T399.6","611.54","399.6","4986.1","4467.3","3467.6","2755.6","5164.4","3221.3","2074.8","3228.2"
"M610.54T400.2","610.54","400.2","11838.1","10681.6","10765.1","10764.3","12380.9","11132","9571.6","9197.5"
"M629.54T442.2","629.54","442.2","4104.7","5241","2233.6","6085.6","9437.2","9176.4","4028.9","8025.4"
"M631.49T435","631.49","435","3844.3","5584.1","5413.4","5817.6","8455.6","10488.3","7271.2","5618.7"
"M671.59T503.4","671.59","503.4","5812.2","15079.6","9167.8","18046.8","7409.2","6493.2","15199","11629.6"
"M671.63T555","671.63","555","17630.1","24124.5","11155.2","7094","2238.5","7212.1","2244.3","4197.8"
"M679.6T446.4","679.6","446.4","3476.6","3256.4","3510","961.1","3392.6","3144.6","3821.2","3275.6"
"M685.59T480.6","685.59","480.6","8746","28723","29587.7","35723.9","41410.4","26957.8","14257.1","38436.5"
"M686.59T481.2","686.59","481.2","5360.9","7258.9","3255.4","2543","9216.5","11918.9","10795.2","11618.1"
"M695.64T522","695.64","522","10815.9","7400.5","13375.9","24609.4","10947.7","19311.8","24158.1","22263.1"
"M694.63T522","694.63","522","48482.1","37677.6","56627.2","50911.5","41812.4","36743.2","49011.1","45426.3"
"M698.61T501.6","698.61","501.6","4823.4","2870.5","4032.9","3209.4","5139","9206.8","7118.4","12355.1"
"M696.61T501","696.61","501","8716.1","10812.8","12011.9","15518.1","15840.7","18882.2","21617.8","24673.2"
"M712.63T520.2","712.63","520.2","12475.9","16893.1","16707","18702.5","25001.5","14633.9","31017.5","33657.8"
"M715.51T330","715.51","330","16785.6","22454.5","9984.9","22179.8","22841.6","15689.8","24912.6","10605.6"
"M730.57T423.6","730.57","423.6","2243.2","1770.8","4131.6","4665.3","1365.9","1183.2","1008.7","1586.3"
"M737.53T354","737.53","354","24080.9","25654.8","12747","32077.7","16458.4","19096.3","14840.8","21309.6"
"M736.53T354.6","736.53","354.6","83292.8","83442.9","70227.2","71003.8","82611.5","85778.4","74347.5","68805.9"
"M744.5T306.6","744.5","306.6","11544.3","8671.4","8807.2","8165","10719.4","8175.4","9281.5","8716.2"
"M751.55T407.4","751.55","407.4","4929","7310.2","4380.6","4948.5","1513","2029.4","2086.7","1426.7"
"M750.53T407.4","750.53","407.4","1033.6","1727","1277.3","917.3","1452.2","895.4","1666.5","691.9"
"M755.58T409.2","755.58","409.2",NA,"1149.1",NA,NA,NA,NA,NA,"1058.7"
"M757.59T461.4","757.59","461.4","6532.7","6813.1","6041.5","6002.5","1750.2","1246.9","1476.7","1926.5"
"M763.57T301.8","763.57","301.8","13808.7","15934.1","11728.8","16382.7","28186.1","24527.7","20173.4","23159.8"
"M762.58T301.2","762.58","301.2","62233.6","24644.4","60051.4","18569.4","37003.1","105835.1","100141.1","50767.3"
"M794.55T352.2","794.55","352.2","38991.9","40731.5","37136","38207.1","55901.6","60032.7","54942.9","52877.8"
"M795.6T502.8","795.6","502.8","12768.9","10070.5","5532.4","11247.6","11041.6","4160","3035.7","11120.5"
"M794.6T503.4","794.6","503.4","15104.5","10899.3","16857.3","13877.2","13075.9","10110.8","14275","11951.3"
"M803.58T332.4","803.58","332.4","2150","2553",NA,"2124.1",NA,"1712.6",NA,NA
"M815.56T330","815.56","330","1306.4","907.7","721.2","497.5","725.5","986.5","823.7","1316.7"
"M817.58T321.6","817.58","321.6","63777.5","22504.8","61664.4","23897.5","66110","27848.8","35336.5","61127.7"
"M823.59T393.6","823.59","393.6","5696.9","5527.1","5630.2","5367.4","5676.8","6577.1","1391.9","5623.3"
"M827.58T307.2","827.58","307.2","4142.5","3981.6","3983.1","5119.1","16606.8","3091.1","3275.7","5094.6"
"M829.66T444","829.66","444","8622","8028.8","5705.8","4513.5","2716.6","1909.3","2689.5","2450.7"
"M828.66T444","828.66","444","15635.8","15256.4","15436.2","15178.7","7997.7","7683.6","7120.8","6936.6"
"M832.64T421.8","832.64","421.8","11341.1","5172.6","11135.8","12284.6","10139.8","11538.5","3254.2","9597.8"
"M833.64T463.8","833.64","463.8","23052.6","11494.3","13022.7","9833.6","9300.2","17375","8528.2","16035.7"
"M844.58T302.4","844.58","302.4","2925","3035.9","2954.8","2975.4","4668.5","4994.7","2751.6","4406.1"
"M843.58T303","843.58","303","5594","6112.6","5571.1","5533.6","8383.3","9433.9","8227.4","8528.7"
"M848.45T288.6","848.45","288.6","7893.6","3135.7","5067.6","3073.6","8530.4","5783","4778.6","4967.3"
"M847.44T288.6","847.44","288.6","13313.4","6008.1","9576.4","5449.6","18037.4","10272.8","13854.8","8617.8"
"M849.64T429.6","849.64","429.6","6245","5708.7","5916.1","2794","11271.1","11390.9","3646.9","10160.2"
"M850.66T471","850.66","471","6734.1","6927.2","6747.9","3333.5","7588.1","8472","3479.8","6592.9"
"M855.61T342.6","855.61","342.6","1078.5","809.8","1195.2","992.4","1655.1","1411.8","1646.2","1537.7"
"M857.69T483","857.69","483","7181.9","13863.9","11947.4","10840.2","5586.7","9687","4887.3","4701.1"
"M856.69T483","856.69","483","26855.5","24662.5","22037.4","18455","17105.2","17244.8","13539.6","13358.3"
"M870.68T392.4","870.68","392.4","1692.5","3607.1","3791.3","3683.7","9287.6","5923.3","9581.1","5542.3"
"M869.67T393.6","869.67","393.6","6293.4","5929.2","6669.5","6595.6","16832.5","17351.8","17036.2","16441.9"
"M887.57T309","887.57","309","480258","597896.6","401542","500111","484414.1","398011.3","330621.8","348751.7"
"M899.57T306","899.57","306","33333.6","12583.6","22378.6","12758","39275.9","25068.7","29354.6","24778.5"
"M973.74T466.2","973.74","466.2","17496.4","8958.4","8982.4","9854.1","8266.6","8383.7","10094.4","18342.9"
"M1196.81T455.4","1196.81","455.4","7349","7437.6","4503.2","6867.2","4785.2","4688","4717.7","4417.7"
"M847.66T429.6","847.66","429.6","9188.5","8873.8","8961.2","8895.7","17839.5","17204.3","17443.2","16828.3"
"M847.66T430.8","847.66","430.8","7616.5","4110.9","4701.5","4307.2","13149.4","10491.2","11091.2","11541.7"
"M707.59T447.6","707.59","447.6","5630.1","6937.7","7411.9","8550.9","10701.7","13799.3","13506.2","13794.5"
"M599.52T355.8","599.52","355.8","7724.7","8990.7","8975.1","9308.4","12493.8","13346.6","12339.9","10782.7"
"M1009.72T464.4","1009.72","464.4","18247.6","17160.2","15893.6","18397","12421.5","14388","15856.7","16979.9"
"M801.57T301.8","801.57","301.8","5081.2","4538.6","6316.3","2867.3","13390.4","1857.3","2241.9","2778.1"
"M683.59T484.8","683.59","484.8","55883","68231.2","57655.5","93555.2","88304.7","142342.5","146952","152137.7"
"M429.08T36.6","429.08","36.6","7344.6","7355.9","4277.3","4938.7","9722.6","8730.9","6728","6322.2"
"M395.06T38.4","395.06","38.4","97.6","127.4","8789.7","10827.7","124.3","157.7","15269.4","14634.5"
"M555.05T38.4","555.05","38.4","85.3",NA,"16415.6","10081","133.2","101.3","20142.3","12823.7"
"M509.06T38.4","509.06","38.4","58.9","98.9","3794","3452.3","144.6","143.2","5620.2","6645"
"M458.06T38.4","458.06","38.4","86.2","116","6885.3","10611.6","182.6","147.5","14377.7","27422.4"
"M61.99T45","61.99","45","541.9","1049.3","8424.5","11672.7","1164.3","1541.9","13452.5","25023.8"
"M308.03T45","308.03","45","119.6","137.8","41437.3","41309.2","161.1","156.2","50921.1","49125.4"
"M412.08T45","412.08","45","80.1","104.6","10161","10315.9",NA,"185.1","12263.5","11559.1"
"M455.09T45","455.09","45","71.3",NA,"53491.7","47149.2",NA,"175","62097.1","55761.2"
"M472.07T45","472.07","45","164.5","148.3","46255.9","63273.8","200.4","232.9","77630.3","144103"
"M523.07T45","523.07","45","129.3","93.1","17722.3","15666.4","106.5","154.8","23734.4","24124.8"
"M569.06T45","569.06","45","75.7","87.4","35357.1","21231.2","137","196.7","36847.8","23160.9"
"M421.23T49.8","421.23","49.8","2195.7","4982.5","5453.1","8600.9","3902.5","17589","4412.1","6796.6"
