"","mz","rt","neg-Exp1_K-1-24_1-E,1_01_55195","neg-Exp1_K-25-48_1-E,3_01_55198","neg-Exp1_K-49-72_1-E,5_01_55201","neg-Exp1_K-73-96_1-E,7_01_55204","neg-Exp1_K-97-120_1-F,1_01_55207","neg_Exp2_K01_1-C,1_01_342","neg_Exp2_K02_1-C,5_01_347","neg_Exp2_K03_1-D,1_01_352","neg_Exp2_K04_1-D,5_01_358","neg-Exp1_P-1-24_1-E,2_01_55196","neg-Exp1_P-25-48_1-E,4_01_55199","neg-Exp1_P-49-72_1-E,6_01_55202","neg-Exp1_P-73-96_1-E,8_01_55205","neg-Exp1_P-97-120_1-F,2_01_55208","neg_Exp2_P1_1-C,2_01_343","neg_Exp2_P2_1-C,6_01_348","neg_Exp2_P3_1-D,2_01_353","neg_Exp2_P4_1-D,6_01_359","neg_Exp2_P5_1-E,1_01_364"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M529.2583T160.8","529.2583","160.77229","24911.38","25738.37","24257.43","25648.73","29326.3","3657.083","3817.524","4019.439","3688.9","93152.98","88408.54","105675.7","104738.5","112038.3096","2780.3061","3706.1298","2167.408","4916.527","3838.539"
"M529.2562T194.2","529.2562","194.24048","13089.61","14006.55","11309.83","12235.71","14517.39","2245.128","1527.947","1720.042","1879.991","25902.85","26696.74","25032.39","22516.69","19250.2913","2516.088","3929.60536","780.6523","5064.9863","2904.08"
"M530.1959T225.3","530.1959","225.32817","10151.21","8712.494","7281.47","8726.07","6533.974","1550.036","1766.168","1691.06","1470.718","256272.6","374429.1","343228.6","382567.2","367897.3934","61787.14142","59050.1205","17626.05","86077.15877","63356.41"
"M530.1977T193.5","530.1977","193.47282","2078.528","2578.269","2088.974","3935.146","2421.242","667.7814","571.3834","549.6315","599.2482","15717.01","27122.1","22516.1","25748.83","27133.1239","13705.68038","11828.97853","3098.617","17691.75063","12273.08"
"M532.0719T53.9","532.0719","53.8936","2334.616","8012.02","5295.255","4083.313","6076.62","4420.64","2605.675","2714.012","2509.047","20801.55","31650.78","17449.69","26056.84","22560.0727","20104.9416","16315.84104","8549.287","15604.44949","18030.64"
"M532.2217T165.7","532.2217","165.66168","2894.518","3221.75","2169.272","2922.218","2173.647","1115.014","1014.523","726.708","1048.739","37795.11","35350.14","36741.09","39720.81","25440.2917","5393.00737","6098.48591","1901.186","9438.717","5580.293"
"M532.2846T464.7","532.2846","464.73963","141519.8","192139","196847","155598.5","189139.3","42594.87","44811.19","49274.21","44346.21","43780.29","56122.3","58257.53","63661.32","77570.6429","20578.42036","22360.965","29709.21","14152.58652","29255.75"
"M532.8751T20.8","532.8751","20.80206","966.5817","2073.55","1900.333","2237.947","2078.965","3672.359","6321.353","5429.234","5735.499","7886.261","7222.247","7845.146","6618.994","8975.1335","325.57408","2676.69106","3587.033","4031.65914","2258.809"
"M533.2897T462.5","533.2897","462.45147","48249.54","58864.27","61454.81","52913.32","60099.71","13711.01","14411.6","16072.96","14282","38009.76","48666.46","43382.03","40059.62","45595.9855","9694.40898","10340.69095","9747.213","10249.06701","9878.86"
"M533.7407T350.9","533.7407","350.91733","364.5681","316.4361","227.7709","428.0121","263.8781","44.68143","29.67647","24.68061","45.69963","4802.906","4765.316","3698.979","5142.953","5324.5005","589.4712","1312.7872","179.7963","1721.72463","1326.587"
"M533.8765T20.7","533.8765","20.65381","287.8624","829.3114","695.2342","885.7708","1127.607","1552.962","1898.949","2195.092","2188.436","3253.226","2273.739","3200.408","2622.178","2759.7032","193.82964","1003.1352","1529.776","1456.8312","840.0202"
"M534.2906T463.8","534.2906","463.7564","9397.799","13202.07","12069.42","10192.52","13293.24","2647.718","3039.692","3537.999","3174.259","13325.34","16446.27","15511.44","14137.56","14856.9531","3106.92326","3275.24496","2277.89","3981.8496","3183.316"
"M534.8727T20.6","534.8727","20.62144","305.322","857.8462","765.1881","902.8198","1060.683","1791.591","2862.627","2271.243","2233.123","3523.335","3677.013","2928.594","2476.276","4543.0633","223.50254","1650.39423","1553.172","1710.08755","1002.315"
"M535.196T402.4","535.196","402.36701","14733","16995.18","22898.22","20217.64","21455.43","2699.799","7763.172","7345.205","2971.143","0","0","0","0","0","1184.85454","274.2192","2555.444","0","2536.506"
"M535.2471T213.3","535.2471","213.30228","17010.02","18496.33","17703.5","17038.89","17361.23","3075.737","3098.781","3260.407","2982.407","13969.3","12227.39","13690.22","14111.09","14001.7972","2874.6312","2907.43023","2884.737","3013.60461","3376.046"
"M535.2847T543.9","535.2847","543.86449","6954.479","3497.015","1588.888","5418.738","1512.296","332.4924","305.2048","269.1806","286.1736","375657.1","383795.5","420433","289091.9","471465.7817","32708.75834","53789.92127","6820.948","78861.87289","25086.94"
"M535.2839T503.3","535.2839","503.30021","8121.531","6197.745","2169.745","5955.127","1597.38","363.5737","352.5212","482.3213","372.8654","755660","984658.4","850478.6","669902.3","1025878.887","81888.89868","125387.35399","25422.16","159026.1192","78393.95"
"M535.2818T486.9","535.2818","486.93751","9501.33","2817.251","2086.03","6701.245","1672.647","401.1871","260.8404","432.8974","333.5778","184358.2","235301.5","204530.8","162592.9","208327.1588","19690.22789","25782.97573","6275.016","34303.18846","16822.54"
"M536.1107T58","536.1107","58.01061","3734.025","3139.826","3646.27","4794.926","4537.039","778.8612","576.773","585.0199","656.7194","22879.98","24846.48","26188","28145.51","22584.0148","13359.11953","13445.03006","8272.658","10429.97742","14265.55"
"M536.1963T187.4","536.1963","187.40503","2726.343","2308.015","2550.484","2369.895","2308.145","440.1936","500.887","452.5324","477.3816","11781.62","14606.06","13877.19","12394.43","17259.4008","3193.31347","4306.84726","1026.031","5102.69224","3278.954"
"M536.2882T543.9","536.2882","543.86449","3513.097","1303.982","870.9074","2388.929","785.5291","173.0785","95.73658","121.7556","166.0868","122832.7","129384.7","136157","95761.08","151593.3588","11329.87468","13625.5584","2295.554","25974.30467","7793.969"
"M536.2869T503.2","536.2869","503.18598","3763.208","2405.301","1117.987","2217.898","1004.98","175.4385","196.7716","139.0823","172.4367","245665.4","318197.8","278891.3","220569.7","333303.784","26412.53522","40744.51908","8443.207","52593.3744","26119.97"
"M536.728T328.9","536.728","328.85897","543.1795","268.8941","375.9804","365.1996","344.6487","38.34947","93.04929","92.38227","39.02418","11356.23","11427.07","11119.2","9861.795","10623.8083","2944.435","3025.92436","1334.25","2817.19517","3939.505"
"M537.2106T389.1","537.2106","389.05849","26376.69","15631.15","22141.23","27327.35","21808.52","2242.876","7382.173","5899.777","2040.035","4164.172","0","0","13710.78","0","6215.14915","816.19153","1365.985","550.39696","6219.513"
"M537.2615T164.2","537.2615","164.20315","1126.151","402.0226","960.3623","1367.147","671.5184","342.4808","222.1264","361.5557","545.6689","46073.7","47968.93","51505.06","48173.7","46192.6848","10320.53904","11930.3454","10928.69","9655.64946","11579.13"
"M537.297T527.7","537.297","527.66127","7078.161","1872.848","1301.693","5289.328","1130.178","339.5175","330.2004","182.4675","341.5406","204454.4","206851.8","227076.4","181990.4","256787.5835","27579.87476","39979.30653","4799.195","47211.0331","23141.53"
"M538.3002T527.7","538.3002","527.69395","2796.763","897.3718","646.9973","1956.364","891.2474","307.8513","254.1355","178.1424","259.5062","68508.68","66970.73","76445.27","60483.52","83353.4762","8731.8149","10468.73731","1786.857","15975.69643","7579.392"
"M539.1392T29.1","539.1392","29.08352","3063.566","1262.505","2239.536","2770.75","2034.511","894.2796","1182.717","1075.657","1107.087","467472.2","279818.9","370405.5","361676","420438.5299","65196.10793","71485.3915","23562.39","48328.85454","59468.61"
"M540.1411T30.2","540.1411","30.18231","916.5203","1012.954","965.7121","1028.792","938.3593","345.1849","450.9064","625.7085","658.4369","97906.97","59456.13","72462.58","76664.88","89293.8475","15877.5912","16146.62206","8274.491","11213.50098","13541.36"
"M540.1698T323.5","540.1698","323.52679","11641.61","9907.555","13378.56","19518.21","16805.69","3675.605","6999.381","5293.86","4656.386","21821.72","22630.07","21109.75","17223.41","19081.4329","11791.5595","11085.33221","7749.539","12689.3415","17328.77"
"M540.2159T347.8","540.2159","347.75129","4977.179","2655.297","2230.266","4194.068","2171.106","567.4536","662.8005","703.296","809.3136","76619.34","83843.21","67530.63","54634.69","47342.675","8784.24976","10541.19706","2238.456","27279.67461","8955.979"
"M541.1372T30.1","541.1372","30.10691","1231.911","1586.494","1799.009","1663.889","1562.026","817.0771","1297.4","923.2459","1211.76","174098.6","105996","139884.1","135329.2","158428.8202","24575.63888","26767.38962","13636.89","20681.23696","21824.93"
"M541.2729T180.8","541.2729","180.80156","0","930.12","254.717","1682.167","1789.204","164.3841","79.38382","75.07227","212.399","14663.81","19614.66","10291.66","16972.35","16522.6802","9892.76662","8550.14348","3418.949","10792.66736","9433.744"
"M542.2508T181.8","542.2508","181.79341","7483.554","11178.63","9299.79","8011.214","10200.65","1146.802","1329.062","1396.838","1431.286","38803.2","34741.3","30710.06","32844.61","26141.598","6763.85766","4262.60414","3305.658","6005.8008","5715.523"
"M543.2541T523.5","543.2541","523.49545","14413.94","17133.42","18881.84","15498.42","16602.31","3317.822","3887.665","4155.989","3935.748","14195.78","15694.48","13881.52","15127.15","7895.3598","3820.0536","4464.78983","5613.154","3321.08623","6149.122"
"M543.2861T511.2","543.2861","511.20598","9808.979","2188.037","1636.382","7305.967","1604.318","306.0906","109.048","265.5272","272.847","52417.75","60006.48","61911.12","56265.18","64238.9859","20618.4915","20681.2155","3869.04","24621.96314","16682.12"
"M544.163T301.8","544.163","301.78006","10321.76","11135.14","9361.384","16498.55","13661.67","2949.466","6421.838","4791.707","2935.75","4636.476","6514.249","5104.105","10463.57","3361.2241","6062.89765","6334.3068","5721.212","5492.0568","8913.418"
"M544.256T523.4","544.256","523.41523","5501.546","5094.278","4828.536","3706.752","4851.115","821.1459","1089.693","1229.878","854.4827","9004.865","10053.21","9911.341","8594.401","9593.1223","827.85982","2191.752","1755.266","2196.56786","2012.339"
"M544.2894T292.2","544.2894","292.21472","2027.765","2572.353","1200.216","1324.789","1205.557","484.8101","221.4945","316.8744","456.9005","109761.6","122125.2","128709.7","117659.8","163590.2222","29020.9425","37073.9719","7101.516","34200.2304","29737.82"
"M545.292T292.2","545.292","292.21701","970.7818","881.2183","287.4525","480.4622","783.0552","68.69806","97.73643","167.1193","233.44","33907.25","35099.19","38942.63","34792.35","48474.0968","8727.4824","11247.76929","2140.306","9684.53781","8972.262"
"M547.1602T423.6","547.1602","423.61154","7181.133","11631.93","11560.35","11088.66","13588.41","1050.068","2083.366","1526.423","706.3379","830.7954","661.4418","101.07","477.9176","405.4547","567.40721","579.1296","731.2858","122.07764","760.6306"
"M548.8523T21.1","548.8523","21.06744","1747.345","4438.907","3354.347","3206.555","4641.287","5494.886","8203.786","7057.96","7734.675","12287.02","13208.21","15293.14","10810.96","14595.3936","366.31751","4736.983","5480.188","5562.11292","3193.81"
"M549.1658T36.5","549.1658","36.52817","16030.17","25846.05","16148.31","19136.15","17121.37","3771.622","2469.882","2624.39","2803.546","236358.1","156856.6","225645.1","213073.5","269046.8435","72790.22413","64393.20059","24097.47","29622.6622","45113.29"
"M551.2968T254.9","551.2968","254.92599","0","351.0333","493.6279","0","259.1125","91.05556","61.69847","176.0741","161.0983","105971.1","88338.7","94445.4","49983.84","58519.713","7015.4865","4733.59968","212.8167","10318.00926","2696.476"
"M551.2733T188.8","551.2733","188.76188","550.9576","1247.878","730.0039","494.6321","1045.001","107.3916","435.6144","358.8983","250.4564","54295.52","62181.62","60440.15","66387.71","66920.8106","14218.9057","15820.53869","14476.99","13076.43819","17458.01"
"M552.2082T212.9","552.2082","212.86224","2323.521","1564.412","1829.844","2317.814","1645.786","396.2723","345.4931","340.6056","388.5042","6818.182","8271.665","10177.53","8301.01","15836.3067","3681.36736","4161.248","1150.839","2845.608","3281.85"
"M552.2828T472.7","552.2828","472.66062","4833.261","1662.076","1354.629","4326.374","953.5968","161.6941","207.0946","315.9463","351.9179","51223.31","49585.56","55599.74","42701.02","31481.6205","7792.56129","5361.60474","1508.268","14966.26125","6921.243"
"M552.2966T254.9","552.2966","254.89485","316.4195","568.0766","274.6041","0","284.0699","176.4546","102.0701","87.04024","122.751","30642.05","27894.11","27730.22","16333.44","17341.2225","1910.955","1153.6918","205.7441","2565.066","508.8447"
"M553.1832T56.5","553.1832","56.46871","28821.65","37962.59","35283.09","26698.11","38732.92","8088.264","4502.89","4880.222","4527.602","5745.092","4478.518","4047.009","4436.827","4151.1639","2589.52423","2073.59154","2538.54","1554.41021","2294.687"
"M553.2044T338.2","553.2044","338.23518","94300.86","92884.09","113938.1","116747.2","126384.3","6146.828","7727.317","48459.69","10308.89","10898.56","8183.104","9118.157","12287.07","9464.9406","2887.54863","2442.69474","2353.102","2010.89362","3546.499"
"M554.1714T79","554.1714","78.97597","4530.715","3820.305","3135.822","3313.067","3742.364","716.0379","593.6745","738.7994","594.6416","89126.88","67819.27","75961.23","75245.57","62633.809","16075.75013","14601.52926","3813.943","18923.32243","13406.7"
"M554.2246T371.4","554.2246","371.41162","11782.01","5997.413","11954.56","14995.68","13917.48","2235.451","3562.58","3234.166","1325.265","256789.6","262726.3","231159.6","176690.9","154838.8284","36482.1624","39010.0367","10215.66","86012.03345","34700.06"
"M554.2823T222.9","554.2823","222.9186","2249.221","1696.143","1643.886","1476.734","2769.963","450.8751","429.6285","400.9872","407.6134","18709.11","29537.96","25600.3","20082.71","21666.9222","3568.47776","6151.64838","1002.355","8692.731","3583.672"
"M554.2879T166.8","554.2879","166.79527","4253.406","5958.732","5305.397","4113.061","5400.716","831.2374","990.63","1133.566","1254.156","925.7679","1508.459","832.026","825.0294","1308.183","300.40288","337.23767","492.9721","907.5442","457.6125"
"M555.2193T293.8","555.2193","293.8108","11541.59","7067.676","7228.788","10023.32","6871.257","2647.467","2694.285","3615.286","1645.525","20928.3","21018.21","22672.05","30602.94","25981.0221","16411.794","14555.59615","14125.72","11243.82246","19664.18"
"M555.2187T337.9","555.2187","337.92447","90080.43","43149.14","97182.9","103889.4","60633.79","13024.66","33288.41","32497.57","12984.1","41948.07","36768.73","33604.62","39579.33","36262.2701","13541.724","11106.5479","9907.838","14715.3436","10442.2"
"M555.2352T371.4","555.2352","371.44119","9082.823","5639.026","6358.435","9653.079","7246.238","1200.97","1143.364","1401.855","1082.994","73802.5","73903.76","67089.14","54612.87","46871.6021","11333.66554","11756.85088","3235.264","24736.87246","10971.49"
"M555.2742T182.6","555.2742","182.62614","45207.88","48158.73","47811.15","47786.57","53964.31","6989.459","6769.411","7108.854","7608.03","9074.33","7336.045","2786.5","7919.163","11105.8744","134.45353","0","116.7047","0","0"
"M555.3082T250.1","555.3082","250.12439","11025.03","13523.15","13110.72","15051.35","18690.99","1612.859","2297.717","2735.701","2163.858","7841.011","7088.348","8465.796","8578.31","7123.169","1385.9695","1870.8288","688.5504","2146.52493","1182.946"
"M555.3392T276","555.3392","275.99033","749.3709","404.1513","300.2764","228.3861","589.9948","74.71296","110.4117","34.6788","113.0701","147222.8","131284.1","134763.5","131586","135092.8272","27441.79153","30831.12045","6495.192","43894.40695","26732.37"
"M556.2243T559.4","556.2243","559.36869","1404.497","4085.955","2642.339","1998.018","3650.102","527.31","588.7334","237.8568","197.2167","1152.877","1235.442","1090.195","727.704","1647.1041","274.7628","265.7995","182.4792","182.4245","143.76"
"M556.2762T185.5","556.2762","185.49973","13845.84","16960.22","16093.1","14102.96","16617.64","2291.319","1671.67","2665.428","1627.716","13971.35","12947.1","12560.41","10142.35","13529.539","1771.8176","2106.0702","682.8301","3310.6464","1637.186"
"M556.3428T275.8","556.3428","275.83114","526.4386","269.3201","486.6074","517.8812","424.8309","135.108","111.4081","140.7069","105.7512","40042.63","40259.7","39815.76","39105.82","42990.1178","8882.76937","9849.47874","2023.648","14010.16176","9190.095"
"M557.1498T359.3","557.1498","359.27363","4946.305","3078.832","6450.766","8266.025","5433.86","1205.861","1222.066","1562.366","747.7294","1325.084","5233.378","7549.366","9121.722","6642.3778","1219.9158","2140.044","2434.717","617.67904","2456.825"
"M557.2512T62.5","557.2512","62.53353","23583.16","28281.98","25292.47","21200.94","27338.79","15141.27","9957.743","11276.91","9584.353","5259.222","5512.482","5150.708","5727.303","4610.0331","3716.08713","4330.14777","10856.61","2751.55706","5988.316"
"M557.3373T276.3","557.3373","276.27583","304.985","290.2","197.145","205.8255","105.1128","13.013","15.34867","100.7069","88.088","7629.813","6378.405","10868.44","7231.706","6523.9634","2388.16144","1989.54168","488.5287","6514.34","1268.158"
"M557.7623T317.5","557.7623","317.54241","363.2973","226.7868","158.0727","269.2714","218.4033","93.03916","58.02992","89.37264","70.3896","2726.542","2571.17","3635.017","4424.743","2650.6","965.6712","1005.66139","358.5555","1505.78723","1249.881"
"M558.2542T61.5","558.2542","61.49402","5673.478","7354.094","6483.057","4731.159","6717.993","4186.063","2242.495","3111.485","2340.486","7761.071","7897.492","6723.127","2607.095","5978.2149","1839.97941","1947.22598","3257.226","1727.15642","2321.554"
"M558.3036T267","558.3036","266.97772","1349.831","1404.654","1520.831","1090.722","692.2727","220.1243","246.8447","305.5027","247.4907","30524.2","31273.32","31376.45","45474.9","20011.9565","2819.81332","3368.06965","1128.867","5913.67396","2864.623"
"M560.1137T256.9","560.1137","256.94694","1888.828","5567.555","9397.486","4910.931","12514.34","3897.78","4422.024","4342.793","3384.441","499.2599","526.8092","278.0167","519.2554","562.9098","314.94672","189.8184","980.8655","176.7603","410.9952"
"M561.0763T452.1","561.0763","452.13492","13987.25","17996.75","15921.22","13062.79","18241.8","4804.454","5693.846","5085.923","6107.701","768.4067","494.9462","889.897","413.1063","657.7885","386.57918","692.8872","3336.291","307.19536","1012.81"
"M561.2496T247.3","561.2496","247.28467","4688.798","1670.083","2467.939","4135.019","2172.21","590.118","485.2134","403.6076","390.312","10279.75","7578.904","7583.665","9143.129","9183.7145","4776.1512","4777.865","4364.449","4483.85155","6422.467"
"M561.2607T190.4","561.2607","190.44831","0","98.36965","97.3896","374.0961","0","116.0437","222.4406","106.4409","22.01061","17285.51","17817.92","19904.15","21831.2","27117.4981","2831.64743","3328.15875","0","5174.136","1818.402"
"M561.2902T264.7","561.2902","264.65013","639.7376","800.5147","580.5368","0","884.2133","196.8043","64.0448","280.807","204.4968","15347.32","11802.36","12463.02","11776.96","11642.676","3028.94147","3655.69066","756.1012","4513.39083","2957.478"
"M562.0816T452","562.0816","451.96228","3946.412","3230.397","3231.545","2199.983","3661.141","1116.805","1578.808","1207.11","1456.195","344.2839","295.8221","266.1397","400.659","558.746","243.82173","115.4256","866.5511","124.746","411.3288"
"M562.2797T273","562.2797","273.03972","736.9517","895.5415","667.7815","429.9138","840.6231","233.138","284.5411","237.8568","244.8624","47958.55","40163.32","39541.58","45955.86","31293.146","15931.37899","15874.12836","4206.084","20341.21844","14932.86"
"M562.7251T243.4","562.7251","243.3742","651.6806","371.6669","290.4854","511.1228","1202.585","84.05208","92.0736","137.7886","69.04929","4915.051","4732.491","5464.118","5604.109","5168.4","1666.68089","1721.75724","462.5051","1803.30057","1813.635"
"M563.0749T452.2","563.0749","452.19546","12378.53","13137.2","11406.95","9093.74","12186.26","4095.041","4389.755","3371.145","3982.416","220.9828","578.7512","527.068","565.0652","1677.923","430.58465","613.11269","2502.918","492.69175","1031.083"
"M564.0437T113.9","564.0437","113.92691","2579.613","1888.458","2957.582","2210.458","2506.17","581.3441","433.62","532.0552","491.9579","4817.752","14373.37","7491.575","8777.165","6057.3953","13450.58651","7460.78146","4140.262","13695.51248","12688.66"
"M564.1041T46.3","564.1041","46.34071","13357.98","16493.45","15047.72","13122.78","13857.1","7853.258","4323.083","4417.865","3722.151","209.614","907.5727","1066.594","1117.801","1183.207","290.0493","1323.88641","2114.754","2263.10253","1770.359"
"M564.8293T21.2","564.8293","21.18332","1311.61","4212.99","2789.035","3720.817","4171.777","3355.323","4475.141","4193.43","4270.134","8868.775","8228.138","8778.546","8561.936","9964.6791","394.3152","2677.0045","3232.547","2966.816","1954.175"
"M565.7345T329.7","565.7345","329.68813","711.8697","327.16","432.9298","685.444","437.7272","63.03867","69.7051","92.05647","50.03379","8335.128","45179.85","44847.29","45145.42","56518.8604","12853.79936","13719.43754","14444.1","9257.09473","17506.41"
"M566.1593T26.9","566.1593","26.90335","6733.855","9739.278","7379.946","10323.3","7055.753","4493.923","6964.344","5089.717","6740.348","1723948","1554273","2055821","1999561","2326034.6752","306716.615","290802.50046","107266","213006.24289","263588.6"
"M566.2812T178.6","566.2812","178.64348","2626.472","3109.407","2130.702","2426.786","2873.42","548.5252","571.9182","635.3937","374.6941","14227.59","18158.57","20470.58","12360.55","19317.325","2063.9832","1878.63642","841.7449","3251.32071","1996.407"
"M566.7296T332","566.7296","332.03159","691.2675","335.9252","432.034","740.8359","497.0868","38.35572","100.0656","41.02985","54.69072","10964.02","11744.08","11212.47","10204.75","12006.2538","2945.59817","2436.2808","3193.999","2331.85997","3991.617"
"M567.1681T413.2","567.1681","413.19057","60200.3","40718.72","109978.2","90022.37","62078.81","8151.271","12889.25","11503.3","5908.595","97737.96","154175.6","113348.6","171746.4","159280.0984","44318.63009","49313.03265","43619.6","29214.7181","55610.62"
"M567.1614T27.7","567.1614","27.74823","1582.712","1903.035","1861.584","2644.77","1691.736","1133.236","1719.661","1057.105","1311.47","337043.5","322840","423874.1","414024.5","486636.9773","68321.73588","63526.69592","23816.12","46152.00386","55099.57"
"M567.271T238.5","567.271","238.49626","8704.853","10101.88","11102.2","9278.303","12204.34","2052.282","2238.387","1656.849","1979.652","4542.724","3350.268","4472.557","4652.906","5355.7916","47.36223","186.1488","86.736","317.46695","164.1312"
"M567.2733T165.1","567.2733","165.13926","636.5321","1610.891","958.0543","853.3003","1062.796","220.7663","175.7868","273.1708","244.5146","99174.44","99240.9","107963.2","110959.6","112801.42","16443.31055","21292.18412","22600.65","19361.313","22261.3"
"M567.3378T254.1","567.3378","254.14195","2410.612","2349.377","2187.597","1398.208","2101.02","317.9208","249.5328","514.2262","468.7885","5612.535","4426.593","7590.251","8791.668","6936.4506","1880.74748","3040.853","196.0862","3182.06616","2057.362"
"M568.1644T316.4","568.1644","316.4199","42280.13","29835.45","61351.32","58033.95","54093.55","17567.76","21810.9","22549.18","12927.97","8822.289","7333.794","11176.79","17747.26","12147.502","9961.81875","11750.05357","19978.46","5689.3239","18999.52"
"M568.1709T413.2","568.1709","413.19057","16972.17","12925.58","32358.76","25858.68","18477.6","2335.204","3735.373","3411.503","1896.232","26050.26","45470.16","31127.68","48849.12","45981.6289","13787.0208","15217.40661","12897.98","8581.2885","16804.81"
"M568.163T28.6","568.163","28.59312","706.6051","991.329","683.099","817.225","711.407","277.8055","492.1833","242.8499","375.5689","101331.9","57219.38","123661.5","71470.03","139332.3528","19322.52755","19186.67069","6459.718","12715.0485","16651.09"
"M568.2083T217.4","568.2083","217.42742","1015.259","1168.716","1687.073","1499.542","1044.576","820.9011","624.0409","707.3111","393.0986","20008.08","20793.58","5278.82","18933.25","20555.1953","3293.6328","5138.8948","1209.634","6721.79786","3484.793"
"M568.2766T354.5","568.2766","354.53755","6291.116","1950.336","1831.693","4976.861","1530.377","394.6044","485.7216","628.9114","1475.846","32946.36","35951.5","34517.85","23815.45","21387.8448","8123.65208","8313.17709","4277.419","14025.27812","7832.001"
"M568.3221T281.1","568.3221","281.12791","866.4614","268.5515","783.7525","187.3655","227.7325","142.3869","145.6907","257.1784","167.3963","18731.95","18075.5","16569.2","17516.23","15401.7204","5386.09966","6516.00778","1141.338","6951.2232","6184.522"
"M569.1693T316.5","569.1693","316.49155","15531.4","9140.531","18992.09","16268.9","17003.67","5479.532","6330.509","6788.683","3991.19","8526.416","5318.558","3068.183","5402.167","3433.5849","3287.45031","3698.9568","5469.372","2531.8371","5400.317"
"M569.2337T214.5","569.2337","214.54006","4580.24","1974.321","1491.562","3733.83","2075.217","777.4571","799.1365","728.0947","680.4","10326.02","17048.26","19435.54","18937.83","27297.8753","3064.61362","5751.21115","2022.95","3589.9122","4870.383"
"M569.2511T200","569.2511","199.99526","12479.9","7804.351","11031.74","11305.36","10640.18","1976.043","1843.951","1720.193","1631.292","30537.68","27815.85","28007.46","37329.78","33765.5863","10810.87434","10976.95569","14104.71","10002.42694","13139.35"
"M569.2517T100.7","569.2517","100.68263","46447.01","51671.23","44886.62","36588.99","49982.73","3289.676","2326.256","2577.771","2564.122","13650.61","13557.18","13126.19","14884.83","2928.8238","2693.97927","2903.03836","1714.319","3530.52724","2883.167"
"M569.3117T410.4","569.3117","410.43392","417.5784","280.6734","272.3191","527.3156","199.4892","125.7026","112.032","112.6989","78.68914","9491.843","4111.063","6491.389","6012.59","7043.7998","1931.98227","2024.35567","296.799","3103.98824","1274.303"
"M569.3342T113.9","569.3342","113.91321","542.5407","1034.723","1144.575","592.0479","1883.736","753.2688","352.8911","353.2824","554.3565","13124.84","16053.7","18236.56","15979.87","23609.4324","844.52523","1804.83905","525.6303","3064.32385","2694.733"
"M569.7351T214.2","569.7351","214.15104","414.3024","215.0379","445.243","461.0844","438.5021","130.4129","116.7379","59.7144","89.71292","7090.649","7367.831","6205.56","8603.937","11519.1775","1665.9162","2365.74766","742.5936","2585.56751","2021.586"
"M570.3179T210.7","570.3179","210.66034","1646.767","1886.552","2335.649","868.1913","2308.859","358.4587","273.8117","246.1525","325.2015","20997.42","19115.77","16363.55","24078.46","15075.358","5120.86494","5510.46154","1892.343","7595.62409","4299.333"
"M571.1471T68.6","571.1471","68.63979","8456.804","16264.52","15126.02","13406.68","15783.64","14489.98","8356.65","8271.206","9270.305","6890.398","7495.911","5168.052","6080.154","6716.6962","2289.68014","2451.44118","3697.036","2203.62882","2669.903"
"M571.3029T198.7","571.3029","198.70366","888.2585","2711.769","830.9562","971.8829","2335.481","256.4381","197.0805","271.1532","214.1879","64996.31","67243.78","66917.44","73149.5","69207.0344","19549.23435","22353.91573","3482.45","28794.18333","18396.35"
"M572.2633T158.8","572.2633","158.77964","3331.377","4101.942","3742.655","1801.701","4141.101","968.5255","891.8745","1086.724","240.9956","42991.89","37571.88","33020.18","46391.91","25749.8093","13955.9745","12805.35092","3943.664","16445.28513","15371.86"
"M576.213T370.9","576.213","370.85094","2432.851","1896.973","1771.42","2506.269","1882.145","359.9046","442.6872","381.972","469.9015","15384.92","16639.49","14522.92","13001.34","13460.1135","4056.2424","4851.83443","1355.019","8465.65126","4668.933"
"M577.1517T281.8","577.1517","281.78349","17728.4","30228.69","30339.89","50420.45","40425.85","14242.06","20739.92","14685.55","13411.58","4803.387","6945.419","9404.201","13227.96","8550.8294","26815.24393","24389.44422","15659.96","20331.93027","23844"
"M578.1571T281.8","578.1571","281.7731","5330.091","9077.295","10571.71","14197.73","12164.6","4575.894","6068.813","4717.104","4187.541","411.0006","2282.867","2752.486","5099.401","2375.1102","8676.56804","7733.49269","4900.25","6211.95055","7111.907"
"M578.2619T548.1","578.2619","548.05199","5226.976","3085.376","4660.931","3983.151","3995.135","790.8907","1013.273","1063.329","1177.305","6550.813","5545.499","6816.162","6072.926","4991.7694","560.63751","718.29746","427.5653","1092.4524","604.6614"
"M580.2532T378.2","580.2532","378.18713","8308.288","9864.839","8328.635","7739.504","11808.43","1620.416","1656.199","1847.326","1396.544","24403.07","25135.82","23215.74","19171.98","18345.0781","3940.51732","4060.25182","1646.047","7461.24886","4277.053"
