"","mz","rt","neg-Exp1_K-1-24_1-E,1_01_55195","neg-Exp1_K-25-48_1-E,3_01_55198","neg-Exp1_K-49-72_1-E,5_01_55201","neg-Exp1_K-73-96_1-E,7_01_55204","neg-Exp1_K-97-120_1-F,1_01_55207","neg_Exp2_K01_1-C,1_01_342","neg_Exp2_K02_1-C,5_01_347","neg_Exp2_K03_1-D,1_01_352","neg_Exp2_K04_1-D,5_01_358","neg-Exp1_P-1-24_1-E,2_01_55196","neg-Exp1_P-25-48_1-E,4_01_55199","neg-Exp1_P-49-72_1-E,6_01_55202","neg-Exp1_P-73-96_1-E,8_01_55205","neg-Exp1_P-97-120_1-F,2_01_55208","neg_Exp2_P1_1-C,2_01_343","neg_Exp2_P2_1-C,6_01_348","neg_Exp2_P3_1-D,2_01_353","neg_Exp2_P4_1-D,6_01_359","neg_Exp2_P5_1-E,1_01_364"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M812.4563T350.7","812.4563","350.74176","665.3117","158.0061","400.8713","709.9185","389.7933","66.0264","83.36667","85.36747","60.70307","17902.87","18081.41","17729.76","11442.26","9651.8481","876.438","1410.98561","256.3846","3071.27186","751.0837"
"M812.4731T212.5","812.4731","212.5255","113.2249","119.9308","38.75621","171.1853","213.6246","80.04126","32.35614","58.38553","78.68488","36921.28","36005.85","42131.27","38557.51","31377.5646","1616.80614","4505.23049","471.5831","10410.62073","7112.694"
"M813.4734T212.4","813.4734","212.36207","162.0378","26.94646","18.53077","87.29894","0","42.68308","8.3375","48.3865","32.016","15351.63","17003.01","18917.61","17655.69","13715.5151","1066.1856","1731.76164","184.4042","4928.46764","3667.571"
"M813.4952T543.8","813.4952","543.81175","814.7693","156.068","169.1338","349.806","104.7697","13.67268","30.34304","8.0064","18.67264","15838.21","13058.58","14075.52","9459.035","8114.7923","707.1089","637.04118","53.0106","2600.412","460.2497"
"M813.7951T241.7","813.7951","241.69018","738.2794","781.2711","923.6074","646.6262","749.736","48.3633","88.05456","156.1248","82.37697","4650.387","5651.089","5459.566","7351.548","5332.3227","889.28873","1084.92197","378.1728","1208.7852","1309.714"
"M814.3742T238.1","814.3742","238.12997","1324.747","1376.145","1408.529","839.188","1202.941","245.1607","190.4308","177.796","180.7982","50358.7","53227.93","50906","48249.92","63116.5186","12754.44425","15136.92331","4942.998","17366.92409","12537.16"
"M814.3623T289.9","814.3623","289.89745","1960.758","942.7787","1056.132","759.1947","944.4462","93.70611","122.0514","92.37221","109.4208","24861.15","26598.64","29409.65","34308.28","32047.4339","5335.15947","7181.89663","1281.358","7992.36143","6275.991"
"M814.4852T256.2","814.4852","256.18418","172.8931","185.3241","348.6002","55.92247","128.0153","63.03706","54.3768","51.03","53.69824","37154.73","39476.53","47365.82","48661.79","74007.8337","1642.5233","4921.9344","457.2688","11240.5995","6957.299"
"M815.4863T256.3","815.4863","256.34373","158.7342","47.84308","97.70769","146.2246","102.7475","58.70548","56.69631","57.36446","30.6912","14468.87","18791.46","19745.28","19569.9","30984.0806","843.44095","2471.30045","191.1264","4648.48704","2350.048"
"M815.5613T526","815.5613","525.96118","14644.56","8966.985","9499.347","10213.73","7365.134","288.5121","293.0062","548.3768","633.3165","0","7524.661","9015.444","9456.056","11863.2071","1083.208","995.73785","1419.931","1312.1857","1880.94"
"M816.322T194.2","816.322","194.19228","13902.79","13694.78","13820.93","12630.22","13655.14","1366.244","1391.845","1009.11","1650.107","5097.608","3336.871","3325.164","4526.539","7383.0332","934.56707","550.59671","1234.156","440.93421","1305.459"
